"","OTU","Sample","Abundance","sample_type","author","host_disease","host_subtype","Collection","Kingdom","Phylum","Class"
"535","ASV2","SRR2923751",9959,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"572","ASV2","SRR2923774",9638,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"547","ASV2","SRR2923750",9400,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"533","ASV2","SRR2923811",8495,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"548","ASV2","SRR2923356",7858,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"585","ASV2","SRR2923395",7820,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"544","ASV2","SRR2923768",7763,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"556","ASV2","SRR2923749",7687,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"546","ASV2","SRR2923763",7625,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"582","ASV2","SRR2923358",7473,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"559","ASV2","SRR2923755",7119,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"573","ASV2","SRR2923363",7021,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"576","ASV2","SRR2923787",6990,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"587","ASV2","SRR2923375",6661,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"577","ASV2","SRR2923806",6615,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"538","ASV2","SRR2923772",6463,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"532","ASV2","SRR2923400",6394,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"557","ASV2","SRR2923761",6263,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"543","ASV2","SRR2923380",6247,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"545","ASV2","SRR2923799",6043,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"530","ASV2","SRR2923387",5683,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"584","ASV2","SRR2923366",5657,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"571","ASV2","SRR2923350",5429,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"552","ASV2","SRR2923752",5324,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
"598","ASV2","SRR2923794",5287,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia"
