"","OTU","Sample","Abundance","host_disease","author","host_subtype","Kingdom","Phylum","Class","Order","Family","Genus"
"25","ASV1","SRR7282518",18188,"Healthy","Zhuang","HC","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"11","ASV1","SRR7282502",18081,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"2","ASV1","SRR7282523",15803,"Healthy","Zhuang","HC","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"9","ASV1","SRR7282505",15259,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"8","ASV1","SRR7282521",15239,"Healthy","Zhuang","HC","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"27","ASV1","SRR7282510",15149,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1620","ASV4","SRR7282519",14868,"Healthy","Zhuang","HC","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"3","ASV1","SRR7282511",14751,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1611","ASV4","SRR7282509",14031,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"21","ASV1","SRR7282491",13158,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"30","ASV1","SRR7282525",11235,"Healthy","Zhuang","HC","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1617","ASV4","SRR7282508",10501,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"17","ASV1","SRR7282503",9570,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"6","ASV1","SRR7282487",9303,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"15","ASV1","SRR7282507",8886,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1612","ASV4","SRR7282488",8314,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"19","ASV1","SRR7282483",7676,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"13","ASV1","SRR7282485",7624,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"16","ASV1","SRR7282486",7513,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"22","ASV1","SRR7282506",7371,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1602","ASV4","SRR7282507",6210,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"7","ASV1","SRR7282517",6178,"Healthy","Zhuang","HC","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1245","ASV31","SRR7282509",5239,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"1","ASV1","SRR7282482",4516,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"2300","ASV6","SRR7282525",4259,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia"
"23","ASV1","SRR7282484",4211,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1594","ASV4","SRR7282511",4048,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"1605","ASV4","SRR7282483",3951,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"18","ASV1","SRR7282520",3853,"Healthy","Zhuang","HC","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"4","ASV1","SRR7282490",3638,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"2405","ASV62","SRR7282519",2892,"Healthy","Zhuang","HC","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"297","ASV14","SRR7282502",2830,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium"
"28","ASV1","SRR7282489",2818,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"286","ASV14","SRR7282524",2796,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium"
"154","ASV12","SRR7282511",2755,"IBS","Zhuang","IBS-D","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"1610","ASV4","SRR7282484",2666,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"299","ASV14","SRR7282525",2599,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium"
