"","OTU","Sample","Abundance","host_disease","host_subtype","sample_type","author","Collection","Kingdom","Phylum"
"12","ASV1","SRR7282511",31271,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"11","ASV1","SRR7282502",28933,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"22","ASV1","SRR7282518",28468,"Healthy","HC","stool","Zhuang","1st","Bacteria","Bacteroidota"
"23","ASV1","SRR7282519",28282,"Healthy","HC","stool","Zhuang","1st","Bacteria","Bacteroidota"
"25","ASV1","SRR7282504",27309,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"207","ASV4","SRR7282489",27294,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"14","ASV1","SRR7282523",27051,"Healthy","HC","stool","Zhuang","1st","Bacteria","Bacteroidota"
"3","ASV1","SRR7282510",26879,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"184","ASV4","SRR7282525",25850,"Healthy","HC","stool","Zhuang","1st","Bacteria","Firmicutes"
"13","ASV1","SRR7282521",25756,"Healthy","HC","stool","Zhuang","1st","Bacteria","Bacteroidota"
"189","ASV4","SRR7282520",25309,"Healthy","HC","stool","Zhuang","1st","Bacteria","Firmicutes"
"16","ASV1","SRR7282507",25083,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"18","ASV1","SRR7282522",24434,"Healthy","HC","stool","Zhuang","1st","Bacteria","Bacteroidota"
"21","ASV1","SRR7282508",23631,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"2","ASV1","SRR7282491",23108,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"208","ASV4","SRR7282490",21865,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"30","ASV1","SRR7282486",21028,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"6","ASV1","SRR7282487",20135,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"187","ASV4","SRR7282524",19480,"Healthy","HC","stool","Zhuang","1st","Bacteria","Firmicutes"
"9","ASV1","SRR7282525",19301,"Healthy","HC","stool","Zhuang","1st","Bacteria","Bacteroidota"
"27","ASV1","SRR7282485",19078,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"29","ASV1","SRR7282505",19069,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"10","ASV1","SRR7282483",18626,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"4","ASV1","SRR7282524",18287,"Healthy","HC","stool","Zhuang","1st","Bacteria","Bacteroidota"
"7","ASV1","SRR7282506",18272,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"203","ASV4","SRR7282503",17536,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"209","ASV4","SRR7282485",16984,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"1","ASV1","SRR7282482",16757,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"194","ASV4","SRR7282506",16622,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"183","ASV4","SRR7282523",16401,"Healthy","HC","stool","Zhuang","1st","Bacteria","Firmicutes"
"20","ASV1","SRR7282503",15676,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"28","ASV1","SRR7282490",13834,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"206","ASV4","SRR7282484",13741,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"19","ASV1","SRR7282484",12576,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"8","ASV1","SRR7282520",12231,"Healthy","HC","stool","Zhuang","1st","Bacteria","Bacteroidota"
"202","ASV4","SRR7282488",12202,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"210","ASV4","SRR7282486",12189,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"196","ASV4","SRR7282509",11414,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"192","ASV4","SRR7282482",10880,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"17","ASV1","SRR7282517",10559,"Healthy","HC","stool","Zhuang","1st","Bacteria","Bacteroidota"
"24","ASV1","SRR7282489",10026,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"185","ASV4","SRR7282518",9958,"Healthy","HC","stool","Zhuang","1st","Bacteria","Firmicutes"
"198","ASV4","SRR7282502",9804,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"182","ASV4","SRR7282522",8124,"Healthy","HC","stool","Zhuang","1st","Bacteria","Firmicutes"
"200","ASV4","SRR7282508",7936,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"201","ASV4","SRR7282483",7568,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"188","ASV4","SRR7282521",7324,"Healthy","HC","stool","Zhuang","1st","Bacteria","Firmicutes"
"199","ASV4","SRR7282507",7209,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"15","ASV1","SRR7282488",7039,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"204","ASV4","SRR7282504",6675,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"205","ASV4","SRR7282505",5859,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"197","ASV4","SRR7282487",5621,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"54","ASV10","SRR7282487",5480,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"44","ASV10","SRR7282511",5313,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"57","ASV10","SRR7282486",5210,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"190","ASV4","SRR7282510",4311,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"36","ASV10","SRR7282524",4136,"Healthy","HC","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"186","ASV4","SRR7282519",3222,"Healthy","HC","stool","Zhuang","1st","Bacteria","Firmicutes"
"93","ASV25","SRR7282518",3126,"Healthy","HC","stool","Zhuang","1st","Bacteria","Proteobacteria"
"50","ASV10","SRR7282491",2662,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"97","ASV25","SRR7282505",2326,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"193","ASV4","SRR7282491",2193,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"5","ASV1","SRR7282526",1911,"Healthy","HC","stool","Zhuang","1st","Bacteria","Bacteroidota"
"37","ASV10","SRR7282517",1901,"Healthy","HC","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"110","ASV25","SRR7282488",1823,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"195","ASV4","SRR7282511",1713,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Firmicutes"
"100","ASV25","SRR7282521",1685,"Healthy","HC","stool","Zhuang","1st","Bacteria","Proteobacteria"
"101","ASV25","SRR7282491",1666,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"39","ASV10","SRR7282510",1665,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"115","ASV25","SRR7282485",1648,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"106","ASV25","SRR7282502",1559,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"94","ASV25","SRR7282519",1547,"Healthy","HC","stool","Zhuang","1st","Bacteria","Proteobacteria"
"191","ASV4","SRR7282517",1512,"Healthy","HC","stool","Zhuang","1st","Bacteria","Firmicutes"
"47","ASV10","SRR7282503",1335,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"59","ASV10","SRR7282484",1215,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"98","ASV25","SRR7282510",1145,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"118","ASV25","SRR7282487",1112,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"102","ASV25","SRR7282506",1027,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"96","ASV25","SRR7282525",1007,"Healthy","HC","stool","Zhuang","1st","Bacteria","Proteobacteria"
"95","ASV25","SRR7282520",831,"Healthy","HC","stool","Zhuang","1st","Bacteria","Proteobacteria"
"119","ASV25","SRR7282482",826,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"103","ASV25","SRR7282507",798,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"109","ASV25","SRR7282522",783,"Healthy","HC","stool","Zhuang","1st","Bacteria","Proteobacteria"
"107","ASV25","SRR7282503",769,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"261","ASV88","SRR7282521",755,"Healthy","HC","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"120","ASV25","SRR7282483",636,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"91","ASV25","SRR7282524",597,"Healthy","HC","stool","Zhuang","1st","Bacteria","Proteobacteria"
"92","ASV25","SRR7282504",538,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"112","ASV25","SRR7282490",534,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"268","ASV88","SRR7282489",529,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"79","ASV170","SRR7282507",482,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"175","ASV321","SRR7282489",463,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"51","ASV10","SRR7282502",437,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"117","ASV25","SRR7282484",373,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"82","ASV170","SRR7282502",350,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"181","ASV4","SRR7282526",333,"Healthy","HC","stool","Zhuang","1st","Bacteria","Firmicutes"
"99","ASV25","SRR7282511",321,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"250","ASV88","SRR7282487",282,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"43","ASV10","SRR7282523",256,"Healthy","HC","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"127","ASV275","SRR7282521",252,"Healthy","HC","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"72","ASV170","SRR7282486",251,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"116","ASV25","SRR7282486",238,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"105","ASV25","SRR7282526",221,"Healthy","HC","stool","Zhuang","1st","Bacteria","Proteobacteria"
"244","ASV88","SRR7282485",208,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"46","ASV10","SRR7282505",199,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"249","ASV88","SRR7282486",198,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"263","ASV88","SRR7282484",188,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"67","ASV170","SRR7282485",182,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"270","ASV88","SRR7282490",175,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"114","ASV25","SRR7282523",171,"Healthy","HC","stool","Zhuang","1st","Bacteria","Proteobacteria"
"88","ASV170","SRR7282490",160,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"259","ASV88","SRR7282488",160,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"85","ASV170","SRR7282483",158,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"108","ASV25","SRR7282508",157,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"71","ASV170","SRR7282520",156,"Healthy","HC","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"32","ASV10","SRR7282518",153,"Healthy","HC","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"26","ASV1","SRR7282509",149,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Bacteroidota"
"104","ASV25","SRR7282517",139,"Healthy","HC","stool","Zhuang","1st","Bacteria","Proteobacteria"
"111","ASV25","SRR7282489",126,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"113","ASV25","SRR7282509",125,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Proteobacteria"
"252","ASV88","SRR7282520",113,"Healthy","HC","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"87","ASV170","SRR7282489",104,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"146","ASV275","SRR7282489",100,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"251","ASV88","SRR7282506",90,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"65","ASV170","SRR7282522",88,"Healthy","HC","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"49","ASV10","SRR7282506",77,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"138","ASV275","SRR7282485",77,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"162","ASV321","SRR7282506",77,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"84","ASV170","SRR7282508",70,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"256","ASV88","SRR7282511",68,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"253","ASV88","SRR7282482",65,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"255","ASV88","SRR7282502",60,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"262","ASV88","SRR7282522",59,"Healthy","HC","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"63","ASV170","SRR7282521",57,"Healthy","HC","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"269","ASV88","SRR7282508",53,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"245","ASV88","SRR7282504",46,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"41","ASV10","SRR7282508",45,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"38","ASV10","SRR7282522",44,"Healthy","HC","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"246","ASV88","SRR7282491",42,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"61","ASV170","SRR7282525",36,"Healthy","HC","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"126","ASV275","SRR7282520",33,"Healthy","HC","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"265","ASV88","SRR7282517",30,"Healthy","HC","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"75","ASV170","SRR7282511",29,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"81","ASV170","SRR7282487",28,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"247","ASV88","SRR7282510",24,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"139","ASV275","SRR7282504",23,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"267","ASV88","SRR7282523",23,"Healthy","HC","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"86","ASV170","SRR7282488",21,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"73","ASV170","SRR7282505",20,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"218","ASV746","SRR7282489",18,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"78","ASV170","SRR7282506",17,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"128","ASV275","SRR7282526",17,"Healthy","HC","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"90","ASV170","SRR7282484",16,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"159","ASV321","SRR7282520",15,"Healthy","HC","stool","Zhuang","1st","Bacteria","Synergistota"
"83","ASV170","SRR7282503",12,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"133","ASV275","SRR7282506",12,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"258","ASV88","SRR7282526",12,"Healthy","HC","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"66","ASV170","SRR7282523",11,"Healthy","HC","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"68","ASV170","SRR7282504",11,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Actinobacteriota"
"243","ASV88","SRR7282519",6,"Healthy","HC","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"260","ASV88","SRR7282507",4,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"257","ASV88","SRR7282525",3,"Healthy","HC","stool","Zhuang","1st","Bacteria","Desulfobacterota"
"31","ASV10","SRR7282525",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"33","ASV10","SRR7282521",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"34","ASV10","SRR7282526",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"35","ASV10","SRR7282519",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"40","ASV10","SRR7282520",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"42","ASV10","SRR7282509",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"45","ASV10","SRR7282504",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"48","ASV10","SRR7282507",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"52","ASV10","SRR7282490",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"53","ASV10","SRR7282482",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"55","ASV10","SRR7282488",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"56","ASV10","SRR7282489",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"58","ASV10","SRR7282483",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"60","ASV10","SRR7282485",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Fusobacteriota"
"62","ASV170","SRR7282526",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Actinobacteriota"
