"","OTU","Sample","Abundance","collection_date","host_disease","sample_type","author","host_subtype","Collection","Kingdom","Phylum"
"39","ASV1","SRR11944224",26297,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"213","ASV11","SRR11944196",26059,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"135","ASV11","SRR11944139",25821,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"125","ASV11","SRR11944182",25094,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"205","ASV11","SRR11944192",24505,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"160","ASV11","SRR11944233",24486,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"175","ASV11","SRR11944149",23931,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"180","ASV11","SRR11944248",21673,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"212","ASV11","SRR11944244",21582,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"50","ASV1","SRR11944245",21387,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"133","ASV11","SRR11944186",21380,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"196","ASV11","SRR11944246",20622,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"117","ASV11","SRR11944216",20149,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"159","ASV11","SRR11944141",19485,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"198","ASV11","SRR11944161",19409,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"204","ASV11","SRR11944193",19224,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"168","ASV11","SRR11944237",19082,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"118","ASV11","SRR11944215",19062,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"127","ASV11","SRR11944171",18482,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"77","ASV1","SRR11944207",18472,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"164","ASV11","SRR11944240",18432,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"215","ASV11","SRR11944230",18301,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"155","ASV11","SRR11944144",18268,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"80","ASV1","SRR11944186",18196,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"178","ASV11","SRR11944166",17924,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"78","ASV1","SRR11944244",17908,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"108","ASV1","SRR11944149",17585,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"119","ASV11","SRR11944214",17547,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"45","ASV1","SRR11944173",17537,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"43","ASV1","SRR11944193",17462,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"206","ASV11","SRR11944165",17444,"2018-05","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"141","ASV11","SRR11944218",17389,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"29","ASV1","SRR11944202",17332,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"6","ASV1","SRR11944238",17314,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"140","ASV11","SRR11944238",17276,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"52","ASV1","SRR11944215",17256,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"172","ASV11","SRR11944234",17108,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"124","ASV11","SRR11944200",17086,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"195","ASV11","SRR11944154",17074,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"116","ASV11","SRR11944202",16743,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"111","ASV11","SRR11944212",16577,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"112","ASV11","SRR11944211",16455,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"173","ASV11","SRR11944224",16299,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"139","ASV11","SRR11944146",16264,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"63","ASV1","SRR11944226",16229,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"32","ASV1","SRR11944182",16156,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"184","ASV11","SRR11944245",16145,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"1","ASV1","SRR11944139",16111,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"23","ASV1","SRR11944161",16054,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"202","ASV11","SRR11944168",15865,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"190","ASV11","SRR11944167",15722,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"26","ASV1","SRR11944233",15699,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"192","ASV11","SRR11944249",15644,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"15","ASV1","SRR11944222",15436,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"95","ASV1","SRR11944158",15432,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"16","ASV1","SRR11944212",15376,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"104","ASV1","SRR11944188",15288,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"46","ASV1","SRR11944248",15281,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"161","ASV11","SRR11944223",15257,"2017-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"4","ASV1","SRR11944211",15226,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"107","ASV1","SRR11944159",15204,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"209","ASV11","SRR11944227",15173,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"49","ASV1","SRR11944143",14878,"2017-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"115","ASV11","SRR11944213",14743,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"62","ASV1","SRR11944246",14712,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"197","ASV11","SRR11944226",14595,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"187","ASV11","SRR11944150",14594,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"34","ASV1","SRR11944237",14385,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"219","ASV11","SRR11944198",14376,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"203","ASV11","SRR11944194",14286,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"200","ASV11","SRR11944243",14234,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"120","ASV11","SRR11944204",14159,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
