"","OTU","Sample","Abundance","sample_type","author","host_disease","host_subtype","Collection","Kingdom","Phylum","Class","Order","Family"
"1530","ASV2","SRR2923751",7057,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1552","ASV2","SRR2923811",5941,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1514","ASV2","SRR2923750",5669,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1561","ASV2","SRR2923768",5513,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1566","ASV2","SRR2923774",5179,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1544","ASV2","SRR2923761",4953,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"59","ASV1","SRR2923813",4862,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1501","ASV2","SRR2923395",4606,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"19","ASV1","SRR2923373",4540,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"1572","ASV2","SRR2923808",4531,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1539","ASV2","SRR2923749",4481,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1513","ASV2","SRR2923363",4401,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1547","ASV2","SRR2923390",4180,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1546","ASV2","SRR2923353",4130,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1527","ASV2","SRR2923373",3944,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"1504","ASV2","SRR2923796",3902,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"53","ASV1","SRR2923378",3826,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
"22","ASV1","SRR2923751",3735,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae"
