"","OTU","Sample","Abundance","sample_type","author","host_disease","host_subtype","Collection","Kingdom","Phylum","Class","Order"
"1182","ASV2","SRR2923751",7057,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1133","ASV2","SRR2923811",5941,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1185","ASV2","SRR2923750",5669,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1179","ASV2","SRR2923768",5513,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1130","ASV2","SRR2923774",5183,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"36","ASV1","SRR2923813",4975,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1166","ASV2","SRR2923761",4953,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"19","ASV1","SRR2923373",4717,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1134","ASV2","SRR2923395",4606,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1171","ASV2","SRR2923808",4531,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1184","ASV2","SRR2923749",4481,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1194","ASV2","SRR2923363",4401,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"5","ASV1","SRR2923378",4222,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1148","ASV2","SRR2923390",4180,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"1174","ASV2","SRR2923353",4130,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"2740","ASV5","SRR2923806",4073,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2731","ASV5","SRR2923774",4005,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1178","ASV2","SRR2923373",3944,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"59","ASV1","SRR2923382",3914,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"1163","ASV2","SRR2923796",3902,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
"47","ASV1","SRR2923771",3848,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"10","ASV1","SRR2923751",3816,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2756","ASV5","SRR2923356",3789,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"35","ASV1","SRR2923757",3773,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"55","ASV1","SRR2923349",3654,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales"
"2749","ASV5","SRR2923358",3647,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2707","ASV5","SRR2923755",3644,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2720","ASV5","SRR2923763",3625,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"2705","ASV5","SRR2923787",3623,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Oscillospirales"
"1198","ASV2","SRR2923366",3608,"stool","Ringel","NA","NA","1st","Bacteria","Firmicutes","Clostridia","Lachnospirales"
