,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia,-0.08871324188749759,0.06106654291808576,-1.452730704053395,0.1462985385114511,0.9578969741042446,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia,-0.04798097532663629,0.062268822817779096,-0.7705457266639812,0.44097624137441677,0.9578969741042446,0,0,0,False
Bacteria*Firmicutes*Negativicutes,-0.015151810654889335,0.08359387812589725,-0.1812550272170628,0.8561674043479535,0.9578969741042446,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae,-0.13764447357831802,0.14414821744022374,-0.9548815519373125,0.3396376000020911,0.9578969741042446,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria,-0.04940956327904691,0.11629582423608736,-0.4248610266413572,0.6709379870505754,0.9578969741042446,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria,-0.23096765898077024,0.11416954033346567,-2.023023464105762,0.043070728425966494,0.9578969741042446,0,0,0,False
Bacteria*Firmicutes*Bacilli,-0.07697568233182658,0.06983343332500988,-1.1022754956580203,0.2703419191600676,0.9578969741042446,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria,-0.08036555368771207,0.12494928537973068,-0.6431853807204647,0.5201038182184174,0.9578969741042446,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia,0.08074158052962066,0.095544893454651,0.845064321181576,0.39807492752936524,0.9578969741042446,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,-0.09777383862380759,0.08099958338466202,-1.2070906360034677,0.22739724068658762,0.9578969741042446,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia,0.024497826818461972,0.05873376784626425,0.41709952752537655,0.6766056105042415,0.9578969741042446,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia,-0.16926926157573827,0.08992622159818786,-1.8823126176931388,0.0597935823347348,0.9578969741042446,0,0,0,False
Bacteria*Campilobacterota*Campylobacteria,-0.1221347367205247,0.05417287325168883,-2.2545368076210943,0.024162417805019466,0.8336034142731716,0,0,0,False
Bacteria*Synergistota*Synergistia,0.04285312525555072,0.041504098037147226,1.0325034703126443,0.3018363227882215,0.9578969741042446,0,0,0,False
Bacteria*Patescibacteria*Gracilibacteria,-0.004690560905277713,0.01644042709074508,-0.2853065117705003,0.7754093244261835,0.9578969741042446,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria,-0.03008375282935629,0.05137173637980369,-0.5856090323079567,0.558138277216969,0.9578969741042446,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia,-0.020336158620122367,0.04029535880102191,-0.5046774423958382,0.6137854071936759,0.9578969741042446,0,0,0,False
Bacteria*Planctomycetota*Phycisphaerae,0.005177365257871503,0.01502961939326963,0.34447746961509645,0.7304872370411661,0.9578969741042446,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria,-0.20633984147874593,0.05707017216110819,-3.615546154237135,0.0002997150675544803,0.02068033966125914,1,0,0,True
Bacteria*Actinobacteriota*Thermoleophilia,0.02945308088001462,0.02049732918243741,1.4369228604305533,0.15073991346957966,0.9578969741042446,0,0,0,False
Bacteria*Elusimicrobiota*Elusimicrobia,-0.010725740863912994,0.018442578300105452,-0.58157491264937,0.5608530452389829,0.9578969741042446,0,0,0,False
Archaea*Thermoplasmatota*Thermoplasmata,0.02366415451073546,0.02920405518070131,0.8103037185867688,0.4177656386653269,0.9578969741042446,0,0,0,False
Bacteria*Acidobacteriota*Blastocatellia,0.019902757480409865,0.01866170124300008,1.0665028456542942,0.28619639301082705,0.9578969741042446,0,0,0,False
Bacteria*Actinobacteriota*Rubrobacteria,-0.00044212403805380486,0.014182265646416323,-0.03117442932438118,0.9751304324431279,0.9894705858614091,0,0,0,False
Bacteria*Chloroflexi*Anaerolineae,-0.006942674473579871,0.012637115925461365,-0.5493875750234841,0.5827394990673931,0.9578969741042446,0,0,0,False
Bacteria*Verrucomicrobiota*Kiritimatiellae,0.0088526763505276,0.013503403829519284,0.655588506593804,0.5120889225683967,0.9578969741042446,0,0,0,False
Bacteria*Abditibacteriota*Abditibacteria,-0.003354070555781202,0.012625960762915696,-0.26564873903557507,0.7905097454566133,0.9578969741042446,0,0,0,False
Bacteria*Planctomycetota*Planctomycetes,0.010782572826737951,0.015731842721855814,0.6853979547963585,0.49309283428559714,0.9578969741042446,0,0,0,False
