,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia,512391.3879898365,-0.12414866150546576,0.08495150058767642,-1.4614063394599472,0.14416996927055534,0.9981589211078052,0,1181
Bacteria*Bacteroidota*Bacteroidia,418928.0073577216,-0.06818620893492895,0.08767396251147049,-0.7777247312850503,0.43688707551621253,0.9981589211078052,0,1181
Bacteria*Firmicutes*Negativicutes,15210.710421722051,-0.02895512818611285,0.122703967798636,-0.23597548396829202,0.8134926098179892,0.9981589211078052,0,1181
Bacteria*Verrucomicrobiota*Verrucomicrobiae,2419.965692642352,-0.320423820208199,0.23648663069117276,-1.3549341849545802,0.1756976398717979,0.9981589211078052,0,1181
Bacteria*Proteobacteria*Gammaproteobacteria,13866.74327902322,-0.09111393134840702,0.1760214857593907,-0.5176296004736235,0.6048136662080335,0.9981589211078052,0,1181
Bacteria*Actinobacteriota*Actinobacteria,4776.017503892471,-0.4003932137997707,0.1813764329530228,-2.207526122776238,0.02746901979171728,0.6317874552094974,0,1181
Bacteria*Firmicutes*Bacilli,25776.614382800162,-0.10371339368999866,0.09896163126134411,-1.048016209596483,0.29484556491844016,0.9981589211078052,0,1181
Bacteria*Proteobacteria*Alphaproteobacteria,702.9532566078482,-0.10166275570083047,0.2142467467924145,-0.47451248255980466,0.6352222235532143,0.9981589211078052,0,1181
Bacteria*Desulfobacterota*Desulfovibrionia,1415.6107063798083,0.1079956677027691,0.16356063385267863,0.6602790974755106,0.5092034969727761,0.9981589211078052,0,1181
Bacteria*Actinobacteriota*Coriobacteriia,1788.9990202093004,-0.11627766114719738,0.13403061344226003,-0.8675455417302066,0.38581940776153023,0.9981589211078052,0,1181
Bacteria*Fusobacteriota*Fusobacteriia,64.17701171129451,0.032947429524212965,0.10810860306199765,0.30476232779844925,0.7606008719354951,0.9981589211078052,0,1181
Bacteria*Cyanobacteria*Vampirivibrionia,156.94867995296266,-0.30296939850882537,0.1631178868393383,-1.8573646604877412,0.06350807337882701,0.8764114126278127,0,1181
Bacteria*Campilobacterota*Campylobacteria,73.2151231860992,-0.26790088112766863,0.10306241479688556,-2.599404270272972,0.009455003644126781,0.326197625722374,0,1181
Bacteria*Synergistota*Synergistia,52.02093169902695,0.07516042168689148,0.07814698284025252,0.9617827708145028,0.33635560797536856,0.9981589211078052,0,1181
Bacteria*Patescibacteria*Gracilibacteria,41.327238828181926,0.0012708146413476958,0.027008435238631223,0.047052508970604846,0.9624793328503619,0.9981589211078052,0,1181
Archaea*Euryarchaeota*Methanobacteria,67.56692799830488,-0.07245423786891671,0.09944569698307763,-0.7285809247356979,0.46640249278335744,0.9981589211078052,0,1181
Bacteria*Cyanobacteria*Cyanobacteriia,56.3739930010252,-0.04778612467434041,0.07971593826016121,-0.5994550866149935,0.5489844321738456,0.9981589211078052,0,1181
Bacteria*Planctomycetota*Phycisphaerae,41.04284677219363,0.016487181769391217,0.024099298080047814,0.6841353517694864,0.4940239175638651,0.9981589211078052,0,1181
Bacteria*Verrucomicrobiota*Lentisphaeria,100.82112966024742,-0.41474968948033486,0.1129729537772351,-3.67122993259215,0.0002521702053124145,0.0173997441665566,1,1181
Bacteria*Actinobacteriota*Thermoleophilia,42.08007867614251,0.06059785374169249,0.036769715484146134,1.648037058318285,0.09961105650095052,0.9981589211078052,0,1181
Bacteria*Elusimicrobiota*Elusimicrobia,41.933912993150145,-0.012027098831113345,0.031274269013400524,-0.3845685034543869,0.700626370412616,0.9981589211078052,0,1181
Archaea*Thermoplasmatota*Thermoplasmata,45.70707573517599,0.04669324829399592,0.05557215927312517,0.8402273531339439,0.40095099113804844,0.9981589211078052,0,1181
