,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,-0.3658530873265842,0.16291568363334266,-2.245659099034146,0.024725851888945223,0.8459925379055406,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.1255049080386806,0.06638729145910421,-1.8904959862083532,0.05869165688777248,0.9432587714106293,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-0.12404253232326803,0.07599798755478211,-1.6321818026280455,0.10264119308170047,0.9773311187821161,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,-0.10771889145389225,0.13297550322967003,-0.810065680051193,0.4179024279396152,0.9773311187821161,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.01955748645372417,0.07822796366071347,0.25000633454486876,0.8025824499049611,0.9773311187821161,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,-0.14424980349952018,0.14668217191079214,-0.9834174229929508,0.3254020387089692,0.9773311187821161,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae,0.015164677082597468,0.08858389538182994,0.17119000036329404,0.8640743699862805,0.9773311187821161,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,0.05087437964207124,0.06766046789450346,0.7519070030877533,0.45210698638279295,0.9773311187821161,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.04211359858383647,0.13843361123952377,0.3042151267077019,0.7609640012121816,0.9773311187821161,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae,0.16106294504129728,0.08129993173785331,1.9810956983412356,0.04758054261317417,0.8921351739970157,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,-0.20230640898225957,0.12459522253806557,-1.6237091989658925,0.1044378868237724,0.9773311187821161,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Yersiniaceae,0.00864592363153963,0.04713974858881615,0.18341047397081078,0.8544759582257763,0.9773311187821161,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Pseudomonadaceae,0.08836368944247125,0.0884022116803739,0.999564238980333,0.317521436629461,0.9773311187821161,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales*Flavobacteriaceae,0.02494503824768692,0.0429289333705921,0.5810775225264551,0.5611882069814513,0.9773311187821161,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales*Corynebacteriaceae,-0.13829732920594276,0.0961593174357528,-1.4382103876552965,0.15037436875877477,0.9773311187821161,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae,-0.01966433756084203,0.04407633060104744,-0.4461428002896122,0.6554940978202346,0.9773311187821161,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,0.04768549465661192,0.09946815791454276,0.4794046221061067,0.6316508059223773,0.9773311187821161,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.0767318222273546,0.08594704685378095,0.8927802063740022,0.3719748882398976,0.9773311187821161,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*Xanthomonadaceae,0.06774836880186341,0.06836830159929247,0.9909324528629877,0.3217185644229421,0.9773311187821161,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,-0.2325148195447818,0.12027888962688613,-1.9331307452709257,0.053220093462593876,0.9211170022372016,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcales-Tissierellales_fa,-0.24579078044416683,0.10788626581630394,-2.278239760959662,0.02271229651274557,0.8459925379055406,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Hafniaceae,0.12344053226817926,0.06083015122766195,2.0292655825594235,0.04243124687365794,0.8921351739970157,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,-0.17713133949152832,0.10025515345646117,-1.7668053300467288,0.07726083578170395,0.9433019406515913,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,-0.022514289620661952,0.09837126449935478,-0.2288705928021249,0.8189694974870247,0.9773311187821161,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,-0.08422764927403859,0.09188512584160774,-0.9166625011672818,0.3593195217831555,0.9773311187821161,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Alcaligenaceae,0.049480219609215864,0.0485329091974244,1.0195189290618856,0.3079566713039075,0.9773311187821161,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,0.1635986523227936,0.0933418914475675,1.7526819928937385,0.07965660832168993,0.9433019406515913,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,-0.12061657530369674,0.07961738139545387,-1.514952805400655,0.1297843562685521,0.9773311187821161,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Caulobacterales*Caulobacteraceae,0.018879329223025244,0.055356231453386175,0.34105156235071676,0.7330647650162233,0.9773311187821161,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,0.10249510257088797,0.09574514032626105,1.0704992673427158,0.2843946385860676,0.9773311187821161,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,-0.06132370166394648,0.12181960918031993,-0.5033976227355471,0.6146847426744574,0.9773311187821161,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae,0.05577530441918471,0.03967398893626784,1.4058406002174868,0.15977146299640618,0.9773311187821161,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae,0.08142541600017753,0.09630200653697066,0.8455214894086142,0.3978197396560877,0.9773311187821161,0,0,0,False
Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae,0.041311823645211895,0.09236256137902157,0.4472788869040081,0.6546737091985642,0.9773311187821161,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Aeromonadaceae,-0.005810070758682223,0.02974718076788923,-0.1953150049417099,0.8451463510357262,0.9773311187821161,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,0.04607233274562588,0.12606217110723653,0.3654731022079083,0.7147582815575982,0.9773311187821161,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales*Micrococcaceae,0.0839942505958387,0.05169595739966978,1.6247740601158736,0.10421071015683686,0.9773311187821161,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,0.0030522707281141733,0.05504816475591707,0.055447274975431185,0.9557821337554254,0.9938109304983345,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,-0.12638997750245134,0.12616692578737126,-1.0017679095665373,0.3164556994256459,0.9773311187821161,0,0,0,False
