,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,8264.383811526819,-0.6166068915344156,0.25912105577419214,-2.379609367105042,0.017489063387396635,0.687533674249749,0,1181
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,306330.5655524411,-0.1784796543122497,0.09416456509255823,-1.8954014616518933,0.05828322165551991,0.8585825627482471,0,1181
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,198579.85735469445,-0.1767986340295014,0.11037495010428035,-1.6018003529103761,0.10946718516870946,0.9395058045538214,0,1181
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,3330.0707197556717,-0.1785806354588437,0.22039353300877945,-0.810280742002216,0.4179420801678656,0.9434998848400885,0,1181
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,324642.592018978,0.02819220494749371,0.11412216998778685,0.24703530392482714,0.8049238374296447,0.9477665800137408,0,1181
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,3347.0292199425717,-0.33926606770441964,0.24265634825265406,-1.3981339047893997,0.16233536681550095,0.9434998848400885,0,1181
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae,110.28127618278485,0.03820186030602249,0.15244982260046117,0.25058645300061455,0.8021774431525321,0.9477665800137408,0,1181
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,90.33615951937455,0.095716864123663,0.12034931240069949,0.7953253925122273,0.42658405781046393,0.9434998848400885,0,1181
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,270.32631593062257,0.08238357179572173,0.23518815810786653,0.35028792460689023,0.7261850899401975,0.9434998848400885,0,1181
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae,106.77480539396049,0.31657568927519175,0.1430635272009295,2.2128329663686284,0.02709984112186177,0.687533674249749,0,1181
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,3311.640992404701,-0.3681896134251039,0.20910411395745557,-1.760795646038872,0.07853177972582469,0.9217150988873107,0,1181
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Yersiniaceae,68.29766762568526,0.018025109510506416,0.07959875216995867,0.22644964926107555,0.8208909026754283,0.9477665800137408,0,1181
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Pseudomonadaceae,116.83546467098707,0.16418585314812725,0.1549867356913535,1.0593542241904703,0.2896550991177497,0.9434998848400885,0,1181
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales*Flavobacteriaceae,67.04446131766943,0.04347993768427108,0.07271255424406692,0.5979701598478627,0.5499744913281359,0.9434998848400885,0,1181
Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales*Corynebacteriaceae,261.8462331678762,-0.23512205086050023,0.17377135830953874,-1.353054111723507,0.1762972910936627,0.9434998848400885,0,1181
