,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,-0.3644449983284314,0.16083063483129287,-2.2660172840250534,0.023450325021081773,0.4038667086964083,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.3520768790294798,0.0992594863507905,-3.547035069123908,0.0003895927276406481,0.04025791518953364,1,0,0,True
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,-0.12520236187555678,0.14459036607535475,-0.8659108160104269,0.3865390712466017,0.9787569634013463,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.01986839789560396,0.07771896406625875,0.2556441421255345,0.7982256301806483,0.9787569634013463,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,-0.14393889205764018,0.14708166268396608,-0.9786324782506793,0.32776160567055307,0.9787569634013463,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Mitsuokella,-0.05759846488812422,0.0401564099648175,-1.4343529448620618,0.15147156852725202,0.9787569634013463,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter,0.11372650087287618,0.07756814023711386,1.4661496398551233,0.14260752477227928,0.9787569634013463,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,-0.19854678676326826,0.12596832532350144,-1.5761643750790273,0.11498792629058897,0.9549330535062303,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Yersiniaceae*Serratia,-0.001856286532173298,0.039715430976701674,-0.04673967993101357,0.9627207048770401,0.9858599902702743,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,-0.3277510642798992,0.10983634629208748,-2.983994600551549,0.0028451179239349722,0.1603611920763348,1,0,0,True
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Coprococcus,-0.27262090867732475,0.11312520458275742,-2.4099042267621917,0.015956708664083517,0.3155472476396223,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Pseudomonadaceae*Pseudomonas,0.08316515224644762,0.08862346219024184,0.9384101025970161,0.34803369613020124,0.9787569634013463,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,-0.21175724223264103,0.100571286498687,-2.105543735243017,0.03524400446625798,0.4966200629336352,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,-0.005435745261821777,0.11817359373207835,-0.045997968667565683,0.9633118689660006,0.9858599902702743,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales*Flavobacteriaceae*Flavobacterium,0.0318091795326776,0.04093145663015758,0.777132849683174,0.4370803948743153,0.9787569634013463,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae*Comamonas,0.04679624256509297,0.04378357483346673,1.068808171627947,0.2851561164283815,0.9787569634013463,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae*Neisseria,-0.041620653759577415,0.041609080210534374,-1.0002781496006277,0.3171759184627342,0.9787569634013463,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,0.08596324953642831,0.10254668581388234,0.8382840347707363,0.40187120025019285,0.9787569634013463,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales*Corynebacteriaceae*Corynebacterium,-0.13824795520914837,0.09561167597320815,-1.4459317212250056,0.14819635365887304,0.9787569634013463,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*Xanthomonadaceae*Stenotrophomonas,0.03907505712973212,0.06723463793333029,0.5811745006863702,0.5611228515386164,0.9787569634013463,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,-0.06271900045173306,0.07746344640064502,-0.8096593085640302,0.4181360110038675,0.9787569634013463,0,0,0,False
