,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,4292.131297923066,-0.6233127226939609,0.2610713061472011,-2.3875190724426663,0.017119035976521885,0.32847150279951365,0,1181
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,126647.84250031058,-0.5626785754445773,0.1520680207837349,-3.7001768849533225,0.00022536781616401945,0.026490292112628745,1,1181
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,2048.741117738677,-0.23801194568459536,0.24796414992202956,-0.9598643423230189,0.33731996082683,0.9314942719032834,0,1181
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,439311.89131435106,0.02342263294413711,0.11357125258974836,0.20623733920366555,0.8366410693545052,0.9988456427962666,0,1181
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,4529.257013852987,-0.3440356397077758,0.24398706934998518,-1.4100568551617658,0.15878619661408572,0.9314942719032834,0,1181
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Mitsuokella,97.08270854688047,-0.10431342017925577,0.07115235747067092,-1.4660571186591236,0.1428989212636862,0.9314942719032834,0,1181
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter,131.19260906740828,0.2236288211834458,0.13638529379134576,1.6396842721589386,0.10133714660558298,0.8098770319321069,0,1181
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,4297.874065785286,-0.3680668947400799,0.21275012758258224,-1.7300431211126257,0.08388382246809857,0.7357809570773218,0,1181
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Yersiniaceae*Serratia,88.6971550778658,-0.005206370038165403,0.0668702111306913,-0.07785783759512978,0.9379543267589198,0.9988456427962666,0,1181
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,40083.010012964376,-0.5173977325033775,0.17382931391161174,-2.97646996850291,0.0029752645588501906,0.15176946038542904,1,1181
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Coprococcus,11201.780316929813,-0.43162736338633634,0.18594332497135002,-2.3212845282445125,0.020441022084712608,0.3671349525894107,0,1181
