,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,-0.05098826615960449,0.06373306022870993,-0.8000285248602533,0.4236942705332461,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.03838804420264198,0.07263688083853409,-0.5284924649776124,0.5971575755319369,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,-0.03527677693016587,0.1335935544918681,-0.26406047106346875,0.7917333226148869,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales,-0.12539877799987928,0.06645946621012012,-1.8868460002885814,0.059181041936798184,0.9675005624010492,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,-0.14384393564769019,0.14600404376768691,-0.9852051486777054,0.32452331210961455,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,-0.2720958147882311,0.11831416705440334,-2.2997737427599496,0.021461041773870072,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.2536979048570936,0.14957144026745403,1.69616542037335,0.08985455713569786,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,0.15368401251326633,0.10617715938287088,1.4474300631747692,0.14777651085842985,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,-0.20213391773955747,0.12494818042888733,-1.6177419874841588,0.10571821325064029,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,-0.109403344021566,0.09157392471253704,-1.194699739745762,0.23220436418490195,0.9675005624010492,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,0.07166510671987525,0.055804724673842475,1.2842121726920206,0.19906772715926369,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales,-0.10711844799806035,0.09684302326017707,-1.106103923565846,0.2686815406826373,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales,0.07078273708705289,0.06858038149099198,1.032113492928735,0.3020189536550623,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,-0.015254851928594564,0.10226359815226774,-0.1491718676462029,0.8814180179604447,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,-0.03888274484695518,0.07252327049064665,-0.5361416354212805,0.5918606668516931,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,-0.08405515803133683,0.09187658295319116,-0.914870311123356,0.3602597176378851,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Bacilli*RF39,-0.25833017102878025,0.13598221670620342,-1.8997349601008189,0.057467910008522256,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Caulobacterales,0.019051820465726562,0.055656687934596785,0.34230963380563917,0.7321178863035949,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Bacilli*Bacillales,0.0634034561495786,0.10444052989872184,0.6070771204537382,0.5437997331413353,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,-0.10918425471429546,0.12216231831940957,-0.8937637744301705,0.37144829519039296,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales,-0.06115121042124606,0.12074743498686127,-0.5064390016061213,0.6125485009156706,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-0.24418971506916995,0.13638713585443762,-1.790416035496098,0.07338705433971995,0.9675005624010492,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,0.07957101699990617,0.0963316883203761,0.8260108214367845,0.4087979532165652,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,-0.098944402153522,0.080861452711142,-1.2236287976049225,0.22109229094292054,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,-0.024604918086874435,0.05555022844735547,-0.4429309973080008,0.6578156458822217,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,0.046244823988327646,0.12651694052264353,0.36552278135473026,0.7147212044572204,0.9675005624010492,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.023327263288747565,0.05950645570242362,0.39201231216661886,0.695049116643238,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,-0.12209687486479791,0.08795528027082518,-1.3881699255445101,0.16508530780860667,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,0.035575048545939056,0.06506276846748306,0.5467804304041978,0.5845295892842546,0.9675005624010492,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Sphingobacteriales,0.06915605481967056,0.03795243003546246,1.8221772559768024,0.06842809442486947,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Streptosporangiales,-0.02353612827438662,0.024514518059120145,-0.9600893730656258,0.33701023641087724,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales,-0.14569410876818792,0.10466712398007944,-1.3919758490346679,0.16392971142483753,0.9675005624010492,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,-0.1636432154280413,0.08991054912976708,-1.8200669110791052,0.06874881585498205,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales,-0.03115837771349342,0.09005401063801607,-0.34599655798494766,0.729345301503149,0.9675005624010492,0,0,0,False
Bacteria*Campilobacterota*Campylobacteria*Campylobacterales,-0.12330530025023914,0.05456770713022351,-2.25967530495603,0.023841410061553738,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,-0.06765924231910247,0.060351907725576144,-1.1210787673316513,0.26225433570457285,0.9675005624010492,0,0,0,False
Bacteria*Synergistota*Synergistia*Synergistales,0.04168256172583635,0.04156651528647929,1.00279182506778,0.3159613139810257,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales,0.04046705351986523,0.05662574819275532,0.7146405091569734,0.4748312067251937,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Streptomycetales,-0.03316776737070661,0.036185836713932634,-0.9165952865181649,0.3593547552220193,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Bacilli*Izemoplasmatales,-0.028378897300378635,0.07480833743246187,-0.37935473871477954,0.704424456304729,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Bacilli*Staphylococcales,0.01365863617288249,0.04176395169358392,0.32704367328776573,0.7436348533169528,0.9675005624010492,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Chitinophagales,0.0279890011668878,0.021025664475861513,1.331182717151248,0.18312889674371385,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Bacilli*Acholeplasmatales,-0.03803742498176383,0.0556795352985481,-0.6831491099523543,0.49451262586171923,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Bacilli*Paenibacillales,-0.024388612052684663,0.03668641390331703,-0.6647859372943384,0.5061874184824219,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_or,0.06944362471061838,0.05792175121782143,1.1989213594296833,0.23055852550783287,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptococcales,-0.022572658209818224,0.06559298922695625,-0.34413217747578595,0.730746884965598,0.9675005624010492,0,0,0,False
Bacteria*Patescibacteria*Gracilibacteria*Absconditabacteriales_SR1,-0.005842397860549901,0.01674159693262166,-0.34897494450877375,0.7271081198846364,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales,0.014004736402123772,0.03867883973972089,0.36207746913725886,0.7172941400015047,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales,0.004329204808501324,0.016204606225313917,0.26715890212367427,0.7893468177486715,0.9675005624010492,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales,-0.031254316359070715,0.05079201224300497,-0.615339203525551,0.5383307325055586,0.9675005624010492,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia*Chloroplast,-0.02091430518164113,0.039666094244802275,-0.5272589999047279,0.5980137419983029,0.9675005624010492,0,0,0,False
Bacteria*Planctomycetota*Phycisphaerae*Tepidisphaerales,0.004006801728157092,0.015056500435837158,0.26611773069259764,0.79014854009296,0.9675005624010492,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales,-0.21676392434637,0.05635864404923398,-3.846152227456158,0.00011998723316169986,0.01691819987579968,1,0,0,True
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Chthoniobacterales,-0.006375689925286697,0.015621031950997158,-0.40814780645011794,0.6831651640551469,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales,0.030717933238733224,0.024332298242725314,1.26243451943209,0.20679247451745825,0.9675005624010492,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Opitutales,-0.01464795665346932,0.041595067534074166,-0.3521560973899104,0.7247211998233274,0.9675005624010492,0,0,0,False
Bacteria*Elusimicrobiota*Elusimicrobia*Elusimicrobiales,-0.011896304393627398,0.018547911185777394,-0.6413824324730176,0.5212742438843496,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales,0.05631479534732668,0.03526041179377766,1.5971111079668232,0.11024094255923975,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Thermoleophilia*Solirubrobacterales,0.020199307247653987,0.01888741903613157,1.069458310265303,0.2848632046884273,0.9675005624010492,0,0,0,False
Archaea*Thermoplasmatota*Thermoplasmata*Methanomassiliicoccales,0.023660505426408237,0.02889816032375032,0.8187547290670455,0.4129263645402862,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Acetobacterales,-0.01750712401957884,0.017648979472122298,-0.9919623991422548,0.3212158679416024,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Kineosporiales,0.006901922108795484,0.014445736947251079,0.4777826243131799,0.6328049294781364,0.9675005624010492,0,0,0,False
Bacteria*Acidobacteriota*Blastocatellia*Blastocatellales,0.01706456109885017,0.018074073421818732,0.9441458325741946,0.3450951309977118,0.9675005624010492,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria*Oligosphaerales,0.009851901591072902,0.01445823839787554,0.6814040078714235,0.4956158875694577,0.9675005624010492,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Pedosphaerales,0.014295354282832354,0.015555534934413985,0.9189882792912705,0.35810170278995473,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Micromonosporales,0.002517477945808479,0.0159866295738292,0.15747396498944957,0.874871324810828,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Pseudonocardiales,0.00293749008110367,0.014023012167777885,0.20947639822016573,0.8340763581681208,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Rubrobacteria*Rubrobacterales,-0.0016126875677682033,0.014216287746543804,-0.11343942923216874,0.9096821814383204,0.9675005624010492,0,0,0,False
Bacteria*Chloroflexi*Anaerolineae*SBR1031,-0.00811323800329428,0.01274167695130154,-0.6367480539887277,0.5242889671001187,0.9675005624010492,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Cytophagales,-0.0014746168390916258,0.015109025885057047,-0.09759840576817293,0.9222511904763262,0.9675005624010492,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia*Obscuribacterales,-0.00782288571314117,0.013943712136927154,-0.5610332195846047,0.5747748912932842,0.9675005624010492,0,0,0,False
Bacteria*Verrucomicrobiota*Kiritimatiellae*WCHB1-41,0.007682112820813195,0.013723179066133654,0.5597910501489609,0.5756219689692466,0.9675005624010492,0,0,0,False
Bacteria*Abditibacteriota*Abditibacteria*Abditibacteriales,-0.004524634085495602,0.012683062949336948,-0.35674616640865475,0.7212818407502753,0.9675005624010492,0,0,0,False
Bacteria*Planctomycetota*Planctomycetes*Planctomycetales,0.00016794593865922486,0.013758563333119941,0.012206647932123945,0.9902607459382036,0.9902607459382036,0,0,0,False
Bacteria*Acidobacteriota*Vicinamibacteria*Vicinamibacterales,0.00535248320776994,0.013965644028698264,0.38326075022183165,0.7015264382193307,0.9675005624010492,0,0,0,False
Bacteria*Acidobacteriota*Acidobacteriae*Bryobacterales,0.0022843983142491866,0.01434607131725396,0.15923511487787953,0.8734836391287394,0.9675005624010492,0,0,0,False
Bacteria*Deinococcota*Deinococci*Thermales,0.026717308841807997,0.02270745621422656,1.1765874869360842,0.23936019458108818,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Clostridia*Eubacteriales,0.0432259206104684,0.022432483243809958,1.926934264952419,0.05398782260428259,0.9675005624010492,0,0,0,False
Bacteria*Chloroflexi*Ktedonobacteria*C0119,-0.004882870125947256,0.012478702646695585,-0.39129629611298267,0.6955782363369043,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Thermoleophilia*Gaiellales,0.004033940657958222,0.014022414896608534,0.2876780274796941,0.7735932108640333,0.9675005624010492,0,0,0,False
Bacteria*Planctomycetota*Planctomycetes*Gemmatales,0.0015436240150869093,0.012950388200658209,0.11919519254322075,0.9051207152925165,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Propionibacteriales,0.005260422277476507,0.015981594452484135,0.3291550347568006,0.7420385079452192,0.9675005624010492,0,0,0,False
Archaea*Crenarchaeota*Nitrososphaeria*Nitrososphaerales,0.0019074928820615648,0.01429936497427445,0.13339703444826234,0.8938793906164997,0.9675005624010492,0,0,0,False
Bacteria*Planctomycetota*Planctomycetes*Pirellulales,0.005847887271817013,0.01276921276868449,0.4579677210922905,0.6469756318914691,0.9675005624010492,0,0,0,False
Bacteria*Verrucomicrobiota*Chlamydiae*Chlamydiales,0.007024707612326261,0.012844641862529505,0.5468978962207421,0.584448881140839,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Frankiales,0.007374579766980173,0.014682555771088472,0.5022681256557194,0.6154789272590208,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales,-0.008097024529142627,0.016470435631338532,-0.49160961557909877,0.6229953445737724,0.9675005624010492,0,0,0,False
Bacteria*Entotheonellaeota*Entotheonellia*Entotheonellales,-0.006511287042500319,0.012135599412426588,-0.5365443288967584,0.5915824078304273,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Bacilli*Mycoplasmatales,0.007269895046766192,0.014786871226254173,0.49164525311199386,0.6229701467090547,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*0319-7L14,-0.005511937755083849,0.012747968969807053,-0.43237771978725453,0.6654669086667624,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Tistrellales,0.00422167380019221,0.012250844531888398,0.344602675285233,0.730393094270932,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Incertae_Sedis*DTU014,0.04828647039069282,0.028980264475067855,1.66618460063518,0.09567665218004169,0.9675005624010492,0,0,0,False
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales,-0.013030058469899646,0.013898801450047592,-0.9374951154406935,0.348503935152328,0.9675005624010492,0,0,0,False
Bacteria*Spirochaetota*Spirochaetia*Spirochaetales,-0.009416009388926231,0.013831062160883013,-0.6807871499237833,0.49600618215897735,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Azospirillales,0.002474360940220158,0.012997080261736349,0.19037821498300073,0.8490127674085943,0.9675005624010492,0,0,0,False
Bacteria*Deinococcota*Deinococci*Deinococcales,0.004303181409475212,0.015334282902801219,0.2806248871728537,0.7789981255561622,0.9675005624010492,0,0,0,False
Bacteria*Bacteroidota*Kapabacteria*Kapabacteriales,-0.0036498373752991186,0.0120445664324671,-0.30302770927982,0.761868744831837,0.9675005624010492,0,0,0,False
Bacteria*Myxococcota*Polyangia*Polyangiales,0.0038572068113189835,0.013305268184237742,0.28990071886626634,0.7718921916560222,0.9675005624010492,0,0,0,False
Bacteria*Acidobacteriota*Blastocatellia*Pyrinomonadales,0.008006485039425613,0.012877053687612584,0.6217637383253017,0.5340972334630281,0.9675005624010492,0,0,0,False
Bacteria*Bdellovibrionota*Oligoflexia*0319-6G20,-0.00554745001763278,0.012429926655604348,-0.44629788826079453,0.6553820814682316,0.9675005624010492,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia*Cyanobacteriales,-0.00045177855853873405,0.013103346782528258,-0.03447810441383774,0.9724959021124826,0.9864886489054678,0,0,0,False
Bacteria*Patescibacteria*Saccharimonadia*Saccharimonadales,-0.01085118929052482,0.013844656264305415,-0.7837817771251993,0.43316816828123655,0.9675005624010492,0,0,0,False
Bacteria*Myxococcota*Polyangia*mle1-27,0.0034542966800851574,0.012426633863645073,0.27797525202628903,0.7810313563727928,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Syntrophomonadia*Syntrophomonadales,0.012306719302826096,0.014100790775866965,0.8727680240379595,0.3827895317893722,0.9675005624010492,0,0,0,False
Bacteria*Desulfobacterota*Desulfuromonadia*Desulfuromonadia_or,-0.006239179416263598,0.013377769162574929,-0.46638414375679754,0.6409405591585196,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Bacilli*Brevibacillales,0.00116597067481695,0.013908843004754697,0.08382945112101463,0.9331920318194517,0.9675005624010492,0,0,0,False
Bacteria*Gemmatimonadota*Gemmatimonadetes*Gemmatimonadales,-0.0031212873891589546,0.012269899051600287,-0.25438574319418417,0.799197564060891,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Paracaedibacterales,0.0027659009108013466,0.012462385291365357,0.22193992932618756,0.8243606464617592,0.9675005624010492,0,0,0,False
Bacteria*Chloroflexi*Chloroflexia*Thermomicrobiales,-0.004661771405011964,0.01170076239321851,-0.39841603891673066,0.6903235370960876,0.9675005624010492,0,0,0,False
Bacteria*Acidobacteriota*Blastocatellia*11-24,0.0026400809241226876,0.012176518174077985,0.21681739281948686,0.8283506568561136,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Holosporales,0.0025041849857975074,0.012282573223463608,0.20388113632522217,0.8384463864967755,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Cardiobacteriales,-0.005189808773748525,0.01263654406065058,-0.4106984274212496,0.6812936801937014,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Steroidobacterales,-0.004527019371891515,0.012329236578899137,-0.3671775898630479,0.7134865543493029,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Thermoanaerobacteria*Thermoanaerobacterales,-0.004596313602819643,0.013484576483721353,-0.34085709761580835,0.7332111638379954,0.9675005624010492,0,0,0,False
Bacteria*Nitrospirota*Nitrospiria*Nitrospirales,-0.0043805355722456715,0.012087221416437349,-0.36241046815677624,0.7170453179862963,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales,0.0031925807550813035,0.012160769048069418,0.262531155921273,0.7929119685060455,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Parvibaculales,0.0020157604145720704,0.012208839762868136,0.16510663205710893,0.8688600530280246,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Legionellales,0.002015760414572072,0.012060939764362741,0.1671312894313736,0.8672667468492871,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Bacilli*Kyrpidiales,-0.006860848262665723,0.012350310249818464,-0.5555203168087676,0.5785388174557682,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Moorellia*Desulfitibacterales,0.007211466347834452,0.012360411546496516,0.5834325435449192,0.5596021553370933,0.9675005624010492,0,0,0,False
Bacteria*Methylomirabilota*Methylomirabilia*Rokubacteriales,-0.003844418179790229,0.01194369344805885,-0.32187850404139795,0.7475447385589582,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Thermoanaerobacteria*Caldicellulosiruptorales,0.0004492782190337011,0.01272134343052546,0.0353168846896812,0.9718270596939936,0.9864886489054678,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Euzebyales,-0.0036196178555065166,0.012074672363449645,-0.29976944686823936,0.7643530220129883,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Acidimicrobiia*Microtrichales,0.003633177012271605,0.012288234323535235,0.29566306408343024,0.7674874072638151,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Cellvibrionales,-0.003619617855506528,0.012207693337819845,-0.29650301292323833,0.766845966382611,0.9675005624010492,0,0,0,False
Bacteria*Firmicutes*Clostridia*Thermincolales,-0.0033601049265044114,0.011977929622968104,-0.28052468433787514,0.7790749900478445,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Acidithiobacillales,0.0013273646452882733,0.011672901579722826,0.11371334164198373,0.9094650360264998,0.9675005624010492,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Methylococcales,-0.0018763459381939082,0.01201652681903182,-0.15614711026335368,0.8759170651335318,0.9675005624010492,0,0,0,False
Bacteria*Actinobacteriota*Acidimicrobiia*IMCC26256,0.0010178204062492961,0.01192464981297164,0.0853543225346635,0.9319797059204216,0.9675005624010492,0,0,0,False
Bacteria*Bacteroidota*Ignavibacteria*Ignavibacteriales,-0.003053166278703125,0.011966230861890218,-0.25514853540280424,0.7986083785244229,0.9675005624010492,0,0,0,False
Bacteria*Bacteroidota*Rhodothermia*Rhodothermales,-0.0030531662787031295,0.012014725792925982,-0.25411868163489587,0.7994038711415787,0.9675005624010492,0,0,0,False
Bacteria*Myxococcota*Polyangia*VHS-B3-70,-0.0026775037344031237,0.011910890473929701,-0.2247945894778888,0.8221390753394944,0.9675005624010492,0,0,0,False
Bacteria*Desulfobacterota*Desulfobulbia*Desulfobulbales,-0.0026775037344031237,0.01190319765552319,-0.2249398700995894,0.8220260521284406,0.9675005624010492,0,0,0,False
Bacteria*Bacteroidota*Kryptonia*Kryptoniales,0.0006389688760044647,0.011904132583099098,0.053676223071611386,0.9571931267257816,0.9851403713017168,0,0,0,False
Bacteria*Firmicutes*Bacilli*Alicyclobacillales,-0.001500683393893884,0.011842262914080729,-0.1267226884575866,0.8991598878136609,0.9675005624010492,0,0,0,False
Bacteria*Desulfobacterota*Desulfuromonadia*Geobacterales,-0.0010163701406080696,0.011865815972454756,-0.08565530958574329,0.9317404292854747,0.9675005624010492,0,0,0,False
Bacteria*Hydrogenedentes*Hydrogenedentia*Hydrogenedentiales,0.00015054430477904712,0.011810577942957971,0.012746565452269742,0.9898299876184595,0.9902607459382036,0,0,0,False
Bacteria*Desulfobacterota*Syntrophia*Syntrophales,-0.0021931904811173073,0.011836195546038352,-0.18529522198130477,0.8529974854472041,0.9675005624010492,0,0,0,False
Bacteria*Verrucomicrobiota*Omnitrophia*Omnitrophales,-0.0010163701406080649,0.012017747859765391,-0.08457243008157989,0.9326013181277815,0.9675005624010492,0,0,0,False
