Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes,0.0,-0.035,0.006,0.01,0.3874666666666667,9772.854323593638,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota,0.0,-0.019,0.025,0.009,0.5371333333333334,7082.369842666079,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota,0.0,-0.05,0.022,0.015,0.499,285.820460789971,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria,0.0,0.0,0.0,0.0,0.0,656.7896857479908,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota,0.0,-0.026,0.036,0.011,0.42246666666666666,449.1531200517614,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota,0.0,-0.033,0.03,0.013,0.5229333333333334,245.27103250570215,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota,0.0,-0.022,0.034,0.012,0.5686,122.40850515452763,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria,0.0,-0.037,0.028,0.012,0.4086666666666667,147.5790337364729,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Campilobacterota,0.0,-0.028,0.034,0.013,0.6476,123.3917007343791,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota,0.0,-0.03,0.024,0.01,0.3888,118.79078709556087,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria,0.0,-0.038,0.037,0.012,0.3182,114.01885782374646,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Euryarchaeota,0.0,-0.025,0.032,0.011,0.48306666666666664,123.02208033998284,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Planctomycetota,0.0,-0.021,0.04,0.013,0.5678666666666666,113.79104799386543,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Acidobacteriota,0.0,-0.023,0.014,0.007,0.3393333333333333,114.24712372921076,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Chloroflexi,0.0,-0.027,0.03,0.011,0.3944666666666667,113.67731382243514,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Elusimicrobiota,0.0,-0.041,0.033,0.014,0.4762,114.13293371000698,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Thermoplasmatota,0.0,-0.019,0.028,0.009,0.34873333333333334,115.97374789229035,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Abditibacteriota,0.0,-0.023,0.031,0.011,0.5536,113.56369332832814,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*RCP2-54,0.0,-0.034,0.039,0.011,0.3214,113.67731382243514,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Deinococcota,0.0,-0.026,0.029,0.008,0.26213333333333333,116.0897796463904,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Crenarchaeota,0.0,-0.043,0.028,0.013,0.4040666666666667,113.90489595635319,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Entotheonellaeota,0.0,-0.024,0.036,0.013,0.5756666666666667,113.33679291771553,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota,0.0,-0.049,0.021,0.01,0.21673333333333333,114.01885782374646,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Myxococcota,0.0,-0.034,0.028,0.011,0.44406666666666667,113.90489595635319,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bdellovibrionota,0.0,-0.032,0.033,0.014,0.6654,113.67731382243514,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Gemmatimonadota,0.0,-0.028,0.022,0.008,0.3454,113.56369332832814,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Nitrospirota,0.0,-0.019,0.041,0.012,0.38366666666666666,113.22351277430954,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Methylomirabilota,0.0,-0.009,0.041,0.01,0.40073333333333333,113.4501863979239,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Hydrogenedentes,0.0,-0.022,0.038,0.009,0.26213333333333333,113.4501863979239,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*WOR-1,0.0,-0.031,0.039,0.013,0.42933333333333334,113.4501863979239,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Halobacterota,0.0,-0.034,0.031,0.013,0.5312,113.67731382243514,0.0
