,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia,-0.0022311050686703512,0.12469990005288871,-0.01789179516362144,0.9857251744787648,0.9857251744787648,0,0,0,False
Bacteria*Firmicutes*Clostridia,-0.435401383096297,0.17195611885218726,-2.5320493740066685,0.01133980223477009,0.10205822011293081,1,0,0,True
Bacteria*Firmicutes*Bacilli,0.27470993746003414,0.22374897332896626,1.2277595439785223,0.21953724667245678,0.6586117400173703,0,0,0,False
Bacteria*Firmicutes*Negativicutes,-0.0960200594235967,0.39087049496294973,-0.24565696480287763,0.8059477885381694,0.9857251744787648,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria,-0.2539692855078021,0.4311255952424114,-0.5890842211884947,0.5558047776066385,0.8763530371020527,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria,-0.6827102857181823,0.3664351212429245,-1.8631136759011326,0.06244627453186449,0.37467764719118696,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia,0.010564841041038026,0.5801867753296256,0.018209379272796675,0.9854718203001223,0.9857251744787648,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,-1.2919897274378693,0.4447425677721162,-2.9050282591790904,0.003672199435578547,0.06609958984041385,1,0,0,True
Bacteria*Proteobacteria*Alphaproteobacteria,0.06661237429698509,0.38302705584015584,0.17391036293995807,0.8619359082895164,0.9857251744787648,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae,-0.6427656322658767,0.40682293726474134,-1.579964090981416,0.11411509021879758,0.41081432478767127,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia,-0.7070474113384462,0.4115051805162477,-1.718198080644891,0.0857604915187044,0.38592221183416975,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia,0.1416838007969971,0.15243954665956277,0.9294425488775163,0.35265978580747415,0.8763530371020527,0,0,0,False
Bacteria*Spirochaetota*Brachyspirae,-0.018224417129931163,0.13608650619661988,-0.1339178853162726,0.8934675072423116,0.9857251744787648,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria,-0.09678156353126638,0.17686407961784828,-0.5472087025267263,0.5842353580680352,0.8763530371020527,0,0,0,False
Bacteria*Synergistota*Synergistia,-0.10991999077351022,0.1721387897912718,-0.6385544531060927,0.5231128194059174,0.8763530371020527,0,0,0,False
Bacteria*Firmicutes*Incertae_Sedis,0.0758654431974687,0.13857716217046187,0.5474599278064856,0.5840627935326383,0.8763530371020527,0,0,0,False
Bacteria*Patescibacteria*Saccharimonadia,0.03559118192354811,0.14766671914347418,0.24102371969791941,0.8095367327002485,0.9857251744787648,0,0,0,False
Bacteria*Campilobacterota*Campylobacteria,-0.101269017313897,0.15571570453302863,-0.6503455615963062,0.5154690329945306,0.8763530371020527,0,0,0,False
