,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia,455208.37874033814,-0.018877902728671236,0.1711494252279846,-0.11030070772089579,0.9123756025385017,0.9643837443380336,0,108
Bacteria*Firmicutes*Clostridia,435791.48671476985,-0.6627715459679101,0.28810501032930236,-2.3004513014555563,0.023343828442936556,0.210094455986429,0,108
Bacteria*Firmicutes*Bacilli,34691.83328583983,0.36154415426294967,0.3367033004978754,1.073776686264562,0.28531605702922413,0.7468970201783356,0,108
Bacteria*Firmicutes*Negativicutes,27180.555799278685,-0.14985641625868087,0.5577611955201692,-0.2686748692133817,0.7886924491572581,0.9464309389887097,0,108
Bacteria*Actinobacteriota*Actinobacteria,19591.458165133525,-0.45742904403634566,0.7094479918101271,-0.6447675507111303,0.5204450632729363,0.8193198996744583,0,108
Bacteria*Proteobacteria*Gammaproteobacteria,14142.365885623178,-1.131139943416458,0.6738860841675558,-1.6785328707503182,0.09613442361467778,0.34608392501284,0,108
Bacteria*Fusobacteriota*Fusobacteriia,200.5890388277599,0.04394223591586405,0.9817984427030398,0.044756880847034566,0.9643837443380336,0.9643837443380336,0,108
Bacteria*Actinobacteriota*Coriobacteriia,10698.031977080718,-2.155888562051803,0.8355841738669183,-2.5800974090674518,0.011220133569900715,0.20196240425821288,0,108
Bacteria*Proteobacteria*Alphaproteobacteria,36.02591375886296,0.24235537442135885,0.6055350785252039,0.40023341837044607,0.6897751628886524,0.8868537808568389,0,108
Bacteria*Verrucomicrobiota*Verrucomicrobiae,133.3334010418351,-1.1926946790103474,0.6405989971329004,-1.8618428757279304,0.06534393674619222,0.34608392501284,0,108
Bacteria*Desulfobacterota*Desulfovibrionia,2161.307243330972,-1.3564497063525933,0.7649773847287713,-1.7731892908618903,0.07901628511043847,0.34608392501284,0,108
Bacteria*Cyanobacteria*Vampirivibrionia,20.51615373429892,0.2808736095761521,0.31192920909369753,0.9004402325521976,0.36988949723445397,0.7468970201783356,0,108
Bacteria*Spirochaetota*Brachyspirae,20.516153734298907,-0.023339124198340555,0.2342648792837166,-0.09962707286598732,0.9208250949153324,0.9643837443380336,0,108
Bacteria*Verrucomicrobiota*Lentisphaeria,26.701498181013694,-0.18141592675509,0.2996853033095134,-0.6053547663220729,0.5462132664496389,0.8193198996744583,0,108
Bacteria*Synergistota*Synergistia,29.403346008732814,-0.2889876299876714,0.3067444975289897,-0.9421118628553716,0.3482379974698204,0.7468970201783356,0,108
Bacteria*Firmicutes*Incertae_Sedis,20.51615373429892,0.20032388403290086,0.26558224446122425,0.7542819153414779,0.4523214614472433,0.8141786306050379,0,108
Bacteria*Patescibacteria*Saccharimonadia,22.498289951039045,0.11898943492211261,0.2865707897933617,0.41521829565362406,0.6788058434198032,0.8868537808568389,0,108
Bacteria*Campilobacterota*Campylobacteria,24.482239633009872,-0.2207664874772668,0.2470143161180575,-0.8937396461335226,0.3734485100891678,0.7468970201783356,0,108
