,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,-0.048866949833120565,0.18449366950060325,-0.2648706048581292,0.791109143716036,0.9991113490814296,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,-0.19396516022355903,0.7608238258609767,-0.2549409648206808,0.7987686960157782,0.9991113490814296,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,1.0275054907162116,0.3930478900077185,2.6141992282315365,0.008943686763132048,0.10434301223654055,1,0,0,True
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.4818768952610781,0.20100155216484478,-2.3973789757896133,0.016512834930278112,0.12843316056882975,1,0,0,True
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-0.8950799825749628,0.20631281878983249,-4.338460343013229,1.4348436858931737e-05,0.0005021952900626109,1,0,0,True
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,-0.12283270402604536,0.6596462788138824,-0.18620995520040265,0.85228011737406,0.9991113490814296,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,-0.28143211535403423,0.4212786811174204,-0.6680426234898709,0.5041063851202281,0.9991113490814296,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.2107400463468298,0.3130854213255187,0.6731071841499794,0.5008791037493998,0.9991113490814296,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,-0.7311910348227525,0.5718833456326088,-1.278566757375877,0.2010496624493434,0.7407092827081073,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,-1.075223491612602,0.3570172199691626,-3.0116852394556055,0.00259801834798536,0.0454653210897438,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae,0.14479189254706898,0.14893509578318978,0.9721811490143853,0.3309604369879554,0.948447754699957,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,0.015947046649628198,0.5944995480930338,0.026824320894408196,0.978599854926782,0.9991113490814296,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,0.00645811551198509,0.35108260497466454,0.01839486041312452,0.985323852546423,0.9991113490814296,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,-0.8438512982639557,0.37857525476353376,-2.2290186367068374,0.02581266479838206,0.1644182057927242,1,0,0,True
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,-0.21466608181965008,0.4617114793972139,-0.4649355526094061,0.6419776095207563,0.9991113490814296,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,-0.6197869162576045,0.24782673912559156,-2.5008879931374723,0.012388235163037711,0.10839705767657998,1,0,0,True
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,0.024164673196230994,0.4321918320625614,0.05591191550499517,0.9554119784797284,0.9991113490814296,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,-1.6615460496760572,0.5293655604887635,-3.1387498048455416,0.0016967024766662126,0.039589724455544956,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,-1.21328987971423,0.4802898495667166,-2.5261618183452637,0.011531635210523805,0.10839705767657998,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.48046036635816897,0.4783344136529668,1.0044444903910772,0.3151644144945546,0.948447754699957,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,-0.17852841010953557,0.4577225161660352,-0.3900363294445751,0.6965096831155357,0.9991113490814296,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,-0.6078012046360003,0.4011596925407155,-1.5151103561440482,0.12974445947773636,0.6054741442294364,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,-1.07252968602809,0.48124617575511386,-2.2286508237602196,0.02583714662457095,0.1644182057927242,1,0,0,True
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,-0.8023747690000932,0.48754497002675384,-1.6457451483010135,0.09981623954189549,0.5007922352407528,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae,-0.6720829837085699,0.40878822572518836,-1.6440859628877469,0.10015844704815056,0.5007922352407528,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,-0.36055339026341265,0.3080576058510576,-1.170408986550834,0.24183642095337132,0.7694795212152723,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,-0.6245640241447915,0.511080602796647,-1.2220460348664381,0.22169021885211734,0.7694795212152723,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,0.5220021737235973,0.35506544583272176,1.4701576282630515,0.14151906750159343,0.6191459203194712,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Hafniaceae,0.05564746355066344,0.10982178436482858,0.506706969591773,0.6123604395980677,0.9991113490814296,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,-1.0437012066867128,0.38103712915827614,-2.7391063148945194,0.006160644808618201,0.08624902732065481,1,0,0,True
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,-0.48109528675083757,0.40217535109134234,-1.196232651865258,0.2316057821829227,0.7694795212152723,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,-0.08338576415225717,0.44911963143400563,-0.18566492826424133,0.8527075332496974,0.9991113490814296,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Leuconostocaceae,-0.06898172467565018,0.20796436800049614,-0.3316997298089335,0.7401160047200259,0.9991113490814296,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Halomonadaceae,1.5698091056998529,0.21003815570051326,7.473923490064319,7.783840838927086e-14,5.44868858724896e-12,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae,0.04675205400506559,0.10278954295783227,0.4548327841504739,0.6492295425714469,0.9991113490814296,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Pseudomonadaceae,0.00013173114082828952,0.11827616392152296,0.001113758989644727,0.9991113490814296,0.9991113490814296,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae,-0.42576505768218487,0.31913135692128386,-1.3341373338853788,0.1821588524069757,0.7083955371382389,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriales_Incertae_Sedis,-0.39029679235970904,0.2715146309650975,-1.4374797813745834,0.15058171377245,0.6200423508277352,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,-0.6480040058517833,0.3071286766853123,-2.1098778949766905,0.03486887472640715,0.20340176923737505,0,0,0,False
Bacteria*Firmicutes*Clostridia*Eubacteriales*Eubacteriaceae,-0.07757446211750801,0.27896385235215715,-0.27808069562926707,0.7809504141896967,0.9991113490814296,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,0.04126052106015222,0.15718371595635228,0.26249869974832307,0.7929369876742256,0.9991113490814296,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospirales_fa,0.01044074592543754,0.1329165019567381,0.07855116386403106,0.93738963303551,0.9991113490814296,0,0,0,False
Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae,-0.25748392016901195,0.3207773836352626,-0.8026872632073776,0.4221555165156208,0.9991113490814296,0,0,0,False
