,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,367380.98738319374,-0.05093227382214677,0.3351291043303978,-0.1519780680460792,0.8794877787564834,0.9746453081517136,0,108
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,1112.1878092209877,-0.3862353844500065,1.2432395347645866,-0.3106685185354422,0.7566514060718461,0.9746453081517136,0,108
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,76.0118316977883,1.7596821628250827,0.8738871929637043,2.013626217426634,0.04653557191840109,0.3619433371431196,0,108
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,272394.8042305408,-0.7317249435509781,0.4579059771455871,-1.5979807647680753,0.11296900218880274,0.49423938457601196,0,108
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,189663.78815270728,-1.295701515937763,0.4612239566296762,-2.8092675961715092,0.005895462899009679,0.14940876657753988,1,108
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,174.71856627042615,-0.22351454463674675,1.102866277000954,-0.202666950017326,0.8397766669915881,0.9746453081517136,0,108
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,24484.122423680874,-0.4979895941119498,0.776493773423349,-0.6413310848797276,0.5226663019242241,0.9746453081517136,0,108
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,9068.18367831939,0.22823769073401062,0.5961593774397994,0.38284676777907134,0.7025858424829071,0.9746453081517136,0,108
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,7377.086810553877,-1.1057724245774736,0.9739539717754723,-1.13534361645623,0.25874471716722697,0.8624823905574233,0,108
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,17536.788363875912,-1.8129645471009475,0.7449270332899804,-2.4337478250641067,0.016583791529543732,0.24573198815703845,0,108
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae,25.975632926652946,0.26676473491418834,0.38359786187715544,0.6954281069471078,0.48828071114933813,0.9746453081517136,0,108
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,253.96705977052764,0.053899178564256744,1.03196341518317,0.05222973777097498,0.9584421219381926,0.9746453081517136,0,108
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,12049.011506722798,-0.024587351644872024,0.49810053652897474,-0.04936222678298956,0.9607218037495462,0.9746453081517136,0,108
