,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,502577.0040262313,-0.07902329588954912,0.3253047728944858,-0.24292080065846658,0.8085275132378105,0.9842082265730184,0,108
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,896.032177178219,-1.2886845456122082,1.1757761618847506,-1.0960288083630367,0.27550419175251095,0.9039981291879265,0,108
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,103.98414713109382,1.7133466358045402,0.8761207843763271,1.955605512799469,0.053094918977732955,0.39821189233299714,0,108
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,84.713779158286,0.6543720650612844,0.9528878992687345,0.6867251284893667,0.4937278166885579,0.9498921734508937,0,108
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,132290.52768565086,-2.121971729033508,0.8493608439464101,-2.498315932689019,0.013985362273569106,0.21023886955839458,0,108
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,33483.17522851429,-0.5336295264406206,0.802308763360764,-0.6651174096682154,0.507393262124483,0.9498921734508937,0,108
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,12119.35366865252,0.20555064008877078,0.616093122828899,0.33363566719418836,0.739301403902603,0.9842082265730184,0,108
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,86546.09335104178,-0.4015161739069898,0.46556193938063234,-0.8624334163594927,0.3903600628013981,0.9498921734508937,0,108
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,23603.254565340096,-1.9350379680086482,0.776598881095025,-2.4916826628441617,0.014234404447675158,0.21023886955839458,0,108
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,45.259857353166105,0.39231649195440976,0.5641947704433742,0.6953564841554746,0.4883254046421883,0.9498921734508937,0,108
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,10609.775147945573,-3.071681906320059,1.1394515182764857,-2.695754805756221,0.00814762747589928,0.17110017699388486,1,108
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae*Succinivibrio,35.53465264206966,0.23867371284678784,0.3730266354209744,0.6398302163528771,0.5236379696623265,0.9498921734508937,0,108
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Veillonella,246.92334730239418,0.9112201224684625,0.9461424761494118,0.9630897517432306,0.33765393567741353,0.9329911380560111,0,108
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,65.13607893152637,-0.27466573266658373,0.6188415747406469,-0.4438385264947569,0.6580473021498775,0.9842082265730184,0,108
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,347.4268086924456,-0.08026199926231159,1.036150185107526,-0.07746174291710659,0.9383995515118371,0.9842082265730184,0,108
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Megasphaera,644.6383651499699,-1.7333866998043117,1.005824633736264,-1.7233488241040842,0.08768724004377265,0.5212300932484171,0,108
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Catenibacterium,107.18732891649361,-0.6042377108746627,0.7215359090716992,-0.8374326257054234,0.404198786875792,0.9498921734508937,0,108
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,44602.507719404966,-1.5842110303565993,0.8049739635732047,-1.9680276655463904,0.05162821470170975,0.39821189233299714,0,108
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,14791.16201222945,-1.7504700645033888,0.9181673507185102,-1.9064825852646161,0.05924528940844684,0.4012159995664821,0,108
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,840.8356394043924,-0.743059029868885,1.0658463511524447,-0.6971539838415298,0.487204419561893,0.9498921734508937,0,108
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Mitsuokella,115.23475245123439,-0.930076775088666,0.7211526340729681,-1.289708629136836,0.19990683091704753,0.791855518468848,0,108
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae*Holdemanella,111.85307779316759,-0.05654238697184705,0.8492992188602985,-0.06657534319615066,0.9470428640243533,0.9845495121045258,0,108
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,24085.155790005727,-0.5187591910674207,0.5245019586877702,-0.9890510082465335,0.3248488928379103,0.9329911380560111,0,108
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,951.3397561715524,-2.1991686718109187,0.9830843120254219,-2.2370092218031954,0.02733974443145284,0.30217612266342614,0,108
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,8312.02078084511,-2.973005772757194,1.0280258257285526,-2.891956309220395,0.00463041357217677,0.15788454193140286,1,108
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae*Collinsella,12875.837204312946,-2.8060914175302525,1.0189978489491072,-2.753775604555177,0.006913793225451897,0.16434185567763726,1,108
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Parasutterella,524.762810548311,-0.4236446846527203,0.9753952634025829,-0.43433129168053586,0.6649143910444822,0.9842082265730184,0,108
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,19687.549157852784,-1.3788726086144512,0.7287009166573539,-1.8922339427532484,0.06113767612441631,0.4012159995664821,0,108
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,493.09300568264536,-0.4106100877337396,0.8027636125143615,-0.5114956399775703,0.6100482413509178,0.9842082265730184,0,108
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,16014.251213673406,-3.442116166997596,0.9747219814760382,-3.5313825197469546,0.0006091878620400326,0.06396472551420343,1,108
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,2605.7600449303873,0.09814009537209001,0.9908509432003526,0.09904627537125514,0.9212851363944972,0.9842082265730184,0,108
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Klebsiella,35.53465264206965,0.49116979367107705,0.44230342036698467,1.110481563229937,0.2692578542429182,0.9039981291879265,0,108
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,609.3155633547049,-0.7173359074643142,0.8854197225016025,-0.810164817017633,0.41962701183224516,0.9498921734508937,0,108
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,230.93783332723126,-1.1345264853800971,0.6566642706996033,-1.7277116115536244,0.08689838032073013,0.5212300932484171,0,108
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Raoultella,35.53465264206966,0.26971810239911054,0.3359795599948,0.8027812834902367,0.42386428208421,0.9498921734508937,0,108
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Lactococcus,62.586233426385995,0.20440524996277543,0.5171087123719881,0.39528486964600623,0.6934123373741855,0.9842082265730184,0,108
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,3837.0189477709514,-2.710619547210703,0.8877721025785604,-3.0532830884611353,0.0028502797040412513,0.15788454193140286,1,108
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae*Barnesiella,746.1267962745577,-1.148959912230913,0.8891623555100472,-1.2921823614224415,0.1990520763403981,0.791855518468848,0,108
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-005,470.34747329658563,-0.591136519481587,0.7955501735867561,-0.7430537244639575,0.45906243280239045,0.9498921734508937,0,108
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,103.70739489816674,0.3085153850641634,0.8260123182588296,0.37349973873814635,0.7095086916124793,0.9842082265730184,0,108
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,771.0342351191844,-1.763888422423192,0.8585551099497193,-2.054484798915812,0.0423427525388483,0.35567912132632573,0,108
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Fournierella,53.35987093581271,0.8119593735245084,0.5772080194398413,1.4067014770731778,0.1623869983895438,0.7413319491696564,0,108
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelatoclostridium,1156.689331152229,0.7456202998206799,0.7656914827178648,0.9737868536477106,0.3323384133112093,0.9329911380560111,0,108
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Intestinibacter,614.3785207646322,-0.30778938716027526,0.858351371812657,-0.3585820414200411,0.7206077767676171,0.9842082265730184,0,108
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,245.5078015981256,-0.29699441886131667,0.7810362090088603,-0.3802569143858316,0.7045015355494104,0.9842082265730184,0,108
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Paraprevotella,82.61543924936495,0.8156708432384195,0.8170468395915736,0.9983158904894095,0.3203577181201753,0.9329911380560111,0,108
