Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,-0.23758475562084944,-0.346,-0.113,0.061,1.0,7503.219829297204,-0.00849435935284607
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.0,-0.533,0.13,0.161,0.5006666666666667,108.81751159069464,0.3342679893721695
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.0,-0.137,0.47,0.133,0.44166666666666665,84.66245843493657,0.33426798937217
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,0.0,-0.351,0.385,0.125,0.4246666666666667,73.52844025279047,0.3342679893721697
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-1.1535278422145336,-1.364,-0.951,0.11,1.0,793.2547602384851,-1.3299209081180845
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,-0.3117576534477394,-0.546,0.003,0.172,0.8547333333333333,571.3000882159471,-0.11550323121606389
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,0.0,-0.309,0.318,0.108,0.43906666666666666,398.0876764417462,0.33426798937217
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,-0.3217348647056289,-0.523,-0.121,0.12,0.9659333333333333,1261.3494373600097,-0.1298973044197225
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,-0.6897319924702009,-1.026,-0.39,0.169,1.0,274.4969860534881,-0.6608049357070526
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,0.0,-0.374,0.328,0.111,0.3606666666666667,64.3072433108704,0.3342679893721697
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,-0.8050530095949876,-1.183,-0.429,0.202,1.0,145.5644966000714,-0.8271779952232542
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae*Succinivibrio,0.0,-0.335,0.329,0.105,0.36206666666666665,60.139825355522525,0.3342679893721697
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Veillonella,0.0,-0.25,0.39,0.102,0.3364666666666667,96.99624569613441,0.3342679893721697
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,0.0,-0.383,0.35,0.129,0.44526666666666664,65.21387634013635,0.3342679893721697
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,0.0,-0.391,0.259,0.116,0.4418666666666667,94.69604857330313,0.3342679893721695
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Megasphaera,-0.2308699281704234,-0.605,0.113,0.196,0.7171333333333333,79.42413945581794,0.0011930889103087068
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Catenibacterium,0.0,-0.43,0.258,0.132,0.4650666666666667,69.94241590609703,0.3342679893721697
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,-0.7541166705354693,-1.041,-0.478,0.146,1.0,457.39877484048395,-0.7536923914610484
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,-0.5675218870152964,-0.909,-0.226,0.195,0.985,231.40059511896956,-0.48449302262074523
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,0.0,-0.45,0.191,0.137,0.4845333333333333,112.80630959108747,0.3342679893721697
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Mitsuokella,0.0,-0.447,0.249,0.129,0.4517333333333333,68.69471541196589,0.3342679893721697
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae*Holdemanella,0.0,-0.4,0.307,0.119,0.41646666666666665,73.01553842177691,0.3342679893721697
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,-0.28369298787405106,-0.554,0.016,0.183,0.6756,422.4112162732638,-0.07501447736869626
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,-0.31826732988139544,-0.652,0.028,0.21,0.776,80.59244766611769,-0.12489470912469097
