,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.017472875777908695,0.10287614910809638,0.16984379692856888,0.8651329823161312,0.9863850636949557,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,0.5552877979679408,0.3143785705704966,1.7663029543021045,0.0773450362292086,0.4771855391004505,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales,-0.4969914260251097,0.19988749807865944,-2.486355729108853,0.012905888679876758,0.09679416509907568,1,0,0,True
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.7072792770880492,0.17473785169724118,-4.047659223334814,5.1732389919903974e-05,0.0011639787731978395,1,0,0,True
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,-0.2439869791033552,0.6138569753151083,-0.39746551544536984,0.6910242113139868,0.9863850636949557,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,-0.2964923527777812,0.4253927265314053,-0.6969850077017999,0.48581217630670165,0.9119696324135033,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,-0.16802122601522584,0.2772309352941423,-0.6060695421200205,0.5444685752751364,0.9423494572069668,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,0.12973165512332152,0.15641826950635612,0.8293894027388522,0.4068840960816906,0.9119696324135033,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.03046903124716681,0.5953168277660953,0.05118120272443959,0.9591811302640965,0.9863850636949557,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,-0.321131187209024,0.33617934979991576,-0.9552376949986726,0.3394575073031247,0.9119696324135033,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.4729487491965839,0.4796677300792545,0.9859924267126321,0.32413682920645215,0.9119696324135033,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,-1.2720855372317401,0.44610105533654104,-2.851563613253665,0.0043504780382564515,0.06525717057384678,1,0,0,True
