,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,484639.1432514342,0.08833266887071803,0.15226568167440782,0.5801219808650068,0.5630407377038393,0.9545062944913073,0,108
Bacteria*Firmicutes*Bacilli*Lactobacillales,8321.212588506865,0.8062972546256388,0.5884769379752331,1.3701424857868822,0.17348395212282683,0.7487254847121794,0,108
Bacteria*Firmicutes*Clostridia*Lachnospirales,229167.46360525908,-0.7105630688895352,0.44567542623153233,-1.5943510166081973,0.11377984613819944,0.5688992306909972,0,108
Bacteria*Firmicutes*Clostridia*Oscillospirales,193836.34908988254,-0.9768624445460944,0.3625016081267742,-2.694780995852757,0.008169942711325729,0.1838237110048289,1,108
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,7530.2578764959035,-0.29858456844360026,1.0149391782508586,-0.29418961731103876,0.769177685571867,0.9751577870732039,0,108
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,20588.39963502251,-0.4767493852598115,0.7756191632076654,-0.6146694252475114,0.5400659008709351,0.9545062944913073,0,108
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,19756.666867457116,-0.23495253435351476,0.4323737080660631,-0.5434015296730669,0.58797324685005,0.9545062944913073,0,108
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,21.84259260807026,0.2880049437663268,0.3903105031601562,0.7378867374423426,0.4621835674284672,0.9545062944913073,0,108
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,213.55780003901734,0.15144166046565313,1.0186974866448373,0.14866205370196653,0.8820975315394919,0.9883514466818129,0,108
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,3630.996763445558,-0.5590742038066265,0.5621464408638717,-0.9945348100887663,0.3221856118479872,0.8908881743639281,0,108
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,77.78974475927777,0.8327908702845931,0.9130487961457756,0.9120989741183901,0.3637480986719659,0.8908881743639281,0,108
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,11389.696002951487,-2.0483891375020136,0.8521840905322147,-2.403693239828888,0.017933748490517362,0.20384855927059797,0,108
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,47.4260533163949,-0.018291646535797262,0.48280548568920606,-0.037886161358928826,0.969848388905365,0.9883514466818129,0,108
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,38.34975207461114,0.017490417502633165,0.6024495713328109,0.029032168558006898,0.9768925154557024,0.9883514466818129,0,108
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,9214.684450881019,-1.9765700163066566,0.8985382181985476,-2.199761764468319,0.02995460160394893,0.26959141443554036,0,108
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,79.9477362543848,-0.3193072770448034,0.7183026524045902,-0.44453027700216646,0.6575487806495672,0.9545062944913073,0,108
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,141.95385732250526,-1.0851952544605583,0.6475343085909792,-1.6758884279381583,0.09665282053818418,0.5688992306909972,0,108
Bacteria*Firmicutes*Clostridia*Christensenellales,479.36144854034643,-1.51742851654063,0.834826381187022,-1.817657600114446,0.07188880914390201,0.5391660685792651,0,108
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,2301.0430818729224,-1.2489502818028049,0.7805753242955284,-1.6000381294783899,0.11251146478793092,0.5688992306909972,0,108
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,4098.449852562215,-1.0601255223244341,0.8970264024667302,-1.1818219836218846,0.23987200982785586,0.8303261878656549,0,108
Bacteria*Firmicutes*Clostridia*Monoglobales,3505.183018829793,-1.7619374320577639,0.7342297802757812,-2.3997084828076156,0.018119871935164265,0.20384855927059797,0,108
Bacteria*Firmicutes*Clostridia*Clostridiales,152.78407501754594,-0.06262997273611721,0.7333398995656194,-0.08540374357540745,0.932098539839308,0.9883514466818129,0,108
Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales,21.842592608070213,3.067271229747215,0.6294564286432692,4.872888877087829,3.7941270493865947e-06,0.00017073571722239677,1,108
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,23.768721427305156,0.0053193869164242236,0.25288556973607734,0.02103475861424506,0.9832567417762987,0.9883514466818129,0,108
Bacteria*Firmicutes*Clostridia*Eubacteriales,78.72822272207083,-0.18313142824142895,0.510557049721574,-0.3586894517298261,0.7205276441169868,0.9643456617157548,0,108
Bacteria*Firmicutes*Bacilli*RF39,28.0907384611947,0.41450654070868376,0.4410118444605813,0.9398988846108721,0.3493668593180588,0.8908881743639281,0,108
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,21.84259260807026,0.38837303412594204,0.30096595888300326,1.290421799087641,0.19966012925658116,0.7487254847121794,0,108
Bacteria*Firmicutes*Bacilli*Izemoplasmatales,27.132211762901044,-0.13132680057241425,0.25664859553853864,-0.511698886552816,0.6099064444235922,0.9545062944913073,0,108
Bacteria*Firmicutes*Bacilli*Bacillales,52.991698173512496,-0.4100252878740752,0.5159075141852972,-0.7947651014960938,0.4284932287079297,0.9545062944913073,0,108
Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,127.87458810020037,0.007719308585683482,0.5275037260860473,0.014633656984679375,0.9883514466818129,0.9883514466818129,0,108
Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales,21.842592608070273,0.09459393505241884,0.2078033232849211,0.4552089618062566,0.6498727157763938,0.9545062944913073,0,108
Bacteria*Firmicutes*Bacilli*Staphylococcales,41.59713081232903,-0.009174248331486223,0.38926852107291776,-0.023567917349699343,0.9812407532575349,0.9883514466818129,0,108
Bacteria*Firmicutes*Clostridia*Peptococcales,26.518424143204275,0.044656750973894294,0.2667474289128613,0.16741211398323305,0.8673588652463698,0.9883514466818129,0,108
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales,21.842592608070273,0.08416030035144903,0.21130032532047366,0.3982970694617025,0.6911975163259726,0.9643456617157548,0,108
Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales,28.427840537086993,-0.0739165022053011,0.29373734804335405,-0.2516414841274846,0.8017964027046343,0.9751577870732039,0,108
Bacteria*Synergistota*Synergistia*Synergistales,31.30437198416847,-0.18148820543788205,0.2858401150078865,-0.6349290946544529,0.5268175040766411,0.9545062944913073,0,108
Bacteria*Firmicutes*Clostridia*Clostridia_or,29.773374272871962,-0.13409441415660253,0.26236529969231764,-0.5110981304077117,0.6103256106220416,0.9545062944913073,0,108
Bacteria*Firmicutes*Incertae_Sedis*DTU014,21.84259260807026,0.30782330858269025,0.2311807967663723,1.3315262897626037,0.18581950451461843,0.7487254847121794,0,108
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,21.842592608070273,0.19503319348512158,0.20814052861834828,0.9370265117503346,0.3508355938077087,0.8908881743639281,0,108
Bacteria*Patescibacteria*Saccharimonadia*Saccharimonadales,23.95288064922368,0.2264888594719017,0.2548612806191426,0.8886750428377552,0.3761527847314363,0.8908881743639281,0,108
Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales,21.842592608070273,0.06579688089429675,0.18914347057538555,0.347867577422254,0.728616722185237,0.9643456617157548,0,108
Bacteria*Campilobacterota*Campylobacteria*Campylobacterales,26.06509940228132,-0.11326706292747774,0.2136593383428064,-0.5301292412772806,0.5971105759165349,0.9545062944913073,0,108
Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales,23.237406076887932,0.2641225278004331,0.23488916295606943,1.1244559965068763,0.2633126120957978,0.8463619674507787,0,108
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales,21.842592608070277,0.0453658447752566,0.17288004776216334,0.26241226424039316,0.7935035072253303,0.9751577870732039,0,108
Bacteria*Actinobacteriota*Actinobacteria*Propionibacteriales,23.23740607688796,-0.07735997388043801,0.1619037465294097,-0.47781459996285897,0.6337478444638208,0.9545062944913073,0,108
