,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia,770055.4728842248,0.021201178257993593,0.1473962245323469,0.1438380007714572,0.8857114123314566,0.9490006092034212,0,349
Bacteria*Proteobacteria*Gammaproteobacteria,12903.031616472179,0.2030481806270158,0.3632729323455675,0.5589411226319055,0.5765603689123318,0.9490006092034212,0,349
Bacteria*Bacteroidota*Bacteroidia,150664.08282785356,0.01332022249391607,0.2081029012911386,0.06400786539386547,0.9490006092034212,0.9490006092034212,0,349
Bacteria*Firmicutes*Bacilli,31913.315270489304,0.15531655170899933,0.28445140570126864,0.5460213892284752,0.585400088693283,0.9490006092034212,0,349
Bacteria*Actinobacteriota*Actinobacteria,4599.8881138531515,0.17891226860564213,0.4586788183943064,0.39006001897353576,0.6967301124497914,0.9490006092034212,0,349
Bacteria*Verrucomicrobiota*Verrucomicrobiae,3100.086246365633,0.06507399889554152,0.5509641572103012,0.11810931445165314,0.9060489899624888,0.9490006092034212,0,349
Bacteria*Firmicutes*Negativicutes,12429.313204826734,-0.2447187125919177,0.34670140464876453,-0.705848633177119,0.4807531618447062,0.9490006092034212,0,349
Bacteria*Actinobacteriota*Coriobacteriia,12373.490133219584,-0.381326904339166,0.29649741329523166,-1.286105332593465,0.19925888818145837,0.9490006092034212,0,349
Bacteria*Proteobacteria*Alphaproteobacteria,190.80608888208613,0.576206955724173,0.3691671228769943,1.5608295539258081,0.11947027453392862,0.9490006092034212,0,349
Bacteria*Desulfobacterota*Desulfovibrionia,962.2527597975449,0.20079859213473442,0.4072911647972977,0.4930099385648806,0.6223156141826585,0.9490006092034212,0,349
Bacteria*Cyanobacteria*Vampirivibrionia,120.53988355128426,-0.21431724917852074,0.3203495444954784,-0.6690106256153759,0.5039309932775399,0.9490006092034212,0,349
Bacteria*Fusobacteriota*Fusobacteriia,55.292867241311,-0.043970799686021585,0.20583850060303802,-0.21361795561666955,0.8309697347268897,0.9490006092034212,0,349
Bacteria*Elusimicrobiota*Elusimicrobia,43.3603603076498,0.06143142377077445,0.13026391202141016,0.47159203817460654,0.6375126920683343,0.9490006092034212,0,349
Bacteria*Synergistota*Synergistia,58.68005710297971,0.04600079113666513,0.21641958311064807,0.21255373693768956,0.831799150932,0.9490006092034212,0,349
Bacteria*Campilobacterota*Campylobacteria,50.315064909027285,-0.1433104551036699,0.1762630493376977,-0.8130487679757837,0.4167443957771606,0.9490006092034212,0,349
Archaea*Euryarchaeota*Methanobacteria,69.78095625998682,0.03308169191393888,0.23101141416118667,0.14320371153113823,0.8862119430843751,0.9490006092034212,0,349
Bacteria*Spirochaetota*Brachyspirae,44.143607649661305,-0.060949983724977834,0.13733305998487488,-0.4438114444671264,0.657453943926199,0.9490006092034212,0,349
Bacteria*Halanaerobiaeota*Halanaerobiia,42.719869644617,-0.013652689395004516,0.11433028664299348,-0.11941445959666187,0.9050157140571926,0.9490006092034212,0,349
Bacteria*Verrucomicrobiota*Lentisphaeria,54.234991840942335,-0.015215742558444023,0.17378583972955092,-0.08755455900275347,0.9302809344883707,0.9490006092034212,0,349
Bacteria*Firmicutes*Incertae_Sedis,43.31751566573985,0.04719780035655934,0.12412258574172616,0.38025150760852144,0.7039900426085482,0.9490006092034212,0,349
Archaea*Thermoplasmatota*Thermoplasmata,42.719869644617,-0.013652689395004516,0.11433028664299348,-0.11941445959666187,0.9050157140571926,0.9490006092034212,0,349
Bacteria*Patescibacteria*Saccharimonadia,54.438268110169645,-0.15615834374115722,0.17521431269956175,-0.8912419387160476,0.3734134056016877,0.9490006092034212,0,349
Bacteria*Verrucomicrobiota*Kiritimatiellae,43.27780279817438,-0.032372700405752505,0.11408626891906794,-0.2837563250378316,0.7767653872480123,0.9490006092034212,0,349
Bacteria*Deinococcota*Deinococci,42.719869644617,-0.013652689395004516,0.11433028664299348,-0.11941445959666187,0.9050157140571926,0.9490006092034212,0,349
Bacteria*Cyanobacteria*Cyanobacteriia,42.719869644617,-0.013652689395004516,0.11433028664299348,-0.11941445959666187,0.9050157140571926,0.9490006092034212,0,349
