,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia,764125.4560259363,-0.6398921722114715,0.3073262884629219,-2.082126379138805,0.03881115942008477,0.2425697463755298,0,172
Bacteria*Proteobacteria*Gammaproteobacteria,14728.3524301744,-0.15822285222883395,0.584406699424914,-0.2707409966116633,0.7869148623895932,0.9333993524719905,0,172
Bacteria*Bacteroidota*Bacteroidia,157337.68293543896,-1.0543771413705254,0.4920326209446469,-2.1429008900796878,0.03352689147349476,0.2425697463755298,0,172
Bacteria*Firmicutes*Bacilli,5562.318040471613,0.637749360819351,0.5133654761490983,1.2422910975691077,0.21582028952430327,0.5995008042341757,0,172
Bacteria*Actinobacteriota*Actinobacteria,2549.246715731961,-0.9217157456931371,0.5687960237334752,-1.6204679836598719,0.10696368571838231,0.445682023826593,0,172
Bacteria*Verrucomicrobiota*Verrucomicrobiae,6358.766270841247,-0.6885969925275708,0.7347557848897388,-0.9371780483918274,0.34998103732404673,0.8749525933101168,0,172
Bacteria*Firmicutes*Negativicutes,42898.43131907793,-0.8486848200923218,0.4050351931779106,-2.0953359964439913,0.03760552333799881,0.2425697463755298,0,172
Bacteria*Actinobacteriota*Coriobacteriia,3348.1221706506767,-0.6850632260270959,0.47204989029926564,-1.4512517428884182,0.1485311955381541,0.5304685554934075,0,172
Bacteria*Proteobacteria*Alphaproteobacteria,252.60448405780028,0.27585541916313805,0.6085013685289686,0.45333574159415474,0.6508783992606602,0.9333993524719905,0,172
Bacteria*Desulfobacterota*Desulfovibrionia,2046.0755825708072,-1.1388276428726911,0.49341519106392834,-2.308051441255973,0.022186724560747016,0.2425697463755298,0,172
Bacteria*Cyanobacteria*Vampirivibrionia,158.57906033917092,0.1276367494288757,0.5225932876769223,0.24423725378536307,0.8073381755740414,0.9333993524719905,0,172
Bacteria*Fusobacteriota*Fusobacteriia,37.85365906104416,-0.06837484093989701,0.17608696042932126,-0.3883015572146336,0.6982730741353262,0.9333993524719905,0,172
Bacteria*Elusimicrobiota*Elusimicrobia,38.72681858550393,-0.1012750668697907,0.18804686587972275,-0.5385629076879567,0.5908847996675659,0.9333993524719905,0,172
Bacteria*Synergistota*Synergistia,57.665545027172506,0.4804642244880449,0.37420210347615485,1.2839698655479668,0.20087939311654388,0.5995008042341757,0,172
Bacteria*Campilobacterota*Campylobacteria,39.25675260636894,0.14524241968022072,0.2483686505037184,0.5847856377431428,0.5594581785699508,0.9333993524719905,0,172
Archaea*Euryarchaeota*Methanobacteria,49.59362515491651,-0.16667017410894835,0.26919164865302864,-0.6191506123719903,0.5366363536397006,0.9333993524719905,0,172
Bacteria*Spirochaetota*Brachyspirae,35.496362091912424,0.024386746715496344,0.13680322564865183,0.17826148908307318,0.8587274042742312,0.9333993524719905,0,172
Bacteria*Halanaerobiaeota*Halanaerobiia,38.13791397797098,-0.07916801326972875,0.17847277810239764,-0.4435859300868091,0.6578994707254116,0.9333993524719905,0,172
Bacteria*Verrucomicrobiota*Lentisphaeria,88.81427737892965,-0.004907575729212438,0.3840190315872577,-0.012779511757341972,0.9898185133737247,0.9898185133737247,0,172
Bacteria*Firmicutes*Incertae_Sedis,66.60021108524988,0.6531524654839724,0.34600003182903866,1.887723715027576,0.060747146874032744,0.3037357343701637,0,172
Archaea*Thermoplasmatota*Thermoplasmata,38.169119424509,-0.08034798170701118,0.17584284937991043,-0.45693061725483347,0.6482974647416082,0.9333993524719905,0,172
Bacteria*Patescibacteria*Saccharimonadia,35.496362091912424,0.024386746715496344,0.13680322564865183,0.17826148908307318,0.8587274042742312,0.9333993524719905,0,172
Bacteria*Verrucomicrobiota*Kiritimatiellae,35.496362091912424,0.024386746715496344,0.13680322564865183,0.17826148908307318,0.8587274042742312,0.9333993524719905,0,172
Bacteria*Deinococcota*Deinococci,36.36291371310526,-0.010409883715711526,0.1543376101577937,-0.06744878131175241,0.9463027768901278,0.9857320592605499,0,172
Bacteria*Cyanobacteria*Cyanobacteriia,36.695042418576136,0.09304737081008146,0.15506417609805578,0.6000571708531981,0.5492578755111204,0.9333993524719905,0,172
