,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-0.08305729859895974,0.12167148367170531,-0.6826357014192859,0.49483706874678907,0.9876136762048084,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,0.06810734238880249,0.1148550231782849,0.5929853175257487,0.5531909783645661,0.9876136762048084,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.40811231634433426,0.32916501685352123,1.2398410992925917,0.21503417326910595,0.9876136762048084,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.04592711358366339,0.1822703406270527,0.25197250098761736,0.8010623191848133,0.9876136762048084,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae,0.08744937731199766,0.11177809020159798,0.7823481073462416,0.43401002175490144,0.9876136762048084,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,-0.4004363555566131,0.3582580005785903,-1.1177317880128408,0.26368156201950177,0.9876136762048084,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,0.177480972841319,0.3428898211907164,0.5176035037289821,0.6047349367000003,0.9876136762048084,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.17502353631348438,0.2410684868194013,0.7260324176863685,0.4678188975330056,0.9876136762048084,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.33875526270164324,0.23798481287999837,1.4234322711695786,0.15461088296183395,0.9876136762048084,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,-0.2742376468639116,0.29187931489745855,-0.9395583478063708,0.3474441499208103,0.9876136762048084,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,0.05620023826288466,0.36162747277132046,0.15540920558992918,0.8764987273268863,0.9876136762048084,0,0,0,False
Bacteria*Firmicutes*Bacilli*Staphylococcales*Staphylococcaceae,-0.05774397058672813,0.1329132138407196,-0.434448682099639,0.6639626527246807,0.9876136762048084,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,0.22975493274430908,0.2395648504358494,0.9590510975475209,0.3375330043140384,0.9876136762048084,0,0,0,False
Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae,0.052814261903726734,0.16635302610731098,0.3174830247431587,0.750877118046333,0.9876136762048084,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,0.20822051881434123,0.20241019977307367,1.028705663290593,0.3036180078828046,0.9876136762048084,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,0.0752072823663676,0.3375779685292295,0.22278492489907767,0.8237029013535465,0.9876136762048084,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,-0.037266450372593636,0.18729221147989514,-0.19897490706170662,0.842282373378059,0.9876136762048084,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Listeriaceae,0.04692422065163783,0.08340999438744262,0.5625731184403757,0.5737256011142704,0.9876136762048084,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.04494305783341865,0.26664976574588894,0.16854714913287544,0.8661528545317736,0.9876136762048084,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,0.21549912946784328,0.2997679624112646,0.7188864604957041,0.47221087941316137,0.9876136762048084,0,0,0,False
