,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,275633.4356358465,-0.12477904669423107,0.1666840773213103,-0.7485960788786048,0.4546048927702575,0.9833768319044879,0,349
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,546990.347863853,0.0933889674433244,0.16259048136744833,0.5743815176502791,0.5660796824773352,0.9833768319044879,0,349
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,557.9800672801297,0.7497851872940589,0.5557857500876152,1.3490543562440405,0.17819411243608257,0.9833768319044879,0,349
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,96551.13751928518,0.053105932911947276,0.2577148883553354,0.20606466801687143,0.8368605509741462,0.9833768319044879,0,349
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae,52.353986029850084,0.13606771436706946,0.12456784591810727,1.092318112785882,0.27544675338901814,0.9833768319044879,0,349
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,1794.9994544015178,-0.7382547828190527,0.5867699081529658,-1.2581674222915262,0.20917230225913966,0.9833768319044879,0,349
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,3451.0791973185133,0.22354189294971488,0.5266964431751561,0.4244226363142055,0.6715191248480612,0.9833768319044879,0,349
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,10147.191171040333,0.28902766101300764,0.3916928960364762,0.7378935485878511,0.46107499252901096,0.9833768319044879,0,349
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,4023.981516421987,0.5910018845480357,0.4185685816691817,1.411959498228985,0.1588528683064686,0.9833768319044879,0,349
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,1807.8727246205667,-0.5088021522427217,0.4780732361630109,-1.0642765872575077,0.28793920987880145,0.9833768319044879,0,349
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,3726.2063191801876,0.08427526271827646,0.5741692182614494,0.1467777443267631,0.8833922009745337,0.9833768319044879,0,349
Bacteria*Firmicutes*Bacilli*Staphylococcales*Staphylococcaceae,74.55050481156155,-0.1146457359144456,0.2518273166556007,-0.4552553608440947,0.6492086228234007,0.9833768319044879,0,349
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,6605.268661676831,0.32280235939001106,0.3857093010228816,0.8369058213892056,0.40321819968127237,0.9833768319044879,0,349
Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae,81.2221212629837,0.10243261558983341,0.2916980874559827,0.35115970928431445,0.7256804252551335,0.9833768319044879,0,349
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,11607.613084470824,0.397397977987171,0.3746477861445203,1.0607242126712444,0.2895487545588178,0.9833768319044879,0,349
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,2799.767541756767,0.06716631608048677,0.5416639447269087,0.12399997587867896,0.9013866790855641,0.9833768319044879,0,349
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,121.09828739138403,-0.04269170187295942,0.35213480744660464,-0.1212368132037981,0.9035732377213614,0.9833768319044879,0,349
Bacteria*Firmicutes*Bacilli*Lactobacillales*Listeriaceae,54.123873080127275,0.0861508803058216,0.13035891906335484,0.6608744604882156,0.5091288289240475,0.9833768319044879,0,349
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,1777.2783422187797,0.12666770631577598,0.46544157110178497,0.272145236223594,0.7856712783762617,0.9833768319044879,0,349
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,724.0356224797148,0.36350621949002637,0.502920829121563,0.7227901459658213,0.4702929028213946,0.9833768319044879,0,349
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,3266.506401731616,0.27786567767641945,0.43138014751635434,0.6441318156994814,0.5199130564460617,0.9833768319044879,0,349
