,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-0.48199447080186464,0.3301948070511473,-1.459727592648674,0.14436495537158897,0.97109905592316,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.509770491942404,0.34956111595863004,-1.4583157813317384,0.14475352228117905,0.97109905592316,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.6591899784171709,0.5611489055616651,1.1747148963203884,0.24010879768976698,0.97109905592316,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,-0.31855387762310067,0.4160711095847101,-0.7656236404903394,0.44390027386210285,0.97109905592316,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae,-0.024645361681380276,0.10250657890180953,-0.24042712131665156,0.8099991549472185,0.97109905592316,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,-1.3410648996719727,0.510610524997508,-2.626394940994445,0.008629462686826048,0.4314731343413024,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,-0.5124581371921242,0.3451103984316038,-1.484910740218355,0.1375674705670543,0.97109905592316,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,-0.42261243428425005,0.33357001178802637,-1.2669377322587603,0.20517755558482473,0.97109905592316,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.05335283886538826,0.38094955592835184,0.1400522406053749,0.8886187150549523,0.9873541278388359,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,-0.07977209897010751,0.4498541491868586,-0.17732880560132855,0.8592501257302256,0.9873541278388359,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,-0.41195262180512854,0.49894005634452754,-0.8256555403133787,0.40899951940325435,0.97109905592316,0,0,0,False
Bacteria*Firmicutes*Bacilli*Staphylococcales*Staphylococcaceae,0.37941037594758975,0.35137649151485945,1.0797830393031425,0.28023880561334963,0.97109905592316,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,-0.5632683607301384,0.3667203884426101,-1.53596139860734,0.1245478479764459,0.97109905592316,0,0,0,False
Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae,0.41313709936150517,0.34579340773814304,1.1947512304062173,0.2321842399542138,0.97109905592316,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,-0.2000559139872453,0.3063452581827093,-0.6530406743489683,0.5137300567855037,0.97109905592316,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,-1.0405051875712035,0.53027866725667,-1.9621856427944313,0.04974087484273154,0.8290145807121925,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,0.49455395629934584,0.360474211641719,1.3719537773506272,0.17007782759381285,0.97109905592316,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Listeriaceae,0.30004830003002836,0.24598881728268415,1.219763984983189,0.22255435784029154,0.97109905592316,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.375664060701848,0.3996608159117423,0.9399571980676896,0.3472395160528808,0.97109905592316,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,0.11484427825127042,0.2924599191045929,0.39268382006971175,0.6945530224005123,0.97109905592316,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,-0.17860857374599337,0.4025504820110416,-0.4436923609026862,0.6572650192094225,0.97109905592316,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,-0.44119011163821503,0.362458402592352,-1.2172158473434829,0.2235221022129326,0.97109905592316,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,-0.06197753602228467,0.3216301243507635,-0.19269816889009186,0.8471953575920484,0.9873541278388359,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,0.10458835861221699,0.20737970189417554,0.5043326692869282,0.6140276238290777,0.97109905592316,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,-0.6444050977821252,0.2982660613918217,-2.160504265135257,0.03073365378550371,0.7683413446375927,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,-0.8275948065252431,0.3784145664794751,-2.1870056806339435,0.028742109304059245,0.7683413446375927,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae,0.07459300960481055,0.21024195487997363,0.35479602369277546,0.722742407478535,0.97109905592316,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,0.16514631982249736,0.23891506264216059,0.691234441211638,0.4894182232705949,0.97109905592316,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,-0.530337834335135,0.30197713234275303,-1.7562185262862415,0.07905110252744839,0.9246773615333106,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,-0.3411293386824834,0.3551766529226031,-0.9604497814692208,0.33682889388351017,0.97109905592316,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,-0.12080918672776786,0.40129627179950655,-0.3010473687832462,0.7633783738831306,0.97109905592316,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae,0.17318051443588947,0.2287862146149472,0.7569534498717788,0.4490777514342951,0.97109905592316,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,0.3487956550312823,0.36009671247168046,0.9686166047925613,0.33273651545236693,0.97109905592316,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Pseudomonadaceae,0.24704961299181213,0.3043048224990064,0.8118491549460041,0.41687819264016274,0.97109905592316,0,0,0,False
