Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-0.593773899949241,-0.85,-0.362,0.13,1.0,3948.1041086396026,-0.3658192007326914
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.5764984599939404,-0.84,-0.308,0.143,1.0,2867.701767629801,-0.34089600918000423
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.0,-0.298,0.402,0.119,0.3892,378.32918261458354,0.49081546013337835
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,-0.3115757517818269,-0.596,0.004,0.194,0.7827333333333333,1366.747239943418,0.04130666817648601
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae,0.0,-0.658,0.776,0.292,0.5708666666666666,3.977942278416162,0.4908154601333781
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,-0.6005032550817885,-1.003,-0.232,0.221,0.9810666666666666,325.79274089024904,-0.3755276080107981
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,-0.24386138850602557,-0.561,0.1,0.185,0.6136,480.53654495613733,0.13899784427143838
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,-0.44911805329502874,-0.73,-0.17,0.165,0.9762,1911.5058562580248,-0.1571249281290653
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.0,-0.471,0.29,0.121,0.3596666666666667,267.13781068326404,0.49081546013337835
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,0.0,-0.454,0.129,0.129,0.4406,1014.1079825261437,0.4908154601333781
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,-0.28959870072356336,-0.63,0.036,0.203,0.6734666666666667,588.2582013171383,0.07301285075160605
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Staphylococcales*Staphylococcaceae,0.0,-0.442,0.956,0.288,0.5420666666666667,12.289738797832124,0.4908154601333781
