,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.17919224391956698,0.16161964370881704,-1.1087281212079003,0.26754748673376083,0.9952222449230544,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,0.3889267079209285,0.3238787461444504,1.2008404767241707,0.2298130873156452,0.9952222449230544,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,0.060827468676039005,0.12753546172787292,0.47694553226167635,0.6334009078845362,0.9952222449230544,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.042616620719773526,0.1829695123127906,0.23291651259866414,0.8158262358429182,0.9952222449230544,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,0.08523652495491912,0.29326905777259854,0.29064274834275805,0.7713245622481859,0.9952222449230544,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,-0.3438321275955677,0.2576816532261234,-1.334329096739552,0.18209602577961087,0.9952222449230544,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae*Morganella,0.09700881337006464,0.10106241063801769,0.9598901585430007,0.3371104998104912,0.9952222449230544,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,-0.4301931698378258,0.33468552177044436,-1.2853653410585495,0.1986646467201274,0.9952222449230544,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,0.16585554804140212,0.34535038541034746,0.48025296929763533,0.6310475263267203,0.9952222449230544,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,0.3433254228174817,0.23990748202682774,1.4310742621152983,0.15240893282955637,0.9952222449230544,0,0,0,False
