,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,223103.233044369,-0.273630147680635,0.2105394637925962,-1.299662033670751,0.1945746166071862,0.9873461714135714,0,349
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,621.0760633846646,0.7338390781864956,0.5561432734288811,1.31951443674224,0.1878621427744624,0.9873461714135714,0,349
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,270764.2227622157,0.09366885988132356,0.18914844451945811,0.49521348229584644,0.6207610754846925,0.9873461714135714,0,349
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,134887.71580244912,0.05334966531756419,0.26263842089687855,0.20312970636733768,0.8391520303867417,0.9873461714135714,0,349
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,7757.420417838701,0.1326956826930858,0.479831384783268,0.27654648466361215,0.7822920641056632,0.9873461714135714,0,349
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,65683.9020327065,-0.5560990392809697,0.35512585675800656,-1.5659210071541265,0.11827334928242846,0.9873461714135714,0,349
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae*Morganella,71.9200063101377,0.1606114886805397,0.10177679532742401,1.5780757113037391,0.11545414630576838,0.9873461714135714,0,349
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,926.5233468593121,-0.774491642372941,0.577488838373792,-1.341136989857516,0.18074811898889273,0.9873461714135714,0,349
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,4818.052082407486,0.19462211477977243,0.5396855369241208,0.360621327540108,0.7186007112075994,0.9873461714135714,0,349
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,5411.266414068688,0.6138897549732611,0.4334150273756654,1.4164016386103937,0.15754986312527156,0.9873461714135714,0,349
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Salmonella,121.0987052861293,-0.152093652969356,0.3296477204032512,-0.4613823896106517,0.6448117056270302,0.9873461714135714,0,349
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,27477.31047296365,-0.1684832969068333,0.36830498222229163,-0.4574559265808267,0.6476280154637144,0.9873461714135714,0,349
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,2428.7808023290463,-0.4833222547303917,0.49272313512215465,-0.980920562235357,0.3273114102788889,0.9873461714135714,0,349
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,5205.733168109729,0.08451899512389374,0.5840930948608305,0.14470124003782606,0.8850302859860886,0.9873461714135714,0,349
Bacteria*Firmicutes*Bacilli*Staphylococcales*Staphylococcaceae*Staphylococcus,104.15101553631622,-0.11439507660716476,0.2564972630657547,-0.44598946296685765,0.6558814166940057,0.9873461714135714,0,349
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,8817.04985428447,0.33526927691613906,0.3963696160697978,0.8458500937597108,0.3982159306569013,0.9873461714135714,0,349
Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus,113.47216295204278,0.10267634799544992,0.29666222386062746,0.3461052326085423,0.7294721836895524,0.9873461714135714,0,349
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,128.54013921987556,0.06141306246654938,0.33099929497089137,0.18553834826732832,0.8529145882321003,0.9873461714135714,0,349
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,74624.96495031977,-1.1425745880444504,0.35061337865582465,-3.2587877633900697,0.001228894005615647,0.1073234098237665,1,349
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,11780.426669140465,0.22605808207301928,0.43063095940354446,0.5249461914817419,0.599953898476548,0.9873461714135714,0,349
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Phascolarctobacterium,2817.436982633489,0.02677852766198348,0.5720679149831817,0.04681004992697545,0.9626913930638027,0.9969373319474953,0,349
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,105.74274495460566,-0.14521465985069146,0.26654355427204196,-0.5448064960613574,0.5862345637590824,0.9873461714135714,0,349
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-005,570.7465949235217,0.3956266709773647,0.46123294830735867,0.8577589099591495,0.3916142621450205,0.9873461714135714,0,349
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,169.1815528382525,-0.04244796946734281,0.36056152984191087,-0.11772739450588152,0.9063513840763737,0.9873461714135714,0,349
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelatoclostridium,180.67288167495803,-0.2614387520185975,0.34205252367979605,-0.764323412106548,0.44519099013969743,0.9873461714135714,0,349
Bacteria*Firmicutes*Bacilli*Lactobacillales*Listeriaceae*Listeria,75.61428894301541,0.08639461271143799,0.11630243260096362,0.7428444167445744,0.4580755933275036,0.9873461714135714,0,349
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,3547.015708167747,0.2911493206617757,0.47179305095224644,0.6171123548219556,0.5375630091814286,0.9873461714135714,0,349
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,516.3700336502993,-0.6016872776278883,0.48497208135428604,-1.240663742844072,0.21556336108485763,0.9873461714135714,0,349
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,3504.9030340474233,0.20005128682606974,0.47763716227920033,0.4188352637208132,0.6755941744810328,0.9873461714135714,0,349
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,10872.490082701006,-0.05020384599842496,0.4591320266060849,-0.1093451188093608,0.9129916052322532,0.9873461714135714,0,349
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae*Holdemanella,418.9994908146114,0.018156354804955695,0.5135640651084004,0.0353536316858995,0.9718179698611357,0.9987416707596621,0,349
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,47715.58317493186,-0.28232172584683396,0.29029950616161226,-0.9725187947431885,0.33146606570475545,0.9873461714135714,0,349
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,1398.863769877197,0.9854169351747294,0.5217494898860824,1.888678291549232,0.05976396035263617,0.9873461714135714,0,349
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Succiniclasticum,83.83573272691807,0.3039860740434599,0.20570314822194372,1.4777900905798178,0.14036583287360552,0.9873461714135714,0,349
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Sutterella,3162.1133357278495,0.13432311317950213,0.4777643324683831,0.28114931159787065,0.7787624906307273,0.9873461714135714,0,349
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae*Butyricicoccus,2096.6784945129434,-0.315439178159775,0.4788326452459687,-0.6587670688111479,0.5104797326871187,0.9873461714135714,0,349
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae*Barnesiella,3262.3409975512595,0.006307558052762873,0.4758636712596554,0.013254968667951011,0.9894319486524522,0.9997215828884066,0,349
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*CAG-56,2430.0697442148135,-1.088615455925452,0.5217150031171011,-2.0866094504112005,0.037648869112787184,0.9873461714135714,0,349
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_UCG-001,85.00761063530645,-0.15762110245417843,0.15090037005547885,-1.0445375474972571,0.29695970078268347,0.9873461714135714,0,349
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,1479.0682740250577,-0.7048380314235143,0.49522749008179123,-1.4232611184550843,0.15555378265205336,0.9873461714135714,0,349
