,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.08063353692477526,0.12459002749019865,-0.6471909393480036,0.5175083746615352,0.9965114543185086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales,0.06618581933866839,0.11741322335699779,0.5636998750764961,0.5729584024324438,0.9965114543185086,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.41524730229857765,0.33399065717252496,1.2432901740843578,0.21376092373683897,0.9965114543185086,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.036055716555311576,0.1652362587324801,0.2182070499047446,0.8272677924014217,0.9965114543185086,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,0.17557247762133574,0.34281612263136413,0.5121476676000205,0.6085476656271886,0.9965114543185086,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,0.2553956064992998,0.23568515270799625,1.0836304432622617,0.27852868715890566,0.9965114543185086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales,-0.2761461420838954,0.290591809982233,-0.9502887989196226,0.34196552878536635,0.9965114543185086,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.05429174304290123,0.3618063118630026,0.15005747899571942,0.8807192669034882,0.9965114543185086,0,0,0,False
Bacteria*Firmicutes*Bacilli*Staphylococcales,-0.1928577685517088,0.1625843901491748,-1.1862010145916069,0.23554292567612323,0.9965114543185086,0,0,0,False
Bacteria*Firmicutes*Bacilli*Bacillales,0.050905766683743435,0.16756059933063588,0.3038051122226805,0.7612763717339648,0.9965114543185086,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,0.2104311387521727,0.19836050344855877,1.0608520098193048,0.2887571616335258,0.9965114543185086,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,0.0732987871463844,0.3390061547454702,0.21621668550949463,0.8288188479953948,0.9965114543185086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,0.07365054704953931,0.2665642526422801,0.2762956635013464,0.7823209863600581,0.9965114543185086,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.07264174291375908,0.26947559064750193,0.26956706074644415,0.7874933441921221,0.9965114543185086,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,-0.021333410192289817,0.23196378366916728,-0.09196871104118597,0.9267228991772992,0.9965114543185086,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,-0.22868515964330677,0.21102426171216399,-1.0836913148651701,0.2785016877500254,0.9965114543185086,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,-0.09968124999769501,0.20343188358251238,-0.4899981666701921,0.6241351961448942,0.9965114543185086,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales,0.007235635053329808,0.06151727965768793,0.11761955492168057,0.9063691099122941,0.9965114543185086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,0.14901705045417754,0.18456154036233544,0.8074111765735367,0.41942962985286486,0.9965114543185086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales,0.21828518724978135,0.22414158079801316,0.9738719003971452,0.33012014734418194,0.9965114543185086,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,-0.15257418925842903,0.08178223636447658,-1.865615273449554,0.06209521118876455,0.9965114543185086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales,0.35243802509419186,0.23100708062781067,1.5256589717352684,0.12709481732863626,0.9965114543185086,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,-0.028731636561478615,0.2434284465617829,-0.11802908397637266,0.9060446132638432,0.9965114543185086,0,0,0,False
