,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.4922604096557279,0.34199470639101315,-1.4393802022564388,0.15004283046730973,0.9606993474456449,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales,-0.513767484408084,0.35225462597467333,-1.4585116745777618,0.1446995595742306,0.9606993474456449,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.5582944262057706,0.5670058983837489,0.9846360113663537,0.3248028942402806,0.9606993474456449,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,-0.6944156291593859,0.3883256084946442,-1.7882303251936147,0.07373885562990595,0.9606993474456449,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,-0.517644816536098,0.3467519831664821,-1.4928388060222486,0.13547938659423936,0.9606993474456449,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,0.40898476622900815,0.46260560861776423,0.8840895108276536,0.37664789500431556,0.9606993474456449,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales,-0.08495877831408147,0.446098134817482,-0.1904486293107721,0.8489575942391997,0.9606993474456449,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,-0.417139301149103,0.4972553733065033,-0.8388834460959811,0.4015347180176055,0.9606993474456449,0,0,0,False
Bacteria*Firmicutes*Bacilli*Staphylococcales,0.33859686972434255,0.3601727062022519,0.9400958592742626,0.3471683925882642,0.9606993474456449,0,0,0,False
Bacteria*Firmicutes*Bacilli*Bacillales,0.4079504200175309,0.35341257822605227,1.1543177723476348,0.24836991282561519,0.9606993474456449,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,-0.11104995253471592,0.2928475818422112,-0.37920733999623935,0.7045339013856272,0.9606993474456449,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,-1.0456918669151782,0.5334099500590922,-1.9603906278826153,0.0499501504467791,0.9606993474456449,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-1.0276538920321365,0.3844432741188461,-2.6730962959035915,0.007515467350286143,0.4809899104183131,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.3541897027550357,0.4067477288398863,0.8707847091494401,0.38387171579030704,0.9606993474456449,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,-0.42311990323932436,0.3452215514901389,-1.2256474180506387,0.22033138550180897,0.9606993474456449,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,-0.39395023486832514,0.29692388218487586,-1.3267718041724816,0.18458418017748285,0.9606993474456449,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.09940167926824285,0.21107799414675665,0.47092393344960265,0.6376950561090557,0.9606993474456449,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales,0.06940633026083644,0.21618605187246967,0.3210490670405505,0.7481732073040003,0.9606993474456449,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,0.46869269471137953,0.40727364294858764,1.1508053683958752,0.24981231574806537,0.9606993474456449,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales,-0.3463160180264573,0.35604526662327624,-0.9726741245878905,0.3307152893780404,0.9606993474456449,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,0.16799383509191504,0.232551721764075,0.7223934263636445,0.4700526273252183,0.9606993474456449,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales,0.3436089756873082,0.36706054344986966,0.9361098102723092,0.34921665251988926,0.9606993474456449,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,0.24227281272290643,0.3132280588601239,0.773470977040076,0.439243698617091,0.9606993474456449,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,-0.13111346046171485,0.2966938935791948,-0.4419149274695722,0.6585507682251472,0.9606993474456449,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,-0.6559768950984985,0.31706344392643426,-2.068913675367444,0.038554188063679704,0.9606993474456449,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,0.09345474060953782,0.32589179161807164,0.2867661690573107,0.7742913686196307,0.9606993474456449,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,-0.038127204356279545,0.07921017348616989,-0.4813422654974561,0.6302732626266463,0.9606993474456449,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,-0.03467551604929427,0.08013817634203596,-0.4326965952069644,0.665235203683109,0.9606993474456449,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,0.14493608329987173,0.3583859616265704,0.404413394548338,0.6859087520452039,0.9606993474456449,0,0,0,False
