Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.6890320436932176,-0.934,-0.411,0.139,1.0,5770.821539466604,-0.3845876777671575
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales,-0.6098131323959896,-0.897,-0.321,0.154,0.9999333333333333,3148.837581140463,-0.27029894729402415
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.0,-0.382,0.308,0.108,0.3484,508.061129626909,0.6094754346826348
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,-0.657861680731341,-0.964,-0.395,0.153,1.0,2770.380885498938,-0.3396183496993491
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,-0.2537992384712291,-0.585,0.071,0.191,0.6892666666666667,610.2096189613036,0.2433205319587973
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales,0.0,-0.33,0.413,0.119,0.36846666666666666,418.0503058681122,0.6094754346826348
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales,0.0,-0.483,0.105,0.147,0.4915333333333333,1268.514454907308,0.6094754346826351
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,-0.31728536770665644,-0.647,0.043,0.216,0.7012,722.9328974243091,0.15172940814561017
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Staphylococcales,0.1847749085583411,-0.539,0.894,0.308,0.5876666666666667,22.997296897080624,0.8760492789404659
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Bacillales,0.0,-0.416,1.065,0.319,0.5677333333333333,21.53332584252815,0.6094754346826348
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales,0.0,-0.42,0.211,0.117,0.41213333333333335,767.0881892707897,0.609475434682635
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Acidaminococcales,-0.5122433240966137,-0.88,-0.134,0.214,0.9702666666666667,514.5838162419142,-0.1295354687200277
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-0.456010405020218,-0.808,-0.078,0.219,0.9288,563.1755375935393,-0.04840851523380138
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.0,-0.218,0.389,0.109,0.37966666666666665,784.1511336227477,0.6094754346826348
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,0.0,0.0,0.0,0.0,0.0,892.121000575963,0.6094754346826345
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,0.0,-0.585,0.076,0.185,0.5618,894.8013821397507,0.6094754346826345
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.0,-0.434,0.68,0.211,0.48233333333333334,89.62208502389092,0.609475434682635
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales,0.0,-0.765,0.778,0.29,0.4974,7.835007039297736,0.6094754346826348
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,0.0,-0.308,0.405,0.126,0.41686666666666666,385.5233547780619,0.6094754346826348
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Monoglobales,-0.41200498499142774,-0.794,0.033,0.255,0.8312666666666667,297.2569122390827,0.01507788601397036
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,0.0,-0.505,0.893,0.296,0.5573333333333333,24.794002128173773,0.6094754346826348
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales,0.0,-0.295,0.51,0.151,0.4656666666666667,296.9612842515359,0.609475434682635
