,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes,0.003272637983452259,0.1392114937147634,0.023508389258129158,0.9812447466750164,0.9970538514100954,0,0,0,False
Bacteria*Proteobacteria,0.0016520138364079576,0.44740219266997255,0.0036924580689897736,0.9970538514100954,0.9970538514100954,0,0,0,False
Bacteria*Bacteroidota,-0.6667184110062915,0.38652371451023293,-1.7249094582750124,0.0845437907809159,0.6657065820824838,0,0,0,False
Bacteria*Actinobacteriota,-0.48406215317952866,0.3036904483988116,-1.5939327553161955,0.1109510970137473,0.6657065820824838,0,0,0,False
Bacteria*Verrucomicrobiota,-0.2821907470706038,0.4811074603281782,-0.5865441098712393,0.5575099285396341,0.9970538514100954,0,0,0,False
Bacteria*Desulfobacterota,-0.628352382726655,0.30846282950473686,-2.037044086431833,0.041645624252473985,0.6657065820824838,0,0,0,False
Bacteria*Cyanobacteria,0.1461022879425301,0.3190512470683346,0.45792733701880134,0.6470046461146508,0.9970538514100954,0,0,0,False
Bacteria*Fusobacteriota,-0.010502691984435937,0.11424454316315234,-0.09193167300285904,0.9267523265909158,0.9970538514100954,0,0,0,False
Bacteria*Elusimicrobiota,-0.03294598215148047,0.11877965863806537,-0.2773705744673883,0.7814955737209865,0.9970538514100954,0,0,0,False
Bacteria*Synergistota,0.29644018247226056,0.25263284040474693,1.1734031965018057,0.2406341559859669,0.9970538514100954,0,0,0,False
Bacteria*Campilobacterota,0.09756955355749562,0.17942917738571718,0.5437775225806853,0.5865945782769177,0.9970538514100954,0,0,0,False
Archaea*Euryarchaeota,-0.07464356332804525,0.13834131968131272,-0.5395608737866346,0.5894999055766632,0.9970538514100954,0,0,0,False
Bacteria*Spirochaetota,0.037363279308420816,0.10825744791765911,0.3451335684251436,0.7299939582017966,0.9970538514100954,0,0,0,False
Bacteria*Halanaerobiaeota,-0.01774400287882978,0.11487664897511646,-0.15446135517648435,0.8772459795964237,0.9970538514100954,0,0,0,False
Archaea*Thermoplasmatota,-0.01847787974679141,0.11540884592405938,-0.16010800211060172,0.8727959977236799,0.9970538514100954,0,0,0,False
Bacteria*Patescibacteria,0.037363279308420816,0.10825744791765911,0.3451335684251436,0.7299939582017966,0.9970538514100954,0,0,0,False
Bacteria*WPS-2,0.037363279308420816,0.10825744791765911,0.3451335684251436,0.7299939582017966,0.9970538514100954,0,0,0,False
Bacteria*Deinococcota,0.021367575141652745,0.11073540013083476,0.19296065320039288,0.8469897831197967,0.9970538514100954,0,0,0,False
