,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,410788.91908257105,-1.6569050903748006,0.9716165035709861,-1.7053076849612687,0.09434329278882055,0.4582388506885569,0,50
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,186757.5069596069,0.5307092706520561,0.5100197872028363,1.0405660407073414,0.3030826692384945,0.6222279629710588,0,50
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,319380.623179559,-1.1003632904632108,0.4462799188733513,-2.465634781957286,0.017152499978595404,0.26535057448303284,0,50
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,1851.7097018317802,-1.541522317910112,1.0531858461369275,-1.4636754980750992,0.14954147709482388,0.5084410221224012,0,50
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,5086.823035445156,0.14784055115170114,1.04397673663392,0.14161287887350957,0.8879548461415643,0.9598281335083636,0,50
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,14317.425586825784,-2.2941272316759798,0.9979369522062389,-2.2988699101723045,0.025728259570220995,0.26535057448303284,0,50
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,20260.218102028655,-0.7247297892788112,1.0859073826428702,-0.6673955816701156,0.507588188172649,0.8151965325016617,0,50
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,2071.099137710817,1.0498302159955997,0.9793172063446938,1.072002216640404,0.28886614113429426,0.6222279629710588,0,50
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,19412.03223913349,-2.397136380472998,0.8718602053735429,-2.7494503886043984,0.008286095815372634,0.26535057448303284,0,50
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,2936.2764031064853,0.10851163530248115,0.934376079748119,0.11613271963440329,0.9080125475133889,0.9598281335083636,0,50
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,511.8520999426498,-0.6208990047019991,0.5637048233419373,-1.1014612240161168,0.27597014344580806,0.6222279629710588,0,50
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,2607.774752918814,-0.7837427111205648,0.7812555909851777,-1.0031834909907662,0.32060272832014336,0.6222279629710588,0,50
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,1111.4509594399658,-0.27109901043727747,0.6873309489732576,-0.3944228189378757,0.6949462674294911,0.9099714817897264,0,50
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,621.0135521617841,-1.049462318610305,0.4951101615623075,-2.1196541700916685,0.03902214330632836,0.26535057448303284,0,50
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,954.939769498748,0.244369723949315,0.6833275097453024,0.3576172779000208,0.7221349518348128,0.9099714817897264,0,50
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,1432.9242895669124,0.5022336036356019,0.8375637751190991,0.5996362528503406,0.5514564778687712,0.8151965325016617,0,50
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,874.2532754722674,-0.3084189945850704,0.8316519065699747,-0.37085106418753844,0.712315106250787,0.9099714817897264,0,50
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,295.1340683531954,0.2397131143218333,0.3906455127612409,0.6136333491390795,0.5422393988259062,0.8151965325016617,0,50
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,683.2801181499175,-0.0009369666168748125,0.758380436745824,-0.0012354836325885379,0.999019143177084,0.999019143177084,0,50
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,1351.835568115065,-0.07331257936179614,0.6960450663464058,-0.10532734575164725,0.9165374813437946,0.9598281335083636,0,50
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,368.2044473070058,-0.14330048660911288,0.4461237124217411,-0.321212440897211,0.7493882791209512,0.9099714817897264,0,50
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,1819.7387776655326,-1.4243264935994655,0.6579859786558044,-2.16467605663758,0.0352124415349351,0.26535057448303284,0,50
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,295.1340683531956,0.5685721167523458,0.4258493813126509,1.3351483921375253,0.18787498977982045,0.5323124710428246,0,50
Bacteria*Firmicutes*Clostridia*Clostridia_or*Hungateiclostridiaceae,360.1305971003693,-0.3945000346723956,0.26894546891598203,-1.4668402344255018,0.148681478334257,0.5084410221224012,0,50
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae,396.1029245850853,0.3205253671761997,0.49421717473401994,0.6485516561594638,0.5195958856270553,0.8151965325016617,0,50
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Yersiniaceae,601.6424396251824,-0.45087349631311385,0.24375195883974854,-1.8497225559099388,0.07026820502513367,0.39818649514242416,0,50
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriales_Incertae_Sedis,295.13406835319546,0.39050136747999886,0.3964879105870703,0.9849010702540532,0.32941480392585465,0.6222279629710588,0,50
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,605.6838233016197,0.49117983812025356,0.41572637418445624,1.1814979001123438,0.24299417340737794,0.6222279629710588,0,50
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,346.75271460036436,-0.22619120082602845,0.2458059664628447,-0.9202022395181316,0.3618855714127609,0.6475847067386248,0,50
Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,295.13406835319546,0.058841466716938795,0.2372821979447414,0.2479809578072177,0.8051647551668403,0.9439862646783643,0,50
Bacteria*Synergistota*Synergistia*Synergistales*Synergistaceae,295.13406835319546,0.07816242899529963,0.2207085644757891,0.3541431624139522,0.7247207603812071,0.9099714817897264,0,50
