,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,-1.0721612158095144,0.823107636169526,-1.3025771705861002,0.19271915596239214,0.7935859035882286,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.22216083120439045,0.6158971419393832,-0.36071093057005227,0.7183155526771263,0.9280693321185409,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-1.310339212971929,0.4415123489575333,-2.967842725273271,0.0029989773758071336,0.10196523077744254,1,0,0,True
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,-1.073244902813526,0.6769206889590107,-1.5854810176713534,0.1128570864424118,0.7674281878084002,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,-1.1988585009031032,0.674946684069342,-1.7762269660694208,0.07569551531589479,0.6791610254637108,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,-1.6358266197050635,0.7077875734977535,-2.3111830172732692,0.020822748005633857,0.3539867160957756,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,-0.3069026830230941,0.7620239924533546,-0.40274674559132123,0.6871345415276882,0.9280693321185409,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,1.431960737877596,0.8176749941692273,1.7512590553566998,0.07990129711337775,0.6791610254637108,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,-0.6871115345424059,0.7337396641300898,-0.9364513984085002,0.3490408249685233,0.7935859035882286,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,0.35276332042257225,0.6861648584608605,0.5141086957059521,0.6071759981402565,0.8601659973653634,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,-0.41152699740583615,0.344416837574671,-1.1948515650504903,0.2321450294569077,0.7935859035882286,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,-0.5087083104303185,0.600343006702944,-0.8473627655365238,0.3967929517941143,0.7935859035882286,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,0.17141970662514489,0.5212282085502428,0.3288764955794238,0.7422490407914158,0.9280693321185409,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,-0.35931381663298784,0.351729089824296,-1.0215641157587527,0.3069872488229533,0.7935859035882286,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,0.07768199998044821,0.5356081777221559,0.14503512681754716,0.8846831378074991,0.9359435210195396,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,0.47798682448123525,0.6575752056629307,0.7268930159849253,0.4672914958649707,0.8601659973653634,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,0.6303774155513782,0.686922124904913,0.9176839596462816,0.35878434772329926,0.7935859035882286,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,0.03415542017250846,0.14916353824760772,0.2289796861469679,0.8188847048104773,0.9280693321185409,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.3050712601001438,0.5814246131859115,0.5246961569592113,0.5997944292937107,0.8601659973653634,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,-0.2948429243973995,0.47073064582598345,-0.6263516663123629,0.5310843047285986,0.8601659973653634,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,-0.1381916556691809,0.24144391713866453,-0.5723550930869613,0.5670814325730236,0.8601659973653634,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,-0.6668864194855938,0.4818248026586196,-1.3840848702803148,0.16633246905170915,0.7935859035882286,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,0.4962892945405556,0.3519387099203376,1.4101583047028052,0.1584929443844018,0.7935859035882286,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_or*Hungateiclostridiaceae,-0.11372272685628083,0.2132214910680049,-0.533354899108224,0.5937879314528194,0.8601659973653634,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae,0.2139875347426572,0.32285046755069435,0.6628069532191606,0.5074541998348953,0.8601659973653634,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Yersiniaceae,-0.18401916249679034,0.20699148994695457,-0.8890180100831618,0.37399340067517123,0.7935859035882286,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriales_Incertae_Sedis,0.27829881519524935,0.27952309380420914,0.9956201164193705,0.3194347568710898,0.7935859035882286,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,0.2995700849806951,0.3363161366770284,0.8907395521981113,0.37306891066448183,0.7935859035882286,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,0.03321732498616654,0.2003778021027167,0.1657734770897369,0.8683352195080272,0.9359435210195396,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,0.03415542017250846,0.14916353824760772,0.2289796861469679,0.8188847048104773,0.9280693321185409,0,0,0,False
Bacteria*Synergistota*Synergistia*Synergistales*Synergistaceae,0.2231955603252208,0.23406396238456964,0.9535665296416203,0.3403031047553961,0.7935859035882286,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,-0.015652326230289365,0.19475497310473378,-0.0803693275748701,0.9359435210195396,0.9359435210195396,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptococcales*Peptococcaceae,-0.0181912234938365,0.16283658550520153,-0.11171459679898171,0.9110497052101976,0.9359435210195396,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Atopobiaceae,0.03415542017250846,0.14916353824760772,0.2289796861469679,0.8188847048104773,0.9280693321185409,0,0,0,False
