,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,415818.02939758863,-1.1704149395076253,1.0722649665727864,-1.0915351857932556,0.2831879916706842,0.7284954749539649,0,32
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,185139.62839882798,0.13553757451625756,0.7165750003531964,0.18914639004912498,0.8511726699266424,0.9010332372714777,0,32
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,316613.83178583026,-1.4415064144651601,0.4720534455588881,-3.0536932375495898,0.0045270236269612995,0.15391880331668417,1,32
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,1835.6683577586539,-1.9559984896778766,1.4242527402590175,-1.3733506942891012,0.17918992024471234,0.7284954749539649,0,32
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,5042.755934392568,-1.808236850900945,1.2915519227906922,-1.4000496758921137,0.17111966201689793,0.7284954749539649,0,32
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,14193.393860982103,-2.6246684850558455,1.294901951425275,-2.026924495840724,0.051069894315582856,0.4841880166075529,0,32
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,20084.704019421784,-0.2158322197973882,1.355952301327196,-0.15917390278856658,0.8745322597046695,0.9010332372714777,0,32
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,2053.157224977566,2.564889878302508,1.298760998416444,1.9748744237237121,0.056963296071476814,0.4841880166075529,0,32
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,19319.08582893723,-0.8820702716239993,1.1341761082465873,-0.7777189672842444,0.44244699540612886,0.7344293010969294,0,32
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,2910.8394677005535,0.874792813105618,1.1708447391047756,0.747146725683272,0.4604300552345807,0.7344293010969294,0,32
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,507.4179299204215,-0.8357789426910853,0.7737980075082962,-1.0800996314042908,0.28817150841292977,0.7284954749539649,0,32
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,2585.1836242794802,-1.1254559850171941,1.063925966640944,-1.0578329886716784,0.298052059938027,0.7284954749539649,0,32
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,1101.8224700265632,0.33673932611078305,0.9314916981213854,0.3615054506550219,0.7200977155814058,0.9010332372714777,0,32
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,615.6337174855138,-0.76893792630525,0.8035087279452071,-0.9569752008439733,0.3457543167274961,0.7344293010969294,0,32
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,946.6671350806812,0.17903200954238166,0.8483360005230942,0.2110390333924157,0.834195029894375,0.9010332372714777,0,32
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,1420.5108796587913,0.8903240089018718,1.050871042118413,0.8472248003971065,0.4031620189642401,0.7344293010969294,0,32
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,866.6796274079759,1.325553233939863,1.2148086533560793,1.0911621598000938,0.28334958253667275,0.7284954749539649,0,32
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,292.5773246403601,-0.04142240578494619,0.15956001262452685,-0.25960392647010183,0.7968322656634736,0.9010332372714777,0,32
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,677.3608687866265,0.6260880258425886,1.055956182430668,0.5929109903039905,0.5574080771975991,0.7580749849887348,0,32
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,1340.1246290531958,-0.5593245865448051,0.8898881092026932,-0.6285336108670327,0.534115387507986,0.7566634656363136,0,32
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,365.0146955750452,-0.36055899227782406,0.49902577024777495,-0.7225257968116562,0.4752189595333073,0.7344293010969294,0,32
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,1803.9743974136677,-1.392454721471201,0.9297241142011948,-1.4977074383701208,0.1440094850249391,0.7284954749539649,0,32
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,292.5773246403601,1.0423110352385674,0.5057066758783808,2.061098033614325,0.04749766516341474,0.4841880166075529,0,32
Bacteria*Firmicutes*Clostridia*Clostridia_or*Hungateiclostridiaceae,357.01078905830315,-0.3285721178181704,0.4252158246592481,-0.7727184614577214,0.44535927988976276,0.7344293010969294,0,32
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae,392.6714886017048,0.4171870655199271,0.6220660773723601,0.6706475094770434,0.5072569735915329,0.7498581348744399,0,32
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Yersiniaceae,596.4304167182033,-0.38494557945888835,0.38219429586399256,-1.00719865164046,0.3213950624796904,0.7284954749539649,0,32
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriales_Incertae_Sedis,292.57732464036013,0.5324644670824277,0.38969207732544797,1.366372318207908,0.18134740306346203,0.7284954749539649,0,32
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,600.4367899251156,0.5286242805776535,0.5157836899385666,1.024895301828207,0.3130982298284669,0.7284954749539649,0,32
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,343.74879903104375,0.025784442827644388,0.3852493363649463,0.06692923359955853,0.9470544718019549,0.9470544718019549,0,32
Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,292.5773246403601,-0.04142240578494619,0.15956001262452685,-0.25960392647010183,0.7968322656634736,0.9010332372714777,0,32
Bacteria*Synergistota*Synergistia*Synergistales*Synergistaceae,292.5773246403601,0.4476566667059316,0.33766819203135306,1.3257294505973662,0.1943160352518876,0.7284954749539649,0,32
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,382.3767015042992,-0.10892627635893047,0.42810226009783725,-0.25443985353881754,0.8007837636550426,0.9010332372714777,0,32
Bacteria*Firmicutes*Clostridia*Peptococcales*Peptococcaceae,330.37681621384195,-0.21671689484574763,0.2938597577318095,-0.7374840860092652,0.4662016895579455,0.7344293010969294,0,32
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Atopobiaceae,292.5773246403601,-0.04142240578494619,0.15956001262452685,-0.25960392647010183,0.7968322656634736,0.9010332372714777,0,32
