Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.0,-1.158,0.071,0.375,0.7839333333333334,749.8973461151959,0.1359986479089513
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,0.0,-0.595,0.394,0.181,0.4574666666666667,484.8969166300293,0.1359986479089513
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-0.5111369317298818,-1.128,0.06,0.366,0.8024,371.221675993523,-0.6014160687129496
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.0,-1.43,0.434,0.414,0.5770666666666666,24.359850977533387,0.13599864790895103
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.0,-1.149,0.395,0.357,0.5533333333333333,57.73920036897451,0.1359986479089513
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,0.0,-1.343,0.222,0.427,0.6710666666666667,100.47775154362924,0.1359986479089516
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.0,-0.568,0.523,0.186,0.45053333333333334,145.75634027536813,0.1359986479089513
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,0.0,-0.296,1.169,0.349,0.5786,51.46676838515668,0.13599864790895103
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,0.0,-0.852,0.339,0.254,0.5413333333333333,144.59494134301565,0.1359986479089513
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,0.0,-0.544,0.759,0.236,0.47886666666666666,61.61690873447824,0.1359986479089513
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,0.0,-1.239,0.731,0.396,0.5345333333333333,5.222291683160653,0.13599864790895103
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,0.0,-1.266,0.378,0.396,0.5665333333333333,48.13147482210987,0.1359986479089513
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,0.0,-0.747,0.867,0.282,0.4814,24.67859639647913,0.13599864790895103
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,0.0,0.0,0.0,0.0,0.0,14.26681663004494,0.1359986479089513
