Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,-0.7727946898144319,-1.155,-0.386,0.208,1.0,313.4648545894045,-0.7532251556544158
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,0.0,-0.186,0.438,0.131,0.4622,376.33584030446235,0.3616819109661894
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-0.5524857474720416,-0.923,-0.192,0.208,0.9802,290.61407654632404,-0.43538653707355685
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.0,-0.515,0.27,0.156,0.4590666666666667,41.491224084471845,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.0,-0.346,0.413,0.13,0.4125333333333333,57.0816065061855,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,-0.3140759263487617,-0.743,0.111,0.243,0.6363333333333333,49.27446574573431,-0.09143387043977609
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.0,-0.511,0.255,0.145,0.4281333333333333,87.48627614718829,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,0.0,-0.231,0.591,0.173,0.5178666666666667,46.641091154998755,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,-0.38531589103121633,-0.815,0.066,0.269,0.7636,52.1521832820941,-0.19421141420025817
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,0.0,-0.377,0.373,0.129,0.4228,49.13059402703034,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,0.0,-0.388,0.382,0.128,0.4023333333333333,33.13141536763045,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,0.0,-0.478,0.326,0.143,0.4679333333333333,43.531374762919775,0.3616819109661894
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,0.0,-0.389,0.402,0.136,0.42073333333333335,36.725889305547156,0.3616819109661897
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,0.0,0.0,0.0,0.0,0.0,33.46439162781011,0.3616819109661897
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,0.0,-0.321,0.479,0.133,0.40486666666666665,36.725889305547156,0.3616819109661897
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,0.0,-0.305,0.449,0.132,0.39786666666666665,41.03732165971902,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,0.0,-0.37,0.398,0.129,0.39753333333333335,37.882222436012974,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,0.0,-0.337,0.475,0.15,0.4806666666666667,31.26445837017122,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.0,-0.373,0.41,0.138,0.4248,36.43325429187588,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,0.0,-0.392,0.404,0.138,0.41746666666666665,38.99689146900935,0.3616819109661897
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.0,-0.37,0.397,0.135,0.4084,32.02388200266078,0.3616819109661897
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,0.0,-0.563,0.268,0.162,0.4666,38.53172535007487,0.3616819109661897
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,0.0,-0.305,0.488,0.148,0.4484,31.991874127263138,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_or*Hungateiclostridiaceae,0.0,-0.376,0.436,0.129,0.36446666666666666,31.42117211990957,0.3616819109661897
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae,0.0,-0.336,0.446,0.137,0.4182,33.39752972874086,0.3616819109661897
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Yersiniaceae,0.0,-0.417,0.38,0.135,0.42273333333333335,31.800497586251872,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriales_Incertae_Sedis,0.0,-0.291,0.487,0.142,0.4444,31.38976665314017,0.3616819109661897
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,0.0,-0.309,0.499,0.147,0.44826666666666665,33.73318048271317,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,0.0,-0.384,0.358,0.128,0.4296,31.641891942857388,0.3616819109661897
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,0.0,-0.338,0.442,0.137,0.41733333333333333,30.98434066530353,0.3616819109661897
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota*Synergistia*Synergistales*Synergistaceae,0.0,-0.384,0.42,0.137,0.42433333333333334,31.01534050330452,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,0.0,-0.366,0.395,0.133,0.43333333333333335,31.705239052737276,0.3616819109661897
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptococcales*Peptococcaceae,0.0,-0.378,0.418,0.135,0.4194,31.07743325636661,0.3616819109661899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Atopobiaceae,0.0,-0.418,0.357,0.135,0.4318666666666667,31.17080554453876,0.3616819109661897
