,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,-2.5954098350566275,0.9542585844600657,-2.719818168075638,0.006531782301411775,0.29719609471423575,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,-0.32492006726083167,0.9811855936437504,-0.33115046670650966,0.7405308331049445,0.8319543927475304,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,-0.44316542734196496,0.8485481964807503,-0.5222631185593691,0.6014871444639279,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.8791303724418701,0.6488000474866816,-1.355009722714172,0.1754144593460875,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,0.555910499071252,0.7625185843889283,0.7290451806059925,0.46597402592033443,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,0.32281417683403013,0.7996628099550176,0.40368787045653526,0.6864422602507065,0.8031503616322794,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,-1.532825719807682,0.7159833626286426,-2.1408677908102582,0.03228470122371796,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,-1.57178524717142,0.7693491521192437,-2.0430064072232894,0.04105180385916394,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,0.04695165477779609,0.6999971916602254,0.06707406163507316,0.9465227431977026,0.9645233188129636,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,-1.1384948747487293,0.6958461845541287,-1.636130081647617,0.10181236563887126,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,-1.1056776165074778,0.6972006609863178,-1.585881480581637,0.11276619759533335,0.7855805027085407,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,-1.995241694534847,0.6182577194164857,-3.2272006185672293,0.0012500777996668226,0.11375707976968086,1,0,0,True
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,0.22768285719335812,0.8671836919790846,0.26255435762835994,0.7928940833668575,0.8799190437363907,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,0.45373502796681553,0.764582071624953,0.5934418878047982,0.5528854629932456,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,0.3897647439271187,0.7520970097246329,0.5182373269504478,0.6042926943911852,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,-0.43390520168931335,0.6290618741198523,-0.6897655374463902,0.49034164417315196,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,0.1617471579648826,0.6884542573035037,0.23494249073047227,0.8142533695929915,0.8913140458835853,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae*Collinsella,-0.35375798140429343,0.4883483859752225,-0.7243967453641633,0.4688221973915397,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae*Holdemanella,-0.4796308900019072,0.2694731567889933,-1.7798837395053584,0.07509498934127617,0.7855805027085407,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Parasutterella,-0.49884100966621325,0.28952455603425303,-1.7229661500877889,0.08489464655262817,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Coprococcus,0.2835574047207381,0.3437177523570022,0.8249716599630892,0.4093876804598053,0.7855805027085407,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Rikenellaceae_RC9_gut_group,-0.17200141016038778,0.2372560201770109,-0.7249612044915098,0.4684758311181988,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae*Butyricicoccus,-0.06648921687740063,0.3759911694812902,-0.17683717670584606,0.8596362864283176,0.9203164948820811,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-005,-0.670079739943059,0.4576597735654005,-1.464143843630389,0.14315465001143896,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,-0.20938330645435238,0.3717409603119665,-0.5632505664122593,0.5732642743912668,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,0.043764859511943546,0.4377625041872042,0.0999739792543493,0.9203649834753631,0.9626806148995177,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae*Monoglobus,-0.3923726498251295,0.441005892871495,-0.8897220109017074,0.3736151721207886,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-003,-0.4072978697149185,0.2091738856342748,-1.9471736085978197,0.051513924570101184,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.49970878542078023,0.443968365486125,1.125550431670108,0.26035585925600174,0.7855805027085407,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,0.04680790291852681,0.06807550939160527,0.6875879936390006,0.4917122711020951,0.7855805027085407,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Cronobacter,-0.19356436986424908,0.25484429026453714,-0.7595397552887004,0.4475297418739338,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*Flavonifractor,-0.3073015712610852,0.2609107766812562,-1.1778032903428237,0.23887503660734252,0.7855805027085407,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae*Barnesiella,-0.17938330839141026,0.47012262860738935,-0.3815670582009307,0.7027825224420468,0.8095342980028639,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,-0.1255391729231629,0.18922931564519088,-0.6634234896169662,0.5070593659624564,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,-0.11638418296197368,0.19006182655664383,-0.6123490711970396,0.5403068296220818,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Acidaminococcus,-0.10735638449335434,0.1720015352934627,-0.624159454798975,0.5325228712192585,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium_sensu_stricto_1,0.04680790291852681,0.06807550939160527,0.6875879936390006,0.4917122711020951,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*V9D2013_group,0.41897483061221996,0.35703060047215945,1.173498378173024,0.2405960068668915,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Catenibacterium,-0.20523863660668035,0.20066398655374895,-1.0227975638852667,0.3064035701016268,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Sellimonas,-0.10979505695644327,0.1358195594118271,-0.8083891409449114,0.41886660118901814,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Anaerofilum,0.40515979676413827,0.35522262647490876,1.1405799252845648,0.2540447750773191,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Marvinbryantia,-0.10387626676841825,0.1707090193895007,-0.6084989951902159,0.5428565721888172,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Phascolarctobacterium,-0.5503987426936545,0.4169422718756774,-1.3200838097264715,0.18680703763910897,0.7855805027085407,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Paraprevotella,-0.10651211989087171,0.16489177415156314,-0.6459516882447347,0.5183106436152254,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae*Turicibacter,-0.10296090115112096,0.16798146240992115,-0.6129301392785111,0.5399225336849399,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Paludicola,0.38912553175662024,0.3204230429839352,1.2144118229853074,0.22459050287208054,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*Oscillibacter,0.013069687581703321,0.29384554270115243,0.04447808689409146,0.9645233188129636,0.9645233188129636,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelatoclostridium,0.04680790291852681,0.06807550939160527,0.6875879936390006,0.4917122711020951,0.7855805027085407,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae*Eggerthella,0.12426560300030622,0.2708822133853455,0.4587440476334681,0.6464179789493714,0.7949194065458486,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*NK4A214_group,-0.35234723680506097,0.24189765537690472,-1.4565963289559916,0.14522784163753769,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*UBA1819,0.050968558939804065,0.2275305386072268,0.22400755191718782,0.8227514269694635,0.8913140458835853,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Tuzzerella,-0.0925596103221716,0.15897878714615346,-0.5822135895217206,0.5604228208851172,0.7855805027085407,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,-0.12269644425956054,0.15675213214248804,-0.7827417884691303,0.43377875736618215,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Megasphaera,0.3617961982566521,0.3147083418894022,1.1496237947953662,0.2502988533858776,0.7855805027085407,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Yersiniaceae*Yersinia,-0.08888320214703847,0.1556606876566243,-0.571006099774582,0.5679955080464175,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Incertae_Sedis,0.04680790291852681,0.06807550939160527,0.6875879936390006,0.4917122711020951,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_AC2044_group,-0.07886043438130662,0.14757529260824886,-0.5343742369574582,0.5930826397670254,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Angelakisella,-0.07373943283102902,0.10344806032035285,-0.712816002568597,0.47595962190848423,0.7855805027085407,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,0.5543252844419101,0.34811261750383393,1.5923734348290466,0.11130082155904986,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Veillonella,-0.18450932635394346,0.15117055705534746,-1.2205374508634628,0.22226120141815026,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae*UCG-008,-0.0679337201082237,0.09844768240286564,-0.6900489523991706,0.49016340350055604,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*CAG-56,-0.06581240862259624,0.12668843452634987,-0.5194823731830702,0.6034244017769759,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,-0.06581240862259624,0.09664199710008554,-0.6809918109870888,0.4958766720855448,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae*Family_XIII_AD3011_group,0.09529813588506565,0.1767668071028247,0.5391178210829538,0.5898055596272058,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_UCG-003,-0.06358226538835489,0.12678076538530947,-0.5015135000574968,0.6160097792072373,0.7892455428691618,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*Intestinimonas,-0.06123151663747331,0.09278686253212858,-0.6599158002165572,0.5093078641695867,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Eisenbergiella,-0.05874636820964946,0.12483519253340097,-0.47059140149065937,0.6379325491271696,0.7949194065458486,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_UCG-010,-0.05611051508719578,0.0885579604884074,-0.633602160412681,0.5263404905607599,0.7855805027085407,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Terrisporobacter,-0.05611051508719578,0.12640090940797497,-0.4439091091195553,0.657108298470501,0.7972914021442079,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae*Coprobacter,-0.050304802364390444,0.0838851516343335,-0.5996866118055761,0.5487151124472593,0.7855805027085407,0,0,0,False
