,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,588744.298887289,-3.3230582992114726,1.2856197914843188,-2.584790869915606,0.014674361786443824,0.31996685550811216,0,31
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,22765.687329833767,-0.09808438732093282,1.5465135791517184,-0.06342290726909317,0.9498369440187565,0.9814023640402224,0,31
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,2597.234495320121,-0.2877548786517744,1.7212660907887485,-0.16717628970423415,0.8683171078980728,0.9814023640402224,0,31
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,167850.89536740677,-0.4170238115333378,0.6821154182077427,-0.6113683995430967,0.5454132822205444,0.9814023640402224,0,31
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,7082.321025206804,1.8881244134263082,1.4383523861459253,1.3126994689288556,0.198919967670157,0.6033905685994762,0,31
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,2909.931615872925,0.838524570028533,1.4649555357923347,0.572389092734483,0.571186601551924,0.9814023640402224,0,31
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,15458.158807992973,-2.0408013602418733,1.4379972974042738,-1.4191969372444022,0.16581905383486675,0.5203287551369956,0,31
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,60496.2194219251,-2.2786622526147986,1.2546553483646323,-1.816165894151647,0.079027335346181,0.31996685550811216,0,31
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,2686.0558744224745,0.5820521940250553,1.286356352875101,0.452481299388094,0.6540730114641948,0.9814023640402224,0,31
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,13353.314222661209,-1.4204333757211571,1.3686487110941594,-1.0378363448613477,0.3073740981017698,0.7991726550646016,0,31
