Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,-1.5045510985635657,-2.241,-0.75,0.398,1.0,225.81839869509426,-1.6075773703379679
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,0.0,-1.083,0.44,0.308,0.4472,151.15143714067588,0.56303103832373
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.0,-1.281,0.832,0.383,0.45913333333333334,35.0677613804926,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,0.0,-1.123,0.162,0.366,0.6165333333333334,445.98362193328455,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,0.0,-0.456,1.108,0.364,0.5490666666666667,95.1336009293621,0.5630310383237305
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,0.0,-0.864,0.872,0.299,0.42833333333333334,59.63736035185351,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,-0.7289370802346729,-1.624,0.206,0.542,0.748,53.69635644294694,-0.4886028724509133
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,-0.8170125235106812,-1.555,0.055,0.506,0.7974666666666667,109.86690797206003,-0.6156688776893071
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,0.0,-1.028,0.932,0.367,0.49106666666666665,41.690872886442484,0.5630310383237305
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,0.0,-1.384,0.314,0.43,0.6014,109.32031354805535,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,0.0,-1.466,0.297,0.456,0.5853333333333334,118.42528190077992,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,-1.0673192951793204,-2.074,-0.111,0.58,0.9115333333333333,58.554792162305894,-0.9767852158765792
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,0.0,-0.736,0.779,0.244,0.39393333333333336,117.83463334318733,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,0.0,-0.745,1.07,0.336,0.4564,46.306494869962656,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,0.0,-1.108,1.067,0.388,0.4583333333333333,22.027291983500945,0.56303103832373
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,0.0,-1.374,0.583,0.419,0.5052,43.435723698769046,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,0.0,-0.702,1.094,0.309,0.42866666666666664,51.84623035933007,0.5630310383237305
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae*Collinsella,0.0,-1.008,0.739,0.311,0.4404,65.77778907020003,0.56303103832373
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae*Holdemanella,0.0,-1.995,0.686,0.66,0.6127333333333334,14.300324498670395,0.56303103832373
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Parasutterella,0.0,0.0,0.0,0.0,0.0,13.643759385634263,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Coprococcus,0.0,-0.91,1.443,0.472,0.5172666666666667,12.407265509692708,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Rikenellaceae_RC9_gut_group,0.0,-1.654,1.197,0.552,0.5354,2.841358347561419,0.56303103832373
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae*Butyricicoccus,0.0,-1.35,0.995,0.435,0.4808,13.535044748906877,0.56303103832373
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-005,0.0,-1.839,0.434,0.551,0.5741333333333334,33.558233032782866,0.5630310383237305
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,0.0,-1.377,0.98,0.431,0.47186666666666666,13.521516469425068,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,0.0,-0.918,1.169,0.374,0.4584,21.50493038815693,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae*Monoglobus,0.0,-1.653,0.614,0.478,0.5152,27.039053023009885,0.56303103832373
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-003,0.0,-2.049,0.613,0.651,0.5821333333333333,14.400777947045825,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.0,-1.147,1.917,0.607,0.5366,2.3286349306645793,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,0.0,-1.459,1.524,0.557,0.5419333333333334,0.16936184288031247,0.56303103832373
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Cronobacter,0.0,-1.38,0.955,0.429,0.47613333333333335,13.200863303355913,0.56303103832373
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*Flavonifractor,0.0,-1.866,0.995,0.602,0.5827333333333333,6.483640960708258,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae*Barnesiella,0.0,-0.975,0.992,0.351,0.47933333333333333,34.1677504270405,0.56303103832373
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,0.0,-1.541,1.332,0.542,0.5304666666666666,2.4164082156305793,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,0.0,-1.926,1.089,0.578,0.5381333333333334,2.6973835003850684,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Acidaminococcus,0.0,-1.655,1.174,0.556,0.5382666666666667,2.847046750763609,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium_sensu_stricto_1,0.0,-1.695,1.47,0.623,0.5576666666666666,0.19795455976209875,0.5630310383237298
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*V9D2013_group,0.0,-1.104,1.885,0.607,0.5582,2.5890272583101477,0.5630310383237302
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Catenibacterium,0.0,-2.045,0.846,0.625,0.5683333333333334,6.31723889644264,0.5630310383237305
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Sellimonas,0.0,-1.805,1.068,0.555,0.5332,2.8842999798645264,0.5630310383237302
