Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,-0.7980865742080491,-1.072,-0.531,0.144,1.0,302.2975648946167,-0.8197833492670982
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,0.0,-0.2,0.502,0.148,0.4892666666666667,62.2711614593961,0.33161219354291577
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.0,-0.557,0.228,0.176,0.53,21.402300595239794,0.33161219354291577
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.670833150283947,-1.03,-0.322,0.188,1.0,92.0806911553041,-0.6361954656356552
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,0.0,-0.434,0.294,0.135,0.4668,30.89203614344665,0.33161219354291577
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,0.0,-0.372,0.312,0.128,0.4799333333333333,24.05874193918639,0.331612193542916
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,-0.2487465623054152,-0.642,0.129,0.207,0.6213333333333333,28.75328030772334,-0.02725323833328419
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,-0.5405623346099631,-0.975,-0.155,0.231,0.9732666666666666,48.27607450607185,-0.4482544058902385
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,0.0,-0.196,0.565,0.16,0.4497333333333333,25.72590396614162,0.331612193542916
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,-0.30999245863423486,-0.743,0.081,0.235,0.6976666666666667,24.96577687578509,-0.11561238924167185
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,-0.29618244683623546,-0.725,0.093,0.231,0.7294,26.50453827165675,-0.09568875370608049
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,-0.4249646347389701,-0.841,0.012,0.262,0.8426666666666667,31.548744239517664,-0.2814821775481862
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,0.0,-0.518,0.261,0.156,0.4640666666666667,35.67672162204379,0.33161219354291577
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,0.0,-0.311,0.46,0.141,0.4414666666666667,24.349186021630665,0.3316121935429155
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,0.0,-0.377,0.344,0.138,0.5064,18.402718912829478,0.3316121935429155
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,0.0,-0.269,0.491,0.148,0.4952666666666667,25.520917772445802,0.33161219354291577
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,0.0,-0.375,0.379,0.139,0.4932666666666667,22.885383249023462,0.33161219354291577
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae*Collinsella,0.0,-0.413,0.328,0.133,0.46,23.488205949980962,0.33161219354291577
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae*Holdemanella,0.0,-0.37,0.347,0.125,0.43953333333333333,18.16503188009177,0.33161219354291577
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Parasutterella,0.0,0.0,0.0,0.0,0.0,17.19293288660841,0.33161219354291577
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Coprococcus,0.0,-0.295,0.469,0.155,0.5167333333333334,17.787543708994686,0.33161219354291577
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Rikenellaceae_RC9_gut_group,0.0,-0.359,0.426,0.141,0.4577333333333333,16.046622971865567,0.33161219354291577
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae*Butyricicoccus,0.0,-0.337,0.392,0.129,0.44206666666666666,18.25608448130242,0.331612193542916
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-005,0.0,-0.47,0.282,0.144,0.4663333333333333,19.756813529746275,0.33161219354291577
