,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,-1.4155134628967236,0.571676919470413,-2.476072436522397,0.013283662434102004,0.13947845555807104,1,0,0,True
Bacteria*Firmicutes*Clostridia*Lachnospirales,-0.08383218016209483,0.35796519011311567,-0.23419087240187844,0.8148368007806219,0.8831235728573648,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.8579138646597482,0.28011566509767327,-3.062712913112528,0.0021934037751251043,0.04606147927762719,1,0,0,True
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,-0.24142234979413052,0.6149210959082118,-0.3926070375542413,0.6946097408974312,0.8831235728573648,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,0.30807537117379746,0.44655020086734526,0.6899008679772514,0.49025652997299907,0.8831235728573648,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales,0.5109581053202675,0.5751723078294866,0.8883565817840873,0.37434897264474226,0.8831235728573648,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,-0.25547487538153413,0.5685217780168625,-0.44936691127768313,0.6531669966844253,0.8831235728573648,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,-0.1128734269651107,0.43877181226313205,-0.25724858300017767,0.7969868817870184,0.8831235728573648,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,-0.4853194366188682,0.3304206569606455,-1.4687926629135413,0.1418890347403913,0.7449174323870543,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,0.42369880505888924,0.42765989449887337,0.9907377579919536,0.3218136488414956,0.8831235728573648,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales,-0.14111441553353665,0.4366907062044836,-0.32314499376466876,0.746585436470854,0.8831235728573648,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,0.0469827197650009,0.33260221293247505,0.14125798908782167,0.8876661366127171,0.8876661366127171,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,-0.21513595940190272,0.3912838495531013,-0.5498206983181567,0.5824423604601323,0.8831235728573648,0,0,0,False
Bacteria*Firmicutes*Bacilli*RF39,0.049316547317691216,0.24593724805224318,0.20052492132958713,0.8410700693879664,0.8831235728573648,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,-0.7415149929881169,0.3908417244514669,-1.8972257734989988,0.05779814661786759,0.40458702632507315,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales,0.3113879999446559,0.23319203068792918,1.3353286517812994,0.1817688050884326,0.7634289813714169,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_or,-0.14527199635849275,0.22186109802883658,-0.6547880527464571,0.5126042238112338,0.8831235728573648,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia*Chloroplast,-0.08264584744109447,0.1528039013243519,-0.5408621555130638,0.5886025974076612,0.8831235728573648,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,0.1070379470970891,0.17305025585217512,0.6185367745917938,0.5362215643681024,0.8831235728573648,0,0,0,False
Bacteria*Synergistota*Synergistia*Synergistales,0.07431103141787712,0.1615235443318309,0.4600631550358625,0.6454708897007866,0.8831235728573648,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptococcales,-0.04974049299604847,0.16082648212027614,-0.309280488762102,0.7571081716046231,0.8831235728573648,0,0,0,False
