,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,496541.89019254287,-1.4967163826788596,0.90275094471968,-1.657950502775288,0.10358923672165514,0.5660629745012107,0,50
Bacteria*Firmicutes*Clostridia*Lachnospirales,143858.62201194785,0.5059603696745022,0.4767089467046351,1.0613611789165582,0.29362567075287255,0.6213057698794625,0,50
Bacteria*Firmicutes*Clostridia*Oscillospirales,340658.2624593164,-0.6180892335445701,0.3988276340562288,-1.5497653140489978,0.12750493708042976,0.5660629745012107,0,50
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,3914.12753102072,0.13109990156179555,1.0445542959200453,0.12550798180033573,0.9006247018491451,0.9314444001641705,0,50
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,725.0798502988596,0.6809758295675941,0.7483134578298225,0.910014142392262,0.3671811903579869,0.7009822725016114,0,50
Bacteria*Firmicutes*Clostridia*Christensenellales,1611.095010545811,1.035623013210908,0.9803256131787841,1.056407176644929,0.2958598904187917,0.6213057698794625,0,50
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,3588.495038868196,-0.3417198744466122,0.9682390507921386,-0.3529292421815081,0.7256250547415461,0.896360361739557,0,50
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,2035.0188720354188,-0.06630636915411714,0.7668835462886947,-0.08646210950150701,0.9314444001641705,0.9314444001641705,0,50
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,446.43149309698623,-1.0626565524973117,0.5104996309556044,-2.081601019981395,0.04251862586397013,0.44644557157168635,0,50
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,1308.0346322914006,1.0432452245942052,0.754503234709462,1.3826915201972987,0.1729041356856667,0.5660629745012107,0,50
Bacteria*Firmicutes*Clostridia*Monoglobales,633.2928034112223,-0.31037847865681906,0.8161587874262028,-0.38029178076439385,0.7053396241279852,0.896360361739557,0,50
Bacteria*Firmicutes*Bacilli*Lactobacillales,314.63348248945437,0.10519754399262293,0.6131924155058062,0.17155715128317148,0.8644781472682914,0.9314444001641705,0,50
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,972.3713163989579,-0.31991762485636144,0.693973245702608,-0.4609941764144859,0.646801828712731,0.896360361739557,0,50
Bacteria*Firmicutes*Bacilli*RF39,459.80168098652143,0.1169162264938029,0.43052558876567526,0.2715662658496185,0.787073688696819,0.9182526368129557,0,50
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,1400.0598197236648,-1.4114329625203754,0.6408982276007286,-2.2022731562298534,0.03228561175680299,0.44644557157168635,0,50
Bacteria*Firmicutes*Clostridia*Clostridiales,208.3817088533079,0.5953119185538568,0.43510154508931087,1.3682137544045274,0.17736250641950146,0.5660629745012107,0,50
Bacteria*Firmicutes*Clostridia*Clostridia_or,255.20735846634767,-0.3885457179091667,0.3065595015168014,-1.267439815065957,0.21086927832258606,0.5660629745012107,0,50
Bacteria*Cyanobacteria*Cyanobacteriia*Chloroplast,416.0523480661823,-0.15693090358441178,0.20184438234110944,-0.7774846233728935,0.4405361907351052,0.7709383337864341,0,50
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,208.38170885330806,0.14903916100374792,0.2717351032375582,0.5484722408994537,0.5858084729313306,0.896360361739557,0,50
Bacteria*Synergistota*Synergistia*Synergistales,208.38170885330806,0.09100688615885885,0.24504541636467175,0.37138783295348077,0.711917830424362,0.896360361739557,0,50
Bacteria*Firmicutes*Clostridia*Peptococcales,236.37897193326626,-0.27797749090407636,0.22165780494370257,-1.2540839289402783,0.21564303790522313,0.5660629745012107,0,50
