,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,-1.9234453306513812,0.8485909036942423,-2.2666343962419164,0.02341256906695354,0.49166395040602434,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales,0.033422935607099906,0.5080618269078951,0.06578517384491285,0.9475488602227042,0.968960468832685,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.28522320972228365,0.18736849740293693,-1.5222580832727162,0.12794442652678462,0.5900759121056017,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.8861218808138769,0.7391510775697113,1.1988372982251445,0.23059121644811503,0.6053019431763019,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,1.17395006133464,0.7306657599732999,1.6066854718599908,0.10812338217883102,0.5900759121056017,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales,0.027113425653620238,0.6967864776131008,0.03891210080095053,0.968960468832685,0.968960468832685,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,-0.23130172268570667,0.8385072350632616,-0.2758494059604101,0.7826637348281194,0.968960468832685,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,-0.032374552297961504,0.5321873938752538,-0.060832993548039935,0.9514922139189598,0.968960468832685,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,-0.47603448865944464,0.34576972764871067,-1.3767384782252488,0.16859311774445765,0.5900759121056017,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,0.09271052301587551,0.4749150254765169,0.19521497118953496,0.845224659217483,0.968960468832685,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales,-0.36956612881836104,0.485768519435535,-0.7607864940441147,0.4467846026659855,0.9382476655985696,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,0.4525517475796049,0.5489530999994648,0.8243905491745034,0.40971768308364076,0.9382476655985696,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,-0.5739443849630729,0.345591673179861,-1.6607587204925713,0.09676191474909085,0.5900759121056017,0,0,0,False
Bacteria*Firmicutes*Bacilli*RF39,0.277350917357696,0.4080916764698949,0.6796289494479711,0.49673943449045854,0.9483207385726936,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,-0.6817565090987671,0.47417250501787805,-1.4377816129871603,0.15049602798867048,0.5900759121056017,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales,0.06961442392529563,0.1862644602636027,0.3737397022855398,0.7085979841796246,0.968960468832685,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_or,-0.07826372310349389,0.24893435649555837,-0.3143950244766247,0.7532210346080215,0.968960468832685,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia*Chloroplast,-0.06344082801781595,0.18745978760120427,-0.33842366317398087,0.7350439443975676,0.968960468832685,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,0.37246663356299403,0.3029410547212781,1.2295020029744175,0.2188836473325319,0.6053019431763019,0,0,0,False
Bacteria*Synergistota*Synergistia*Synergistales,0.06961442392529563,0.1862644602636027,0.3737397022855398,0.7085979841796246,0.968960468832685,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptococcales,0.017267780258950545,0.19689034767386732,0.0877025230691004,0.9301131142342283,0.968960468832685,0,0,0,False
