,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.49187971554172283,0.42200353987935457,1.165581965692385,0.24378350279978506,0.5482439053778342,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.6237103918418178,0.5889008424183291,1.0591093557967124,0.289549979619564,0.6099852903985482,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.24196088178015152,0.13238856493818918,-1.8276569573295132,0.06760105181213322,0.22414500299668078,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.20519048965234538,0.3554427949235464,0.5772813307313786,0.5637494232466214,0.7576594733671305,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,0.2238589598393333,0.5660006508848999,0.3955100749254377,0.6924664877521154,0.82886140200632,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-0.921800652347879,0.2332093948973463,-3.9526737452135476,7.728277602630284e-05,0.001744382658879407,1,0,0,True
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,-0.2541772471376605,0.3540742882525689,-0.7178641758826337,0.47284103849335507,0.7470749687074709,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,0.6262259251181231,0.40999289137793815,1.527406787501732,0.12665988969651606,0.3335206182781813,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.7542290449608559,0.33393517528735595,2.2586091576361524,0.02390770767001298,0.09443544529655128,1,0,0,True
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,-0.16125411277901067,0.2944334100758615,-0.5476760016380721,0.5839143932151445,0.7596546174237431,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.7342902126169838,0.48340596227891997,1.5189928753781203,0.1287642893352472,0.3335206182781813,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,-0.5232552253458734,0.5117652973977042,-1.0224515573967108,0.3065672292136762,0.6373371344179057,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,-0.09569702688360535,0.413353089017757,-0.23151399959537824,0.8169155107337569,0.900677124168706,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,-0.31586103213562494,0.31288613346313976,-1.0095079274992405,0.3127311016419614,0.6459021445677111,0,0,0,False
