,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,22083.39128956582,0.5524689608157635,0.6373161961120497,0.8668679129545158,0.3876622028743403,0.7692307777224082,0,126
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,2993.882513409631,0.7534598814432468,0.911981286002034,0.8261791036812639,0.410264179155431,0.7857180643219163,0,126
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,538523.5234329536,-0.5744717039697435,0.24313061759621998,-2.3628110258157586,0.019667472201613866,0.10358202026183302,1,126
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,64482.89776234002,0.07617393684730409,0.5197392295448713,0.14656183816258894,0.8837121134165791,0.958668833739238,0,126
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,446.54347587572795,0.2961975548076806,0.9219535918289535,0.3212716534029546,0.748536838063012,0.9256950889673244,0,126
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,252975.18778136623,-1.5696827883274262,0.42373407135298113,-3.704405414734377,0.0003157799817006383,0.033262158072467234,1,126
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,24441.455379062812,-0.5921799530446871,0.5639244980848666,-1.0501050318895142,0.2956797565647364,0.6356109052684129,0,126
Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,215.43565050551172,0.9666191167013155,0.6848166254599879,1.411500656912414,0.16056166455527132,0.4390223370416063,0,126
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,5146.829563242317,0.9296060580751516,0.5204566181202803,1.7861355312044753,0.07648241204653444,0.2777981862839642,0,126
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,18018.90281130214,-0.4835570874821368,0.4602915625481803,-1.0505451909766894,0.29547825212921497,0.6356109052684129,0,126
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,3075.304371316829,0.9831917348457762,0.7313229801427025,1.3444015319386335,0.18123397262342855,0.4733052508182101,0,126
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,3973.224628772561,-0.9582030400048092,0.8173564366205115,-1.1723196846245563,0.24328048680301803,0.5694565468870644,0,126
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,2926.94773817311,-0.3576260371974968,0.6775045451814893,-0.5278577682481765,0.5985264199385418,0.8973925849132813,0,126
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,13713.573699388027,-0.6772557325780452,0.4811165266514741,-1.4076750538828535,0.16168961355150177,0.4390223370416063,0,126
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,7134.08091046046,-1.261429414507225,0.6099109752695889,-2.0682189133416657,0.0406652320153615,0.16420441002947397,1,126
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,357.1803588727231,0.9990085167786052,0.6752327685226113,1.4795024224970679,0.14150196570068077,0.42540409734811463,0,126
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,203.74075742806494,0.40254406716602426,0.6589901157418323,0.6108499316607747,0.5423992926615144,0.8973925849132813,0,126
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,469.9980503257035,0.7788332070227938,0.6330627825299614,1.2302621928117112,0.22089088241646718,0.5506437089732408,0,126
Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae,33.57837023947184,0.6027968887499036,0.31352131238511277,1.922666386422433,0.05677879586751699,0.21359642254923059,0,126
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,407.1903835530552,-0.5470822317727714,0.6473182045053374,-0.8451519329521042,0.39962801183035324,0.7795213070271088,0,126
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,3098.377809015104,-1.4806960622118055,0.7070803648043577,-2.0940986851211743,0.03825516239267735,0.16335988264981138,1,126
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,1837.2329823456619,0.06842099476355169,0.720500094636209,0.09496320024509983,0.9244949144720238,0.9770581704787944,0,126
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,2056.1861297699106,0.5915541803197494,0.5895385487329552,1.0034189987934228,0.31758186133479904,0.6690391212119766,0,126
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,3180.7175671529317,-0.4614036715585608,0.6078787192845234,-0.7590390268993714,0.44924684161886297,0.8450119163783375,0,126
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,75.14224369134688,0.2892203055382571,0.511460238095755,0.5654795505024374,0.5727532080617097,0.8973925849132813,0,126
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,1069.2239181792415,-1.854526131706858,0.6779691650747075,-2.7354136843413848,0.007129346141601567,0.059286141598581456,1,126
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae,41.88150082133218,0.7697143144506365,0.3713323004081168,2.0728450328847603,0.040225097428342585,0.16420441002947397,1,126
Bacteria*Firmicutes*Bacilli*Lactobacillales*Leuconostocaceae,166.69077426040738,-0.14853020347014512,0.566528209243406,-0.2621761830156808,0.7936137581926558,0.9260543522683622,0,126
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,4272.443461866226,-1.9946004423933303,0.6293134862311114,-3.1694862513415547,0.001917122259538525,0.04101416053767084,1,126
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,7469.493740646591,-1.5795686718609305,0.4674332074398084,-3.379239315307594,0.0009678377146994136,0.04085031286143225,1,126
Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae,37.5395455085962,1.0196762210484582,0.3760475359050188,2.71156203322658,0.007631917517670908,0.06056181484546418,1,126
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,64.11350753767292,1.6554006592071258,0.5019623225096675,3.297858394890273,0.001266424758060833,0.04085031286143225,1,126
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,119.21550926475321,0.19201116679532043,0.5727668494273676,0.3352344273892362,0.7380057395181084,0.9256950889673244,0,126
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae,538.1879003699194,0.15240803633103273,0.5511703888684348,0.27651709781421646,0.7826039998206699,0.9260543522683622,0,126
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Pseudomonadaceae,40.70162139819371,1.1140729320034988,0.35082521032904335,3.175578319923462,0.0018802679769789037,0.04101416053767084,1,126
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcales-Tissierellales_fa,47.23744123474231,0.3478807791161619,0.32691659281049373,1.0641270182263909,0.28930622766884045,0.6339485836561987,0,126
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,303.5737186753058,0.022881370707615062,0.612055715327655,0.0373844572227642,0.97023763076531,0.9922171240188932,0,126
Bacteria*Cyanobacteria*Cyanobacteriia*Synechococcales*Cyanobiaceae,33.13519985971023,1.0654966380212643,0.3247027914888116,3.281452041529426,0.0013362148536113026,0.04085031286143225,1,126
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae,30.75290812725063,0.8995839528318591,0.29107894376866766,3.090515381101545,0.0024596776874074165,0.04101416053767084,1,126
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae,4078.4787444401754,-2.544041771529655,0.5121556083696744,-4.967321903645665,2.1616331722258057e-06,0.0006830760824233546,1,126
Bacteria*Patescibacteria*Saccharimonadia*Saccharimonadales*Saccharimonadaceae,227.35969970575204,0.9729704580397138,0.4675121459911774,2.0811661608853154,0.039443701786576614,0.16420441002947397,1,126
Bacteria*Actinobacteriota*Actinobacteria*Frankiales*Sporichthyaceae,34.31055429595967,0.928468431611722,0.3281123585008747,2.82972709669894,0.005423188576978876,0.05174234465197896,1,126
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Alcaligenaceae,34.510697834675035,0.428360310459111,0.2726152209982568,1.5713000502706709,0.1186207961857232,0.37113041182859935,0,126
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Atopobiaceae,56.920547744165496,0.6603043590986875,0.3766901046073263,1.752911348141225,0.08204940812907933,0.29132149403133784,0,126
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriales_Incertae_Sedis,167.54741554954757,-1.117076701740125,0.4808731707004381,-2.32301731475889,0.02178102788912913,0.10951285362853651,1,126
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Xanthobacteraceae,30.752908127250652,1.2123727825681259,0.3248949961207246,3.7315834255496876,0.00028663048548232417,0.033262158072467234,1,126
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales*Flavobacteriaceae,38.662872007888026,0.8059284798834467,0.28083865347714315,2.869720638185012,0.004819581993465957,0.05076626366450808,1,126
Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales*Sphingomonadaceae,30.752908127250638,0.899979231101505,0.27421425256298937,3.282029371886029,0.00133369920757663,0.04085031286143225,1,126
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,72.03589345466264,-0.5789166118520261,0.4072322305262082,-1.4215883922153574,0.15761623343339526,0.4390223370416063,0,126
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,580.5810897313888,-1.3472432485842647,0.45641594565277416,-2.951788300598073,0.003769131182138748,0.04779270170924071,1,126
Bacteria*Actinobacteriota*Acidimicrobiia*Microtrichales*Ilumatobacteraceae,32.04913887173825,0.7156204176881382,0.2547523854137023,2.8090823036887933,0.005761099051599168,0.052014494294438204,1,126
Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae,117.15183569229897,1.1678794000126491,0.48998880054535376,2.3834818238963997,0.018642807321068725,0.10157115712858132,1,126
Bacteria*Firmicutes*Bacilli*Staphylococcales*Staphylococcaceae,37.168824062253194,0.9559227610205735,0.34188488869252864,2.7960368903004507,0.00598441716467803,0.05252988400106271,1,126
Bacteria*Synergistota*Synergistia*Synergistales*Synergistaceae,36.5805482299006,0.07605875667178504,0.24625696740372557,0.30885930852502796,0.7579386545899314,0.9260543522683622,0,126
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales*Micrococcaceae,64.84282640763136,0.8434030448969021,0.4624482188906229,1.8237783398110172,0.07055551155489073,0.2592504843179706,0,126
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae,44.026350024286565,0.9571997675875529,0.30764951424217324,3.1113319647047177,0.0023043000356688537,0.04101416053767084,1,126
Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales*Actinomycetaceae,77.03229479315716,0.9469601480323412,0.45994952785164694,2.058834917073283,0.041570736716322526,0.16420441002947397,1,126
Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*Xanthomonadaceae,33.48144713640918,0.34609384086957595,0.20489270783147137,1.6891466979598198,0.09366445694550056,0.321717047769328,0,126
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Burkholderiaceae,31.78108427447344,0.453274550986539,0.1893469754052848,2.3938832401010606,0.018145302780779957,0.10059501190748187,1,126
Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales*Nocardiaceae,30.752908127250645,0.5932554357543292,0.22896151815489416,2.591070501869172,0.010696212315401118,0.07191495939716497,1,126
Bacteria*Firmicutes*Bacilli*Exiguobacterales*Exiguobacteraceae,32.1522023906149,0.6541654472876169,0.22438865474677466,2.9153231834552895,0.004206765008439743,0.04779270170924071,1,126
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae,30.752908127250617,0.667185749587514,0.22263701979059936,2.9967421869688775,0.0032873354249415023,0.04779270170924071,1,126
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Hydrogenophilaceae,30.752908127250617,0.1651683541760203,0.1423682550323362,1.1601487574495137,0.24818179284292244,0.5760927514763913,0,126
Bacteria*Campilobacterota*Campylobacteria*Campylobacterales*Helicobacteraceae,30.75290812725063,0.7519518074713998,0.23049411771757403,3.2623470608164125,0.0014220045616321353,0.04085031286143225,1,126
Bacteria*Firmicutes*Bacilli*Paenibacillales*Paenibacillaceae,31.60607707167125,0.030237537495787656,0.1534820414896864,0.19701026388692872,0.8441369447481063,0.9492785570832796,0,126
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Rhodocyclaceae,30.75290812725063,0.40882471448546404,0.1877151874182011,2.177898976147648,0.031275784194027,0.14118782579017902,1,126
Bacteria*Acidobacteriota*Vicinamibacteria*Vicinamibacterales*Vicinamibacteraceae,30.75290812725063,0.491366161035903,0.19143006280461253,2.5668181571743367,0.01143294253418766,0.07526687168340208,1,126
Bacteria*Actinobacteriota*Actinobacteria*Frankiales*Geodermatophilaceae,30.752908127250617,0.1584108337360151,0.17241114253166628,0.9187969606252114,0.3599573139507708,0.7367157485121163,0,126
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales*Intrasporangiaceae,30.752908127250617,0.09197555914018937,0.1754617410278302,0.5241915337292876,0.6010662398056597,0.8973925849132813,0,126
Bacteria*Bacteroidota*Bacteroidia*Chitinophagales*Chitinophagaceae,30.75290812725063,0.6249583591541507,0.20335408733735588,3.0732520173905873,0.002595832945422205,0.04101416053767084,1,126
Bacteria*Proteobacteria*Alphaproteobacteria*Acetobacterales*Acetobacteraceae,30.752908127250617,0.5633376617876119,0.19267850316284252,2.923718279623058,0.004102066982714477,0.04779270170924071,1,126
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Leptotrichiaceae,30.75290812725063,0.5482724137536459,0.18675096960540757,2.9358477490751946,0.003955018296825602,0.04779270170924071,1,126
