Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.0,-0.219,0.329,0.063,0.1944,1511.8187314891445,0.38444935834647687
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.0,-0.228,0.483,0.107,0.27753333333333335,566.2686787291016,0.38444935834647687
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.552859182218769,-0.738,-0.361,0.102,1.0,8309.955067145334,-0.4131578421504688
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.0,-0.371,0.152,0.08,0.24886666666666668,2522.6586973422845,0.38444935834647664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,0.0,-0.343,0.483,0.103,0.22246666666666667,240.82455069985534,0.38444935834647664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-0.9766562919540512,-1.201,-0.725,0.126,1.0,2769.4731181006946,-1.0245678307086368
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,0.0,-0.576,0.026,0.179,0.44506666666666667,1370.688795579276,0.38444935834647637
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,0.0,-0.083,0.866,0.217,0.31526666666666664,200.75166826841658,0.38444935834647664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.0,-0.129,0.497,0.129,0.39393333333333336,852.4108790347884,0.38444935834647664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,0.0,-0.607,0.054,0.186,0.6497333333333334,1265.3052330082396,0.38444935834647687
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.0,-0.059,0.631,0.181,0.4036666666666667,655.9395681455346,0.38444935834647664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,0.0,-0.653,0.111,0.186,0.3599333333333333,502.73775030285884,0.38444935834647687
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,0.0,-0.459,0.184,0.101,0.2596,580.6038385803378,0.38444935834647687
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,0.0,-0.574,0.046,0.167,0.4408,1067.493507344341,0.38444935834647664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.0,-0.729,0.014,0.244,0.5782666666666667,774.3846105086,0.38444935834647687
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,0.0,-0.18,0.634,0.17,0.3933333333333333,286.30814559914904,0.38444935834647664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,0.0,-0.317,0.538,0.121,0.27673333333333333,196.7765189008198,0.38444935834647664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,0.0,0.0,0.0,0.0,0.0,341.0634952302865,0.38444935834647687
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae,1.0941471508025997,-0.067,2.325,0.745,0.8038666666666666,61.326730838492004,1.9629700268121761
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,0.0,-0.732,0.095,0.221,0.4844,264.03156568073956,0.38444935834647664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,-0.48743759624622657,-0.816,0.017,0.28,0.7587333333333334,351.2966652841529,-0.318774444500791
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,0.0,-0.313,0.392,0.09,0.2356,477.74096098426395,0.38444935834647664
