Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.0,-0.126,0.217,0.071,0.5034,832.3700372266184,0.4297146831045152
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.0,-0.122,0.365,0.103,0.5622,233.75582747408154,0.4297146831045152
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.6029509465463226,-0.682,-0.52,0.043,1.0,7603.212631920618,-0.4401596573771708
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,-0.15108559464929314,-0.302,0.008,0.094,0.8576666666666667,1575.2850256903318,0.21174424495421995
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,0.0,-0.236,0.191,0.068,0.32606666666666667,109.7579073633241,0.4297146831045152
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-1.1171407691079553,-1.236,-0.999,0.063,1.0,2107.244247727192,-1.1819787644624147
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,-0.3306373050577179,-0.519,-0.15,0.098,0.9992,547.6518600421493,-0.04729411723514569
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,0.0,-0.15,0.358,0.092,0.38233333333333336,93.52951904958542,0.4297146831045152
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.0,-0.141,0.405,0.12,0.4554,329.40140999474454,0.4297146831045152
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,-0.2634373665404941,-0.469,0.002,0.14,0.9112,451.1679801508631,0.049654900811696046
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.0,-0.092,0.337,0.088,0.3904,254.74858005945595,0.42971468310451544
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,-0.20225481202411694,-0.412,0.04,0.137,0.8191333333333334,176.27094758995912,0.1379226688013924
