,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.5023247930575838,0.4207632602517917,1.193841859569641,0.23253983391323796,0.5909247544148164,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.4569712629005225,0.3295533927333591,1.3866380167120806,0.16555216979792733,0.44699085845440384,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales,-0.23775892991193082,0.13190660109187202,-1.802479390294754,0.07147001442033442,0.21509959150473676,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.8765939271780018,0.49650450271365937,1.7655306696856785,0.0774746204162323,0.2292399727384408,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.8238542357270188,0.21489728859096308,-3.8337116355858187,0.00012622410411291255,0.0018176270992259407,1,0,0,True
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,-0.24976412379129356,0.3530186960470066,-0.7075096208446591,0.4792498360501833,0.7967700076509875,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,0.5572450390412178,0.28904114972437533,1.9279090177042164,0.053866443891675844,0.17629018000912094,1,0,0,True
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,-0.11416774676427735,0.2592698398057955,-0.44034333823708155,0.6596884566040045,0.8236572637367918,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,-0.784062553093133,0.3406745618377334,-2.3015001439015266,0.021363377261377273,0.08240159800816949,1,0,0,True
Bacteria*Firmicutes*Clostridia*Clostridiales,-0.09073075439559934,0.4110450248973853,-0.22073191232091832,0.8253011818266072,0.9215842983344872,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,0.08617381642424266,0.2642519563351781,0.32610474344015633,0.744345108291389,0.8818777055430774,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-0.5365622734696462,0.467082706948878,-1.1487521706265456,0.25065818672526347,0.6295600968913594,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.28881715195467916,0.38284662384404267,0.7543938850883858,0.45061274228712267,0.7967700076509875,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,0.8172184873196613,0.3720041490714297,2.1967993888227966,0.028034776750687183,0.09875607517798898,1,0,0,True
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,0.11618417853939941,0.4644795078587715,0.25013843791516865,0.8024802914311975,0.9176031666654894,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales,-1.05094341512319,0.4256434064788839,-2.469070116267212,0.013546467240131652,0.05737327301702817,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,0.7144872497843534,0.22022775986027288,3.2443105730071067,0.0011773529799755256,0.008203491731442372,1,0,0,True
