,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,19868.536378364264,0.580586232034586,0.6352336388304236,0.9139727441127755,0.3624768224173035,0.8067698609075996,0,126
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,116584.89873986768,0.4564198535762193,0.4583375650045887,0.9958159409684209,0.32124814545723285,0.7542347762908945,0,126
Bacteria*Firmicutes*Clostridia*Lachnospirales,482290.2007180475,-0.5514831684225276,0.24248892719678553,-2.2742612406998113,0.02464135610627836,0.11324538125438567,1,126
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,7145.104951655783,1.1557752685305824,0.7257321058927224,1.5925646104754652,0.11376355838005278,0.35104183728702004,0,126
Bacteria*Firmicutes*Clostridia*Oscillospirales,268197.6680732238,-1.4021908239949994,0.3783260620318513,-3.7063024853861344,0.00031365738087109455,0.031170271952502812,1,126
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,21884.936085068548,-0.568731360112138,0.561732527928313,-1.0124593678233962,0.31325874918532354,0.7518209980447764,0,126
Bacteria*Firmicutes*Bacilli*Lactobacillales,12352.177880405665,0.5729503915926668,0.4713848007428654,1.2154621674049355,0.22646238673351235,0.5893478980052851,0,126
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,18906.812898582044,-0.3855911597601008,0.3966054475326784,-0.9722286018986915,0.3327995544185418,0.7647308910043089,0,126
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,15275.843316127519,-1.4146771945356966,0.5535021923332019,-2.555865566805339,0.011780354163349546,0.07068212498009727,1,126
Bacteria*Firmicutes*Clostridia*Clostridiales,2628.2573083183834,-0.3348534469968893,0.6725023239931133,-0.49792162056575784,0.6194072221824997,0.9414811262068801,0,126
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,20679.14162177457,-0.0721911841680935,0.3548516255827013,-0.20344047755043668,0.8391189536734318,0.9414811262068801,0,126
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,285.45541817503425,-0.9288358746939585,0.7126495790320497,-1.3033556772117116,0.19482993237623417,0.5326995619400833,0,126
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,184.90854744411783,0.41767098562193467,0.6564719202567818,0.636235873513921,0.5257767500635049,0.9414811262068801,0,126
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,525.5991189208298,1.123208922339406,0.6306011330048421,1.7811717479593894,0.07729378074803615,0.2568531791011663,0,126
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,1650.5909005339577,0.08709615086971674,0.7216832053690919,0.12068474120188646,0.9041329834570057,0.9587613930885444,0,126
Bacteria*Firmicutes*Clostridia*Christensenellales,958.1590418089006,-1.8321556473477076,0.6775705225803614,-2.7040073118446646,0.00779767693274385,0.05608785298826923,1,126
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,47.74190173716625,1.1629235268370017,0.4318644075185799,2.6927978008629245,0.008049645567760862,0.05608785298826923,1,126
Bacteria*Firmicutes*Clostridia*Monoglobales,3825.712009127746,-1.9713037599217291,0.6290470291946124,-3.133793927054465,0.0021468780366473866,0.0335900611734433,1,126
Bacteria*Cyanobacteria*Cyanobacteriia*Chloroplast,63.83718429419784,1.44603445149769,0.46208619720984045,3.129360842693649,0.0021771335945750285,0.0335900611734433,1,126
Bacteria*Firmicutes*Bacilli*RF39,128.10464290235487,-1.0715138252765357,0.5509618606744888,-1.9448058055502897,0.05402617207688365,0.20299835948006945,0,126
Bacteria*Firmicutes*Bacilli*Bacillales,34.28487372103231,1.0435591184751773,0.37953966381890775,2.749539028345395,0.006846080448553738,0.052812620603128836,1,126
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,57.519978989037284,1.7210649595419596,0.5087104131979913,3.3831919199816283,0.0009551673196311704,0.031170271952502812,1,126
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales,29.63858562451454,1.272752054598688,0.3659846482540911,3.477610497244294,0.0006949699645397926,0.031170271952502812,1,126
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,108.6188333531956,0.23608530162443536,0.5710842029652428,0.41339841024950214,0.6800174674022097,0.9414811262068801,0,126
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,485.35049253969026,0.16579200496604904,0.5513739159361918,0.30068887949577117,0.7641473354302499,0.9414811262068801,0,126
Bacteria*Actinobacteriota*Actinobacteria*Frankiales,31.360301645888455,1.041054590778321,0.34605980051593915,3.0083083594980318,0.0031729095087136656,0.03678000673943107,1,126
Bacteria*Cyanobacteria*Cyanobacteriia*Synechococcales,30.285508508234066,1.0742288571779317,0.32228065875714434,3.3332092013235592,0.0011274602585206476,0.031170271952502812,1,126
Bacteria*Patescibacteria*Saccharimonadia*Saccharimonadales,215.32253622126217,1.1135352180480174,0.476617896170294,2.3363269130166167,0.02105285167412626,0.10335036276389255,1,126
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,38.09606027484359,0.7949673700315214,0.30571085926440134,2.6003897013811175,0.01042467232396695,0.06622733005814298,1,126
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,60.77389817209357,1.0354117604776232,0.4767414162040451,2.1718519207369797,0.03173955953809424,0.1399131604128236,1,126
Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales,28.165501690458978,0.9065022250882371,0.2725474381382054,3.3260346576017383,0.0011544545167593635,0.031170271952502812,1,126
Bacteria*Actinobacteriota*Acidimicrobiia*Microtrichales,29.292850868293847,0.8110049811459805,0.2629055001448924,3.084777536791812,0.002504180392406812,0.03606019765065809,1,126
Bacteria*Firmicutes*Bacilli*Staphylococcales,81.30707733434757,1.109841685695825,0.41446437521255364,2.6777734156926143,0.00839893247852466,0.056692794230041456,1,126
Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales,37.13101364665849,0.650030801183483,0.33491962713836754,1.9408560995290118,0.05450881874927791,0.20299835948006945,0,126
Bacteria*Acidobacteriota*Vicinamibacteria*Vicinamibacterales,28.16550169045897,0.5778050327692548,0.1998149267845413,2.891701045899824,0.004514663606114205,0.03930900805186603,1,126
Bacteria*Campilobacterota*Campylobacteria*Campylobacterales,30.51676151542436,0.8411141356231537,0.2672926586362303,3.1467910114503406,0.002060407346001459,0.0335900611734433,1,126
Bacteria*Synergistota*Synergistia*Synergistales,33.41318834410192,0.0838689306247359,0.2429309281808396,0.3452377647127056,0.7304912978536746,0.9414811262068801,0,126
Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales,30.653877948677923,0.46355433568045945,0.2334380575234328,1.9857701893099726,0.04922982814635649,0.18988647999308933,1,126
Bacteria*Bacteroidota*Bacteroidia*Chitinophagales,28.16550169045898,0.7383485836885655,0.2268348757053879,3.255004687407633,0.0014563211437285963,0.0335900611734433,1,126
Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,70.23716138320074,0.9588245737890977,0.45738151774004915,2.096334321786132,0.03805285501049409,0.155083333627674,1,126
Bacteria*Chloroflexi*Anaerolineae*SBR1031,28.16550169045898,0.5677592461712107,0.19230614414160524,2.9523718480525476,0.0037624812572538574,0.03694072507121969,1,126
Bacteria*Firmicutes*Bacilli*Exiguobacterales,29.39023173900412,0.6633243216984459,0.22340543903143173,2.969150279305064,0.003575833988555798,0.03678000673943107,1,126
Bacteria*Bacteroidota*Bacteroidia*Sphingobacteriales,31.41625317327437,0.4415660351192671,0.23040329012112282,1.9164918820696364,0.057567218202891596,0.2107545615563489,0,126
Bacteria*Firmicutes*Bacilli*Paenibacillales,28.94737768836961,0.0405303844415094,0.15394538927520024,0.26327767679391373,0.7927666148582919,0.9414811262068801,0,126
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,28.16550169045899,0.5959939692713888,0.20058354607418435,2.971300392959275,0.00355254167648586,0.03678000673943107,1,126
Bacteria*Actinobacteriota*Thermoleophilia*Gaiellales,28.165501690458978,0.5981329678223621,0.2313157779279108,2.5857854279562775,0.0108530197221593,0.06697863599961168,1,126
Bacteria*Proteobacteria*Alphaproteobacteria*Acetobacterales,28.16550169045897,0.5698930698186416,0.19165999677443057,2.973458621568083,0.0035293019907032823,0.03678000673943107,1,126
Bacteria*Acidobacteriota*Acidobacteriae*Acidobacteriales,29.024153785682298,0.46563643509147784,0.18790381962900607,2.478057316827418,0.014533396307986135,0.07848034006312514,1,126
Bacteria*Actinobacteriota*Thermoleophilia*Solirubrobacterales,29.242469827157947,0.4655075603255512,0.1862684545888398,2.499121825824403,0.01373642107006606,0.07607863977267355,1,126
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales,34.46617256494981,0.2753972984642048,0.22313701939679031,1.2342071217438078,0.21942273200490933,0.5779915867446392,0,126
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,45.485179000262534,-0.07802240206443709,0.23640343408738762,-0.3300392076182605,0.741918426055513,0.9414811262068801,0,126
Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales,28.16550169045896,0.203146753955105,0.13062536872879602,1.5551860709145837,0.12241000093779433,0.37108810493348454,0,126
Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales,30.16182060132198,0.7111467776559299,0.22652890623516242,3.139320228375975,0.002109707602244209,0.0335900611734433,1,126
Bacteria*Chloroflexi*Anaerolineae*Anaerolineales,29.634913069091205,0.2888442034392854,0.16727308695738732,1.7267822857413293,0.086657531219369,0.2825377419991055,0,126
Bacteria*Proteobacteria*Alphaproteobacteria*Caulobacterales,28.165501690458978,0.656405765466525,0.20697619618255228,3.171407038940736,0.0019054305202641268,0.0335900611734433,1,126
Bacteria*Actinobacteriota*Actinobacteria*Streptosporangiales,28.165501690458967,0.33181823912273734,0.1637515660040343,2.0263515471636007,0.04483978731658164,0.17609807382512063,1,126
Bacteria*Actinobacteriota*Actinobacteria*Streptomycetales,28.16550169045897,0.36190603610759153,0.16947118519199475,2.135501888994205,0.03465505819031781,0.14970985138217296,1,126
Bacteria*Actinobacteriota*Actinobacteria*Propionibacteriales,28.16550169045897,0.3942255178743405,0.17294986123407718,2.2794208394349624,0.02432382259472622,0.11324538125438567,1,126
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Chthoniobacterales,29.634913069091212,0.33213561358900967,0.16280119504212318,2.040130070931438,0.043427275333281785,0.17370910133312714,1,126
Bacteria*Proteobacteria*Gammaproteobacteria*Thiotrichales,28.16550169045899,0.4876523757766779,0.16633955856649166,2.9316680889335562,0.004005133426755447,0.03761342696431203,1,126
Bacteria*Halanaerobiaeota*Halanaerobiia*Halanaerobiales,28.16550169045897,0.45879859053949285,0.15880269830602736,2.889110798705359,0.004549653709706716,0.03930900805186603,1,126
Bacteria*Acidobacteriota*Acidobacteriae*Subgroup_2,28.16550169045896,0.22028557894689005,0.15142193708309587,1.454779823784739,0.148216941878481,0.4212481506019986,0,126
Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales,29.48500171155966,0.420962459890928,0.1824265620870927,2.3075721817854316,0.02265376661263783,0.10873807974066159,1,126
Bacteria*Actinobacteriota*Actinobacteria*Pseudonocardiales,28.16550169045896,0.25105246020258076,0.13530345424001608,1.8554770948954225,0.0658649256555448,0.23173902417925135,0,126
Bacteria*Actinobacteriota*Actinobacteria*Micromonosporales,28.165501690458967,0.21711956642634328,0.14906727467858127,1.4565206675609808,0.147736184703223,0.4212481506019986,0,126
Bacteria*Bacteroidota*Bacteroidia*Cytophagales,28.165501690458978,0.5392952992185096,0.15749903878934693,3.4241180350301095,0.0008328052291045322,0.031170271952502812,1,126
Bacteria*Chloroflexi*Ktedonobacteria*Ktedonobacterales,28.165501690458967,0.31306705938082857,0.14346943511503152,2.1821167632661016,0.030955797022747714,0.1393010866023647,1,126
Bacteria*Planctomycetota*Planctomycetes*Gemmatales,28.16550169045897,0.48304687217319003,0.1734382837718551,2.785122532742549,0.00617728809731702,0.04941830477853616,1,126
Bacteria*Acidobacteriota*Acidobacteriae*Solibacterales,28.165501690458967,0.21612501781640514,0.1396066253205171,1.5481000082926768,0.12410630538316489,0.37108810493348454,0,126
Bacteria*Proteobacteria*Alphaproteobacteria*Elsterales,30.58347565650564,0.11269992434785087,0.1772205570449364,0.6359303132044352,0.5259752506356714,0.9414811262068801,0,126
Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales,28.16550169045898,0.5519955090372579,0.18212444374319908,3.030869979296069,0.0029602068927868284,0.03678000673943107,1,126
Bacteria*Firmicutes*Clostridia*Peptococcales,33.58302637916156,0.17756976191725413,0.2261543405736289,0.7851707000929432,0.4338273664714566,0.901026068825333,0,126
