Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.0,-0.087,0.247,0.064,0.3469333333333333,883.5633020595741,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.0,-0.066,0.183,0.049,0.3927333333333333,3703.2383233791415,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales,-0.5646909775885155,-0.657,-0.471,0.052,1.0,7694.583823499996,-0.4129860129972102
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.21667671753010054,-0.008,0.427,0.135,0.8148,585.0162683049065,0.7142892858612568
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales,-1.0208285902059147,-1.148,-0.893,0.069,1.0,2681.5073198464484,-1.0710534846832624
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,-0.2819951929170287,-0.52,-0.053,0.144,0.9230666666666667,589.3190662981169,-0.005142206371441546
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales,0.0,-0.113,0.25,0.078,0.46066666666666667,609.6975035698874,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,-0.22624913202450378,-0.452,0.006,0.147,0.7319333333333333,550.9884275819718,0.07528235922729808
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,-0.43080061815438225,-0.68,-0.206,0.135,1.0,365.0967256399165,-0.21982305541874525
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales,0.0,-0.325,0.114,0.093,0.49953333333333333,235.3239177310529,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales,0.0,-0.346,0.062,0.097,0.3473333333333333,746.9236255827003,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,0.0,-0.348,0.139,0.104,0.5413333333333333,108.63166486936446,0.40169086000448245
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.0,-0.21,0.216,0.071,0.37546666666666667,112.50109313842951,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,0.0,0.0,0.0,0.0,0.0,162.871726723967,0.40169086000448195
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Acidaminococcales,0.0,-0.193,0.257,0.063,0.2728,204.58078586580191,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales,-0.24583265949435842,-0.5,0.013,0.161,0.7935333333333333,117.6989718505845,0.04702930126342581
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,0.0,-0.173,0.273,0.084,0.4288,86.31150803459101,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Monoglobales,-0.3601601284945394,-0.597,-0.044,0.154,0.9747333333333333,179.2538235165985,-0.11791037130052165
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Cyanobacteriia*Chloroplast,0.0,-0.14,0.36,0.107,0.49546666666666667,93.87489000663385,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*RF39,0.0,-0.302,0.141,0.101,0.5256,91.83219446549599,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Bacillales,0.0,-0.233,0.297,0.077,0.3263333333333333,82.67877664019676,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.0,-0.117,0.336,0.115,0.6122666666666666,91.46559936662509,0.40169086000448245
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales,0.0,-0.197,0.264,0.089,0.4904,81.44785002003262,0.40169086000448195
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.0,-0.238,0.187,0.078,0.4448,97.90160448125363,0.40169086000448195
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,0.0,-0.213,0.228,0.07,0.36186666666666667,140.04487940025405,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Frankiales,0.0,-0.217,0.273,0.077,0.299,80.47631667821527,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Cyanobacteriia*Synechococcales,0.0,-0.211,0.3,0.089,0.38293333333333335,80.79886661473468,0.40169086000448195
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria*Saccharimonadia*Saccharimonadales,0.0,-0.138,0.314,0.084,0.5078666666666667,125.08117648220467,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,0.0,-0.251,0.245,0.086,0.43853333333333333,80.79886661473468,0.40169086000448195
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,0.0,-0.218,0.306,0.096,0.4294,91.9240725913679,0.40169086000448245
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales,0.0,-0.263,0.292,0.099,0.465,78.01982323066049,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Acidimicrobiia*Microtrichales,0.0,-0.229,0.219,0.095,0.5170666666666667,78.2542341409097,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Staphylococcales,0.0,-0.13,0.323,0.078,0.3122666666666667,97.51078023292413,0.40169086000448195
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales,0.0,-0.242,0.282,0.093,0.47046666666666664,80.55683324646789,0.40169086000448195
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Acidobacteriota*Vicinamibacteria*Vicinamibacterales,0.0,-0.289,0.226,0.097,0.4765333333333333,76.32213021581516,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Campilobacterota*Campylobacteria*Campylobacterales,0.0,-0.233,0.233,0.075,0.3695333333333333,80.07493937428637,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota*Synergistia*Synergistales,0.0,-0.191,0.258,0.088,0.4518,76.55144039975593,0.40169086000448245
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales,0.0,-0.246,0.195,0.089,0.5542666666666667,77.4755915013761,0.40169086000448195
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Chitinophagales,0.0,-0.2,0.273,0.094,0.5105333333333333,77.39815463476111,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,0.0,-0.219,0.315,0.093,0.43633333333333335,92.20025888143742,0.40169086000448195
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Chloroflexi*Anaerolineae*SBR1031,0.0,-0.208,0.248,0.087,0.5796666666666667,76.32213021581516,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Exiguobacterales,0.0,-0.244,0.225,0.069,0.31706666666666666,78.96170107398135,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Sphingobacteriales,0.0,-0.213,0.254,0.084,0.4654,77.32079516630719,0.40169086000448195
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Paenibacillales,0.0,-0.156,0.322,0.096,0.4842666666666667,72.74520101042238,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,0.0,-0.304,0.235,0.103,0.44266666666666665,77.70836726494377,0.40169086000448195
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Thermoleophilia*Gaiellales,0.0,-0.3,0.243,0.113,0.551,77.55310584358905,0.40169086000448195
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Acetobacterales,0.0,-0.221,0.229,0.08,0.39813333333333334,76.93515609157689,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Acidobacteriota*Acidobacteriae*Acidobacteriales,0.0,-0.254,0.209,0.083,0.3562,77.55310584358905,0.40169086000448195
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Thermoleophilia*Solirubrobacterales,0.0,-0.251,0.175,0.07,0.3678,77.2435130186549,0.40169086000448245
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales,0.0,-0.171,0.23,0.089,0.5638666666666666,77.08918037670375,0.4016908600044822
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,-0.02088957058507742,-0.272,0.18,0.106,0.6602666666666667,77.09769375984492,0.37155358011509093
