,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes,843433.4544533411,-0.38507744601055705,0.1709706842274124,-2.2523010172805757,0.026033831935425623,0.08811450808913288,1,126
Bacteria*Proteobacteria,25188.797997817084,0.7789056146738719,0.4583138831992835,1.6995025532211274,0.09169203899188763,0.24246363564463985,0,126
Bacteria*Bacteroidota,88468.39222553198,0.44573278486707624,0.460597032862502,0.9677283027572975,0.33503394219355276,0.7019758788817296,0,126
Bacteria*Actinobacteriota,41443.45083600539,-0.3409285793251562,0.37259817310691984,-0.9150033573227536,0.3619376348529386,0.7238752697058772,0,126
Bacteria*Cyanobacteria,49.48515951308872,1.6109792777585472,0.47029047279959557,3.425498433273668,0.0008289465575728413,0.012157882844401672,1,126
Bacteria*Fusobacteriota,43.594716121573775,1.6985793112349485,0.4936729718299642,3.440697401234253,0.0007875556365101658,0.012157882844401672,1,126
Bacteria*Chloroflexi,22.4591185159559,0.760595278713249,0.2708260591095168,2.8084272289531746,0.0057721290789319165,0.03174670993412554,1,126
Bacteria*Verrucomicrobiota,82.62786470576135,0.24071048442908202,0.5628565503521256,0.42765867125201346,0.6696296588037711,0.8575659730446684,0,126
Bacteria*Desulfobacterota,368.01163780574007,0.17158802303130646,0.5450556481374254,0.31480826520679195,0.7534279564883075,0.872390265407514,0,126
Bacteria*Acidobacteriota,22.4591185159559,0.8223003875121374,0.28266487864713646,2.9090999612252952,0.004285953824231745,0.02694028118088525,1,126
Bacteria*Patescibacteria,163.65359525167074,1.1179541151329466,0.4671009035940495,2.3933888942003505,0.018168678610050084,0.07994218588422038,1,126
Bacteria*Planctomycetota,21.34573627850112,0.667247928441441,0.21511936706653761,3.10175665510887,0.002374605776685111,0.020896530834828977,1,126
Bacteria*Campilobacterota,23.127522043375038,0.8186501778111163,0.2531712679837811,3.2335824848164108,0.001560908309470591,0.0171699914041765,1,126
Bacteria*Synergistota,25.32282454773088,0.06160342039352032,0.2423791504564599,0.25416138425069085,0.7997851879554702,0.9023217505138638,0,126
Bacteria*Halanaerobiaeota,21.345736278501114,0.4363495904972865,0.14971395613777602,2.914555207503372,0.0042164641277301585,0.02694028118088525,1,126
Bacteria*Myxococcota,22.459118515955883,0.31743530025143646,0.13891802929415362,2.2850547323794763,0.0239812041306152,0.08793108181225573,1,126
Bacteria*Gemmatimonadota,21.345736278501125,0.32217621401094176,0.1618615116398201,1.990443625213754,0.048706340799989624,0.15307707108568167,1,126
Bacteria*Nitrospirota,21.34573627850113,0.38876816929940705,0.14391477205493128,2.701377792899654,0.00785613303250016,0.03840776149222301,1,126
Bacteria*Spirochaetota,21.9962484174737,0.29271619083713496,0.12611284471938808,2.3210656415566047,0.021889649099271793,0.08755859639708717,1,126
Bacteria*Thermotogota,21.345736278501114,0.34545386908333664,0.09720893916016594,3.5537253267845137,0.0005354059764945692,0.012157882844401672,1,126
Bacteria*Methylomirabilota,21.34573627850111,0.21069880129336405,0.12529723876332757,1.681591736361808,0.09512502292507169,0.24246363564463985,0,126
Bacteria*Zixibacteria,21.34573627850111,0.0004929738884048573,0.12509992769050488,0.0039406408741055905,0.9968620638679212,0.9968620638679212,0,126
Bacteria*Deinococcota,21.345736278501114,0.08455131718042519,0.11419636614142509,0.7404028695248818,0.4604330397008958,0.8575659730446684,0,126
Bacteria*Bdellovibrionota,21.345736278501114,0.1914771814953003,0.10380692660161961,1.844551108136871,0.06745143022885773,0.197857528671316,1,126
Bacteria*Armatimonadota,21.345736278501114,0.05736301076761727,0.1054031119678954,0.5442250204632421,0.5872484239074153,0.8575659730446684,0,126
Bacteria*RCP2-54,21.345736278501107,-0.006235707959290404,0.12553058668042122,-0.04967480933683054,0.9604601891436064,0.9827964726120624,0,126
Bacteria*WPS-2,21.345736278501114,0.1641660662388894,0.09883267735360747,1.6610504808195123,0.09918966912735266,0.24246363564463985,0,126
Bacteria*Deferribacterota,21.345736278501114,0.13148072110715392,0.10709356376523413,1.2277182352002054,0.22184141747814565,0.5137380194230742,0,126
Bacteria*Coprothermobacterota,21.345736278501118,0.049754888250725715,0.11785354546002047,0.42217557440903714,0.6736163632583134,0.8575659730446684,0,126
Archaea*Euryarchaeota,23.0269475521513,-0.13565207706657686,0.1216333083881346,-1.1152543564276658,0.2668640214984412,0.5871008472965706,0,126
Bacteria*Caldatribacteriota,21.345736278501114,-0.009003894336021417,0.11452695396714455,-0.07861812459104127,0.937461088774265,0.9827964726120624,0,126
Bacteria*Entotheonellaeota,21.345736278501114,-0.04946453123905095,0.11864663052852659,-0.41690632948196565,0.6774563418284646,0.8575659730446684,0,126
Bacteria*Cloacimonadota,21.345736278501114,0.006493742977065037,0.09999647188635331,0.06493972091780618,0.9483249135423164,0.9827964726120624,0,126
Bacteria*Latescibacterota,21.345736278501114,-0.06251416122078537,0.11413261502261637,-0.5477326635195177,0.5848444658437015,0.8575659730446684,0,126
Bacteria*Calditrichota,21.345736278501114,-0.04051351826383967,0.12240141069155798,-0.3309889815398499,0.7412026129807194,0.872390265407514,0,126
Bacteria*SAR324_cladeMarine_group_B,21.34573627850111,-0.059140040670072475,0.12839183981557115,-0.46062149085973353,0.6458642011423799,0.8575659730446684,0,126
Bacteria*WS2,21.34573627850111,-0.06456738402426013,0.13460684616845886,-0.4796738491551523,0.6322909002702521,0.8575659730446684,0,126
Bacteria*Marinimicrobia_SAR406_clade,21.345736278501114,-0.06338636549143037,0.12117728904833412,-0.5230878326230535,0.6018318029900116,0.8575659730446684,0,126
Bacteria*Abditibacteriota,21.34573627850112,-0.0694780005150851,0.11555560993208536,-0.6012516446057348,0.5487525633323006,0.8575659730446684,0,126
Bacteria*NB1-j,21.34573627850111,-0.04234893682469168,0.13352916989252897,-0.317151202683101,0.7516537878605137,0.872390265407514,0,126
Bacteria*Elusimicrobiota,21.345736278501114,0.00642913314433069,0.11460327456554383,0.056099035291122895,0.9553517731959534,0.9827964726120624,0,126
Bacteria*Fibrobacterota,21.345736278501114,-0.04312250748578597,0.10505515413502468,-0.41047493424607917,0.6821547512855317,0.8575659730446684,0,126
Bacteria*MBNT15,21.345736278501114,-0.06692407938445924,0.13410848794743413,-0.4990294082704978,0.6186288201673167,0.8575659730446684,0,126
Archaea*Thermoplasmatota,21.34573627850111,-0.05912789243368008,0.11804728059268278,-0.5008831388306048,0.6173272396386555,0.8575659730446684,0,126
