,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes,-0.10845668340259747,0.09841916978324895,-1.1019873835702372,0.2704671565920049,0.5950277445024108,0,0,0,False
Bacteria*Proteobacteria,0.6879486004763521,0.33071054553819496,2.0802136785713667,0.03750593816627632,0.11787580566543987,1,0,0,True
Bacteria*Bacteroidota,0.46360596806419496,0.3361523256403445,1.3791544270326288,0.16784714577682056,0.4102930230100058,0,0,0,False
Bacteria*Actinobacteriota,-0.075902856943144,0.25555518822394957,-0.29701160626262996,0.7664576482457326,0.8874772769161114,0,0,0,False
Bacteria*Cyanobacteria,0.9798616226382783,0.2468427363236238,3.9695785147739904,7.199987948112143e-05,0.001296950348576829,1,0,0,True
Bacteria*Fusobacteriota,1.0416530153239418,0.2657055594578399,3.920328266557114,8.842843285751107e-05,0.001296950348576829,1,0,0,True
Bacteria*Chloroflexi,0.4467750765182651,0.12700953097546636,3.51764999907421,0.0004353862042504307,0.00273671328385985,1,0,0,True
Bacteria*Verrucomicrobiota,0.2233606452275963,0.32699377985873757,0.6830730704543948,0.49456067101113904,0.8312419376153664,0,0,0,False
Bacteria*Desulfobacterota,0.21870770773549064,0.3276928869604787,0.6674167076500132,0.504505996732507,0.8312419376153664,0,0,0,False
Bacteria*Acidobacteriota,0.4831572697475277,0.1323110415385269,3.651677623645944,0.0002605328065524502,0.0022418693736826045,1,0,0,True
Bacteria*Patescibacteria,0.7905635174125931,0.2631686385529994,3.0040187225932775,0.0026643892840672568,0.011723312849895931,1,0,0,True
Bacteria*Planctomycetota,0.3789141936433425,0.09943047487232329,3.810845660044355,0.00013849221627056197,0.0015234143789761817,1,0,0,True
Bacteria*Campilobacterota,0.4621812205005157,0.11593131098359936,3.9866815666899496,6.700385634248719e-05,0.001296950348576829,1,0,0,True
Bacteria*Synergistota,0.01539413303505946,0.145536043914312,0.10577539845815201,0.9157605564524576,0.9758131898750502,0,0,0,False
Bacteria*Halanaerobiaeota,0.2307001816931596,0.0701449941981768,3.288904423334544,0.0010057817166508587,0.005531799441579723,1,0,0,True
Bacteria*Myxococcota,0.17459569500808955,0.06824510363290624,2.5583622225449076,0.01051664846013571,0.03856104435383094,1,0,0,True
Bacteria*Gemmatimonadota,0.1801593795476627,0.07581121869360526,2.3764210977241462,0.017481499716180914,0.059168152885535404,1,0,0,True
Bacteria*Nitrospirota,0.20639067548546242,0.06774493005879352,3.0465848190608944,0.002314571663439198,0.01131568368792497,1,0,0,True
Bacteria*Spirochaetota,0.1651969185385375,0.06004681709363207,2.7511353063217823,0.005938910715441354,0.023755642861765416,1,0,0,True
Bacteria*Thermotogota,0.17289974672186414,0.04788918374190048,3.6104133169968002,0.0003057094600476279,0.0022418693736826045,1,0,0,True
Bacteria*Methylomirabilota,0.1148637969344318,0.06098215365927157,1.883564125600018,0.05962395823910769,0.1748969441680492,1,0,0,True
Bacteria*Zixibacteria,-0.0025836388954034104,0.06491742244479767,-0.039798852112472576,0.9682534913894033,0.9758131898750502,0,0,0,False
Bacteria*Deinococcota,0.04054246758346228,0.05862827512946042,0.6915173181189137,0.48924050133157837,0.8312419376153664,0,0,0,False
Bacteria*Bdellovibrionota,0.09617438891208474,0.05300381085808589,1.8144806449782478,0.06960375990780947,0.19141033974647603,1,0,0,True
Bacteria*Armatimonadota,0.029093560302927174,0.05437322029906031,0.5350714955433672,0.5926004196416558,0.8312419376153664,0,0,0,False
Bacteria*RCP2-54,-0.0028775985690983677,0.06399933315198934,-0.04496294613358672,0.9641368437691502,0.9758131898750502,0,0,0,False
Bacteria*WPS-2,0.08165962371617144,0.05174675259451844,1.5780627695818286,0.11455119021348627,0.2964854334937292,0,0,0,False
