Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes,217.39519557480983,-0.532,379.769,188.077,1.0,34620.0390625,9.069009878173405
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria,0.0,0.0,0.0,0.0,0.0,8.199438355654429e-89,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota,-21.37008972892574,-29.548,0.116,14.63,0.7916666666666666,1.1872701422127125e-97,-335.3964831659644
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota,-16.689106852205978,-24.352,-0.088,11.982,0.8393333333333334,5.731942379348061e-96,-328.64325238323465
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria,0.0,-9.96,0.12,4.937,0.7514666666666666,1.0736517181425999e-89,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota,-2.1757187958939523,-2.954,0.13,1.474,0.7736666666666666,1.189974592210229e-90,-307.7048594078962
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Chloroflexi,-4.237072689898978,-5.703,0.113,2.829,0.7697333333333334,8.906205204576811e-92,-310.6787644482944
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota,0.0,-0.156,0.239,0.043,0.16146666666666668,1.047143162770727e-89,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota,0.0,-0.263,0.222,0.058,0.203,1.3855063364472623e-89,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Acidobacteriota,-0.00361028010063107,-0.262,0.222,0.056,0.7625333333333333,8.199231838127422e-90,-304.5711692238885
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria,-53.96948331143391,-72.711,0.15,35.982,0.7716666666666666,8.383032077385166e-114,-382.42746662343643
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Planctomycetota,0.0,-0.186,0.259,0.055,0.19973333333333335,7.819735666168067e-90,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Campilobacterota,0.0,-3.334,0.091,1.654,0.7545333333333333,8.843217240796901e-90,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota,-56.23338361632269,-78.645,0.066,38.899,0.8013333333333333,4.401275829898255e-115,-385.6935843663665
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Halanaerobiaeota,-1.4942075227280056,-2.072,0.079,1.022,0.7972666666666667,1.8430894803564528e-90,-306.72164647378975
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Myxococcota,0.0,-0.24,0.229,0.064,0.24446666666666667,7.843230097192284e-90,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Gemmatimonadota,0.0,-0.209,0.255,0.053,0.16666666666666666,7.460711251578898e-90,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Nitrospirota,0.0,-0.224,0.23,0.053,0.203,7.969731087997513e-90,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota,0.0,-0.203,0.254,0.057,0.20233333333333334,8.106374696346724e-90,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Thermotogota,0.0,-0.234,0.213,0.052,0.18953333333333333,8.179661363933649e-90,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Methylomirabilota,0.0,-0.245,0.19,0.051,0.20193333333333333,7.945857722686512e-90,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Zixibacteria,0.0,-0.259,0.171,0.052,0.17873333333333333,7.603819993242627e-90,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Deinococcota,0.0,-0.206,0.244,0.05,0.16833333333333333,7.703314969282071e-90,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bdellovibrionota,0.0,-0.244,0.229,0.055,0.1806,8.253610588563291e-90,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Armatimonadota,0.0,-0.243,0.193,0.059,0.22786666666666666,7.182523270147584e-90,-304.5659606906911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*RCP2-54,0.0,-0.124,0.107,0.05,0.7357333333333334,7.089754769376713e-90,-304.5659606906911
