,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia,-0.17377409379290124,0.2878162924988825,-0.6037673971968628,0.5459982981531382,0.9842268227250649,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria,-0.05259050398191041,1.0134459324160419,-0.051892757472059056,0.958614145202219,0.9842268227250649,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae,-0.19605367553369843,0.261254401265814,-0.7504320485465165,0.45299453493662606,0.9842268227250649,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia,0.6255961694831353,0.44524325672095666,1.405066017373082,0.1600016481013366,0.9842268227250649,0,0,0,False
Bacteria*Firmicutes*Negativicutes,0.7702040465749468,0.9824380449615386,0.7839721298711507,0.43305646389021074,0.9842268227250649,0,0,0,False
Bacteria*Firmicutes*Bacilli,0.12705620732910544,0.675252883304385,0.18816092529268338,0.8507505024319751,0.9842268227250649,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia,-0.028102845040301347,0.2119345759399475,-0.13260151117703606,0.8945085372298349,0.9842268227250649,0,0,0,False
Bacteria*Synergistota*Synergistia,0.06593322425815334,0.19553970623054556,0.33718586127165723,0.7359767949312093,0.9842268227250649,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia,-0.049655494871772496,0.22399203063123962,-0.2216842033702567,0.8245597280505916,0.9842268227250649,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria,0.003934097088832175,0.19899293630934115,0.019770033860480807,0.9842268227250649,0.9842268227250649,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,0.04026110645963685,0.19997947503100158,0.20132619336757143,0.8404435225115385,0.9842268227250649,0,0,0,False
