,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia,1.3602636173659004,0.9849255345630146,1.3810827008048008,0.16725353394415554,0.7201855328316848,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria,-1.5319279354389472,1.368544915694575,-1.119384477535727,0.26297615019430626,0.7201855328316848,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae,-0.030282048603192557,0.2776470920194791,-0.10906668743740357,0.9131495968017292,0.9131495968017292,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia,0.5147313769834038,0.520770706092961,0.9884030936477459,0.3229552730124114,0.7201855328316848,0,0,0,False
Bacteria*Firmicutes*Negativicutes,1.133489653583956,0.8215648459184713,1.3796715611861012,0.16768779293435554,0.7201855328316848,0,0,0,False
Bacteria*Firmicutes*Bacilli,1.3186697905523745,1.1317880451864235,1.1651207981571927,0.24397009922350293,0.7201855328316848,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia,-0.5448346310495222,0.5953251468519187,-0.9151883368787788,0.3600927664158424,0.7201855328316848,0,0,0,False
Bacteria*Synergistota*Synergistia,-0.030282048603192557,0.2776470920194791,-0.10906668743740357,0.9131495968017292,0.9131495968017292,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia,-0.030282048603192557,0.2776470920194791,-0.10906668743740357,0.9131495968017292,0.9131495968017292,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria,-0.030282048603192557,0.2776470920194791,-0.10906668743740357,0.9131495968017292,0.9131495968017292,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,-0.030282048603192557,0.2776470920194791,-0.10906668743740357,0.9131495968017292,0.9131495968017292,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria,-0.030282048603192557,0.2776470920194791,-0.10906668743740357,0.9131495968017292,0.9131495968017292,0,0,0,False
