,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia,-0.397790456040649,0.2578851658507486,-1.5425100343727052,0.12294970143464216,0.737698208607853,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria,0.0025450137694979667,0.6526658151481732,0.0038994133144849607,0.9968887262048917,0.9968887262048917,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae,0.2614863653387243,0.4478712264364252,0.5838427429671953,0.5593261181394624,0.9968887262048917,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia,0.7265472584858144,0.4114688523755018,1.7657406005127592,0.07743937793758167,0.737698208607853,0,0,0,False
Bacteria*Firmicutes*Negativicutes,0.24502831894649446,0.5583010752745472,0.43888204733619873,0.6607470056432285,0.9968887262048917,0,0,0,False
Bacteria*Firmicutes*Bacilli,0.46080104179510534,0.4676444214483125,0.9853662754448926,0.3244441889113759,0.9968887262048917,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia,-0.09023203544169206,0.18547274298170346,-0.48649755209903417,0.6266144404975107,0.9968887262048917,0,0,0,False
Bacteria*Synergistota*Synergistia,0.1725120762007657,0.21232981790499278,0.8124722090514692,0.41652072690321795,0.9968887262048917,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia,-0.030708630486471232,0.20725303467211553,-0.1481697507351523,0.8822088036968516,0.9968887262048917,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria,-0.05819509331255856,0.17022525658280363,-0.3418710858823138,0.7324479101217873,0.9968887262048917,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,0.029754508322021162,0.17886449949667788,0.16635222979266384,0.8678797651663747,0.9968887262048917,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria,0.0038040338567625954,0.16516545434133226,0.02303165557187975,0.9816250221469177,0.9968887262048917,0,0,0,False
