,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia,868372.9841950629,-0.5615641624505235,0.3287325726629019,-1.708270518803679,0.09463298710412214,0.5725962751838137,0,44
Bacteria*Proteobacteria*Gammaproteobacteria,5941.727088496893,-0.01103127221305178,1.075857297437662,-0.010253471570369639,0.9918654067805133,0.9918654067805133,0,44
Bacteria*Verrucomicrobiota*Verrucomicrobiae,896.529300002099,0.44034302442141565,0.6431010696589201,0.6847182273463784,0.4971129437808164,0.873081118511936,0,44
Bacteria*Bacteroidota*Bacteroidia,103856.43045070623,1.0455451001629477,0.6300010675704752,1.6595925848109574,0.10410841366978431,0.5725962751838137,0,44
Bacteria*Firmicutes*Negativicutes,10576.188993894162,0.4557784549777929,0.9533744597640922,0.47806866474121096,0.6349680861904989,0.873081118511936,0,44
Bacteria*Firmicutes*Bacilli,6867.424737874956,0.8993462669265145,0.7830708507026862,1.148486457029385,0.25697337327660164,0.7066767765106545,0,44
Bacteria*Fusobacteriota*Fusobacteriia,727.9196645372423,-0.17434559547009823,0.2875366405242611,-0.6063421870416814,0.5474033028158002,0.873081118511936,0,44
Bacteria*Synergistota*Synergistia,636.7983164295684,0.34437736171647204,0.29099234407367375,1.1834584954897722,0.24298221162473083,0.7066767765106545,0,44
Bacteria*Cyanobacteria*Vampirivibrionia,744.1051436830022,-0.011312863076215485,0.3343607283040704,-0.033834305642280675,0.9731623043655697,0.9918654067805133,0,44
Bacteria*Actinobacteriota*Actinobacteria,703.9808445383367,-0.1261025299137862,0.2483741200598211,-0.5077120349069151,0.6141910415864282,0.873081118511936,0,44
Bacteria*Actinobacteriota*Coriobacteriia,675.9112647745404,0.0803553071412963,0.2827895725368244,0.284152298900033,0.7776266414003119,0.9504325617114924,0,44
