,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,7560.545387332629,0.0273872501398707,1.7963785776447414,0.01524581203577841,0.9879337730993623,0.9992780594423041,0,31
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,1431.0334282836616,-0.3892784797454486,0.7039212963160881,-0.5530142102287631,0.5842200362071845,0.9992780594423041,0,31
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,678562.2683373215,-0.25994095021172525,0.5630827075060315,-0.4616390216688387,0.6475633952165536,0.9992780594423041,0,31
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,94598.32311642623,-0.7033905293122301,1.149738136222818,-0.6117832462468773,0.5451422697801762,0.9992780594423041,0,31
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,62606.46690005709,0.4131469874819727,1.5442264962311276,0.2675429987053765,0.7908231568907786,0.9992780594423041,0,31
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,6201.567760854393,1.6244549227221827,1.696135548745863,0.9577388575596558,0.3456047034389117,0.9992780594423041,0,31
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,3442.437657323367,1.1905973307638802,1.5350155408064752,0.7756255875679001,0.44384722943595967,0.9992780594423041,0,31
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,73083.28883761803,0.038565772037342905,1.0646606157042813,0.036223535902876754,0.971336375590667,0.9992780594423041,0,31
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,23801.81336525345,2.523738076615652,1.1414782828996959,2.210938319566276,0.034547841751877965,0.3456788015704353,0,31
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,6874.60255895895,-0.440204806788826,1.3031681189660895,-0.3377958686850601,0.7377938868547513,0.9992780594423041,0,31
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,3049.6441614594996,-0.4698471574890012,1.1845344573380263,-0.3966513211822276,0.6943420627757273,0.9992780594423041,0,31
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,1579.1676392917877,2.0084046610393993,0.9132621281996532,2.1991546556284343,0.035454236058506186,0.3456788015704353,0,31
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,1016.4527560709232,0.10423573200248082,0.165301995283859,0.6305775790757135,0.5329382513758816,0.9992780594423041,0,31
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,2661.3627559855654,-0.16534535671615896,1.0921491064519266,-0.15139448976277398,0.8806454729694896,0.9992780594423041,0,31
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,2966.1156579756403,0.3674382228897483,1.1372845507372125,0.32308380752342664,0.7488010652534278,0.9992780594423041,0,31
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Hafniaceae,1016.4527560709232,1.423050621374141,0.5991740378346929,2.375020497411386,0.023917210109427007,0.3456788015704353,0,31
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,1117.74917752299,0.8480827789187412,0.5412932317020717,1.5667714452146093,0.12732042759575904,0.9805495986133371,0,31
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae,1016.4527560709232,0.10423573200248082,0.165301995283859,0.6305775790757135,0.5329382513758816,0.9992780594423041,0,31
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,1950.4863437346796,0.6699739314154631,0.8691373107630673,0.7708493504061552,0.44663194244137416,0.9992780594423041,0,31
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,2272.847256268207,-0.06826561664374747,1.1050390670709163,-0.0617766544894168,0.9511372825390714,0.9992780594423041,0,31
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,1016.4527560709232,0.10423573200248082,0.165301995283859,0.6305775790757135,0.5329382513758816,0.9992780594423041,0,31
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,2597.726742231869,1.3411905887955005,1.094868602673413,1.22497858238023,0.22981000302287402,0.9992780594423041,0,31
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,1161.899977006199,-0.08870698524303589,0.42516094159939954,-0.20864330789496296,0.8360915877136329,0.9992780594423041,0,31
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,1016.4527560709232,0.10423573200248082,0.165301995283859,0.6305775790757135,0.5329382513758816,0.9992780594423041,0,31
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,1275.0642355080086,-0.22279103596366945,0.5839678455381324,-0.3815125056386713,0.705425539924222,0.9992780594423041,0,31
Bacteria*Synergistota*Synergistia*Synergistales*Synergistaceae,1016.4527560709232,0.10423573200248082,0.165301995283859,0.6305775790757135,0.5329382513758816,0.9992780594423041,0,31
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,1674.3567512305196,1.2348291794629407,0.8451556536390149,1.4610671704627372,0.1540597369083109,0.9805495986133371,0,31
Bacteria*Firmicutes*Clostridia*Peptococcales*Peptococcaceae,1092.4136677490856,0.9456638474400411,0.4222710167641235,2.2394713581971453,0.03243852210828149,0.3456788015704353,0,31
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,1493.5820655057307,-0.4509976159165877,0.6803730391811992,-0.6628681472436719,0.5123139805955088,0.9992780594423041,0,31
Bacteria*Firmicutes*Clostridia*Eubacteriales*Eubacteriaceae,1172.2405707913526,-0.10148978102261696,0.41359263927189616,-0.2453858492290466,0.8077749613529747,0.9992780594423041,0,31
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae,1016.4527560709232,0.10423573200248082,0.165301995283859,0.6305775790757135,0.5329382513758816,0.9992780594423041,0,31
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,1148.4197971603362,0.7377922866658364,0.5327738916863342,1.3848131415197142,0.17599608180239384,0.9805495986133371,0,31
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Pseudomonadaceae,1016.4527560709232,0.10423573200248082,0.165301995283859,0.6305775790757135,0.5329382513758816,0.9992780594423041,0,31
Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae,1016.4527560709232,0.10423573200248082,0.165301995283859,0.6305775790757135,0.5329382513758816,0.9992780594423041,0,31
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales*Bogoriellaceae,1123.6890098331028,-0.04046391968672364,0.3132343303219445,-0.12918098614904225,0.8980489605083857,0.9992780594423041,0,31
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,1102.6292598910234,-0.013168897680567837,0.32189757208727665,-0.0409102112674442,0.9676298298906428,0.9992780594423041,0,31
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,1092.4136677490853,0.000259623778125162,0.2846303823129434,0.0009121435878187899,0.9992780594423041,0.9992780594423041,0,31
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae,1078.884554518844,0.0182383951548008,0.24897638945976208,0.0732535128908212,0.9420750084121601,0.9992780594423041,0,31
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales*Flavobacteriaceae,1078.884554518844,0.0182383951548008,0.24481996186448365,0.07449717341634252,0.9410934483087686,0.9992780594423041,0,31
