,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,-2.1345642995466165,1.4584570160596626,-1.4635771065187813,0.14330953153579573,0.9879319239757101,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,1.15464343201109,0.8338366252243942,1.3847358068498892,0.1661332659585641,0.9879319239757101,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,-0.33758556448294186,0.9727633978277653,-0.3470376920398004,0.7285630022186732,0.9963104305313091,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.10426763745598323,1.1264420687539434,0.09256369266403805,0.9262501889252539,0.9963104305313091,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.6572203995064819,0.7987461720255831,0.8228150850974367,0.41061315689275624,0.9963104305313091,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,0.39098501869302077,1.1813838042056783,0.33095512000514143,0.7406783859828117,0.9963104305313091,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,1.4538792924850443,1.0551845608534074,1.3778435985731088,0.1682515818058827,0.9879319239757101,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,0.19526624084386987,0.6591598577468053,0.2962350309245849,0.7670505979551505,0.9963104305313091,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,1.1072736401989058,0.9309066712696165,1.1894571973458428,0.23425980465042864,0.9879319239757101,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,1.105281597786612,0.9751778994521032,1.1334153475049082,0.25703987199928985,0.9879319239757101,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,1.7369797471212094,1.0085394535373398,1.7222724812886065,0.08502017026016351,0.9879319239757101,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Hafniaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,-0.5685107775927397,0.528493709336401,-1.0757191004346784,0.28205290246627196,0.9879319239757101,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,0.5478535768018766,0.86408141779944,0.6340300410545776,0.526061217085269,0.9963104305313091,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,0.6065064994750903,0.5456739924736421,1.1114814116862763,0.26636118680636295,0.9879319239757101,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,0.2746753413493005,0.7610740832141331,0.36090486774862207,0.7181705645639798,0.9963104305313091,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,-0.5149831419582525,0.5190078879796789,-0.9922453085692139,0.32107787529210574,0.9879319239757101,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,0.8607400638885511,0.7642461537178429,1.1262602496607832,0.26005537786631006,0.9879319239757101,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,-0.040032098452563024,0.7317548785785861,-0.054706978558618266,0.9563719096050943,0.9963104305313091,0,0,0,False
Bacteria*Synergistota*Synergistia*Synergistales*Synergistaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptococcales*Peptococcaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,-0.23957005002216145,0.2689292906498983,-0.8908291448774996,0.37302083703020583,0.9963104305313091,0,0,0,False
Bacteria*Firmicutes*Clostridia*Eubacteriales*Eubacteriaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae,0.6471362318495341,0.5338720497700823,1.2121560439963661,0.2254526538793194,0.9879319239757101,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Pseudomonadaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae,0.47384943670954777,0.3851671496844252,1.2302436412289617,0.21860588198696784,0.9879319239757101,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales*Bogoriellaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,-0.14054902422788357,0.13993889896178172,-1.004359940449928,0.3152051515903316,0.9879319239757101,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales*Flavobacteriaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Alcaligenaceae,-0.00043055951192269175,0.09310993211133967,-0.004624206055781828,0.9963104305313091,0.9963104305313091,0,0,0,False
