,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,101864.11454067973,-3.797024031117693,2.851866770986642,-1.3314170457563348,0.2157888242392744,0.9350849050368557,0,9
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,1646.7741615052653,0.006656679735655424,0.18809827386290268,0.03538937173079649,0.9725417449326791,0.9725417449326791,0,9
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,98494.73915883334,2.1233793735270154,2.007086678904983,1.0579410425291043,0.31765010355718404,0.9725417449326791,0,9
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,698379.9466540439,-0.498852807529694,1.3333766024302236,-0.3741274645291365,0.7169716406606439,0.9725417449326791,0,9
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,6114.4595065226795,0.10407490429882404,2.104704979308851,0.0494486901119037,0.9616417324474339,0.9725417449326791,0,9
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,4722.492590495161,1.290785753320192,1.6559852074923669,0.7794669586902948,0.4557118007996326,0.9725417449326791,0,9
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,1646.7741615052653,0.006656679735655424,0.18809827386290268,0.03538937173079649,0.9725417449326791,0.9725417449326791,0,9
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,6714.38933526565,0.874931435450014,2.207254290059473,0.39638905195034846,0.701052113244168,0.9725417449326791,0,9
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,2779.2587907341795,2.6665703277636403,1.7790457501269483,1.4988767588317278,0.16813651313141725,0.9350849050368557,0,9
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,1646.7741615052653,0.006656679735655424,0.18809827386290268,0.03538937173079649,0.9725417449326791,0.9725417449326791,0,9
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,2854.33647096111,0.4516930642355689,1.3888165419414429,0.3252359477257823,0.7524358853801194,0.9725417449326791,0,9
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,1646.7741615052653,0.006656679735655424,0.18809827386290268,0.03538937173079649,0.9725417449326791,0.9725417449326791,0,9
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,1646.7741615052648,1.9995425682233485,1.3703544170817827,1.4591426446316302,0.17852738271061666,0.9350849050368557,0,9
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,1646.7741615052648,1.9966571627526761,1.4441983716669515,1.3825366389577456,0.20014575616189698,0.9350849050368557,0,9
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,2375.575342084296,3.089130579087245,1.6618475900710554,1.8588531207938048,0.09598857215241827,0.9350849050368557,0,9
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Hafniaceae,1646.7741615052653,0.006656679735655424,0.18809827386290268,0.03538937173079649,0.9725417449326791,0.9725417449326791,0,9
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,1646.7741615052653,0.006656679735655424,0.18809827386290268,0.03538937173079649,0.9725417449326791,0.9725417449326791,0,9
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae,1646.7741615052653,0.006656679735655424,0.18809827386290268,0.03538937173079649,0.9725417449326791,0.9725417449326791,0,9
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,3397.1861716896806,-1.038040885304967,1.3680935729129655,-0.7587499172989715,0.46740679531771856,0.9725417449326791,0,9
