,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,-0.03962573864599923,0.6501062105030766,-0.060952715119173134,0.9513968668603517,0.966486872979531,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,0.2511545552140113,0.44293905470756284,0.5670183122141454,0.5707017402453426,0.966486872979531,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-0.6130998059329532,0.3165227404550132,-1.9369850174164405,0.05274717485141928,0.771402373989481,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.3581078126449607,0.4904450403084501,0.7301690978865644,0.4652868290833721,0.966486872979531,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,-0.2734645571464544,0.5812830500167869,-0.47044990755976285,0.6380336148097965,0.966486872979531,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.07240022665034558,0.58923023244545,0.12287255925390467,0.9022080154823613,0.966486872979531,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,0.10934665818091606,0.5594711162005488,0.19544647617111213,0.8450434353703965,0.966486872979531,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.2486338687255704,0.4668417473269183,-0.5325870493571303,0.5943194689141051,0.966486872979531,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,0.7645893186607168,0.45073943690388624,1.6963000262694,0.08982907552243868,0.8982907552243868,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,-0.5610063979778779,0.4056327171149971,-1.3830403079119287,0.16665250689861993,0.966486872979531,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,0.09676823290207805,0.4288924854109693,0.22562352149712697,0.8214942450215177,0.966486872979531,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,0.6167273998784046,0.39665523358241833,1.5548197720937393,0.11998899879421902,0.9599119903537522,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,-0.0065277762679506,0.08593106729935489,-0.07596526463717745,0.9394467331207643,0.966486872979531,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,-0.296590822224641,0.3670589546288366,-0.8080195796464039,0.419079310846164,0.966486872979531,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.09108310968128314,0.4040380065752179,0.2254320341131735,0.8216431933091651,0.966486872979531,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Hafniaceae,0.22454198359986915,0.24941306640520247,0.9002815563602945,0.36797043368918986,0.966486872979531,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,0.6863986148035912,0.3064661606296192,2.239720735866629,0.02510905851936618,0.771402373989481,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae,0.20896404279637038,0.2165832870181143,0.9648207194255636,0.33463461624635904,0.966486872979531,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,0.3572336431516556,0.3167727332028823,1.1277285122986247,0.25943459236979594,0.966486872979531,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,-0.35124960253405274,0.3244367809701587,-1.0826442103257097,0.2789663758867434,0.966486872979531,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,0.1972196453587804,0.23977080810317458,0.822534014540735,0.41077303595494585,0.966486872979531,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,0.7550470283484718,0.3980649288194719,1.8967936476787592,0.05785517804921107,0.771402373989481,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,-0.10056384556640525,0.12957441044078052,-0.7761088414318197,0.437684723737159,0.966486872979531,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,0.13939794595519572,0.2005109365786226,0.6952136792824576,0.48692140091090946,0.966486872979531,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,-0.15898420104353855,0.16747086948214515,-0.9493245096006897,0.3424555916491354,0.966486872979531,0,0,0,False
